date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,41479,-17534,16443,8.0,95275,12816,0.04,,,,2109,,,40980.0,-2353,,25974,2013年01月01日至2013年03月31日,,25820,121095,,21471,113179,53018,-25089,4788389,4958708,170319,170319,117309,8810,,,,,82525,25820,,27929,,0.0,,21645,,,4349,7916
2013-08-13,2,2013,,,,39431,-26898,13449,,228269,-5041,0.45,,,,-63,,,193879.0,-8057,,35945,2013年04月01日至2013年06月30日,,213844,442113,,228646,452812,258607,-44826,5169193,5526378,357185,357185,98578,1164,,,,,61469,213844,,213781,,,,23320,,,-14802,-10699
2013-11-12,3,2013,,,,22060,1524,17899,,320803,-4842,1.07,,,,-3045,,,303585.0,7891,,11289,2013年07月01日至2013年09月30日,,537203,858006,,540269,863701,524113,10045,4877789,5523448,645659,645659,121546,4531,,,1.07,,105726,537203,,534158,,,,17269,,,-3066,-5695
2014-03-26,4,2013,,,,106649,-89721,59683,,728713,7195,2.16,,,,-89506,,,619939.0,4692,,93436,2013年01月01日至2013年12月31日,,1018643,1747356,,1085976,1809350,1030057,-100920,20282879,21756532,1473653,1473653,443596,20245,,-5908.0,2.16,,329915,1018643,2.16,929137,,-838.0,,75574,,,-67333,-61994
2014-05-09,1,2014,,,,3701,-3864,22451,0.0,-88178,4636,0.02,,0.0,,2743,,,-96515.0,853,,15926,2014年01月01日至2014年03月31日,0.0,12758,-75420,,12311,-77393,6074,9427,5164364,5258276,93912,93912,87838,2896,,,,,69016,12758,,15501,,,,10013,,5258276.0,447,1973
2014-08-11,2,2014,,,-16319.0,16748,353708,21245,,50050,-6448,0.63,,,,7909,,,39750.0,18398,,5804,2014年第2季,,301513,351563,,312516,364751,-59848,385589,4569264,4587215,17951,17951,77799,1765,,,,,70230,317832,,325741,,,,7762,,,-11003,-13188
2014-11-12,3,2014,,,0.0,-37699,2566,9578,,-276261,5641,-0.18,-0.18,,,-48462,,,-244203.0,31568,,14587,2014年第3季,,-90406,-366667,,-92979,-370902,-175338,36470,4595338,4496697,-98641,-98641,76697,7145,,,-0.18,-0.18,54965,-90406,,-138868,,,,7242,,,2573,4235
2015-03-23,4,2014,,,289788.0,-13506,9149,71619,,-280605,17812,-0.07,-0.65,,,-64915,,,-291064.0,34805,,72437,2014年度,,-51916,-332521,,-38456,-325377,-489575,82956,17176342,17028183,-148159,-148159,341416,20103,,6862.0,-0.07,-0.65,248876,-341704,,-406619,,709.0,,32617,,17028183.0,-13460,-7144
2015-05-13,1,2015,0.0,0.0,0.0,10708,-2218,6537,,87367,583,0.05,,,87367.0,14256,0.0,0.0,,-11587,76076.0,5632,2015年第1季,,29497,116864,0.0,27115,116043,59554,-15801,2142872,2268323,125451,125451,65897,2690,0.0,,,,57575,29497,,43753,0.0,,0.0,8533,0.0,,2382,821
2015-05-13,1,2016,0.0,0.0,,-1002,-5760,5453,,-5020,-6282,0.78,,,-5020.0,106121,,,,-14821,2264.0,13722,2016年01月01日至2016年03月31日,,395950,390930,,412570,409367,532943,-30872,2882946,3517882,634936,634936,101993,3802,,,,,84469,395950,,502071,0.0,,,15744,,,-16620,-18437
2015-08-12,2,2015,,,0.0,-15289,-66883,5767,,-70312,-643,0.96,0.96,,-70312.0,101910,,,,46197,-54380.0,9507,2015年第2季,,477723,407411,,506919,437891,604510,-24877,3486996,4200884,713888,713888,109378,6991,,,0.96,0.96,92880,477723,,579633,,,,9958,,,-29196,-30480
2015-11-12,3,2015,,,0.0,-31063,-16573,4733,,-114575,14453,0.15,0.15,,-114575.0,20765,,,,-6092,-97965.0,13318,2015年第3季,,48703,-65872,,78686,-39375,97673,-28205,3107329,3297448,190119,190119,92446,7226,,,0.15,0.15,71902,48703,,69468,,,,10273,,,-29983,-26497
2016-03-21,4,2015,,6899.0,0.0,-11448,-186548,35956,,144938,8812,1.31,1.31,,138039.0,173703,,,,-1306,140675.0,40292,2015年度,,573454,718392,,693823,840121,943507,-196350,11821848,13122071,1300223,1300223,356716,31980,7683.0,,1.31,1.31,284444,573454,,747157,784.0,,,44452,,,-120369,-121729
2016-08-12,2,2016,,,,-14148,-19928,14397,,-99468,-5130,0.42,,,-99468.0,67400,,,,-26738,-80190.0,8628,2016年第2季,,191126,91658,,220587,123235,304150,-45624,2837251,3256934,419683,419683,115533,8682,,,0.42,,98223,191126,,258526,,,,13355,,,-29461,-31577
2016-11-11,3,2016,,,,10571,1403,5836,,10331,-12164,0.76,,,10331.0,68336,,,,56217,11924.0,10720,2016年第3季,,388439,398770,,400582,414658,403181,53594,2994514,3493726,499212,499212,96031,3183,,,0.76,,82128,388439,,456775,,,,9862,,,-12143,-15888
