date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,14067,20689,-19920.0,190257,214361,0.08,,12476,-4184.0,3681,,135172,2013年01月01日至2013年03月31日,20199,210456,28215,217314.0,6366,26309,3712081,4191345,479264,479264,472898,238141,,,0.08,99585,20199,32675,,,,12128,,4191345.0,-8016,-6858
2013-08-08,2,2013,,-270,46385,-9475.0,92541,100988,0.22,,55975,1028.0,-2990,,153458,2013年04月01日至2013年06月30日,72987,165528,76956,169024.0,102141,26821,4223160,4870615,647455,647455,545314,279640,,,0.22,112216,72987,128962,,,,16304,,4870615.0,-3969,-3496
2013-11-13,3,2013,,-51490,17244,13233.0,-82908,-96258,0.21,,23475,117.0,667,,164606,2013年07月01日至2013年09月30日,78605,-4303,75061,-7444.0,156216,-54136,4500367,5159016,658649,658649,502433,259359,,,0.21,78468,78605,102080,,,,20557,5159016.0,5159016.0,3544,3141
2014-03-19,4,2013,,-38139,160862,-30145.0,318128,341800,0.7,,131121,-1865.0,-9119,,594834,2013年01月01日至2013年12月31日,238242,556370,245920,562396.0,327619,41744,17613925,19989632,2375707,2375707,2048088,1069551,,8338.0,0.69,383703,238242,369363,,,,71860,,19989632.0,-7678,-6026
2014-05-13,1,2014,,17643,38871,,15025,20636,0.18,,31397,-1359.0,-5441,,139215,2014年01月01日至2014年03月31日,61755,76780,63916,78873.0,68071,25081,5011014,5598418,587404,587404,519333,281060,,,0.18,99058,61755,93152,,4252.0,,25992,,5598418.0,-2161,-2093
2014-08-06,2,2014,,-31452,30174,,-140511,-157141,0.42,,78147,-551.0,10676,,148467,2014年第2季,137483,-3028,150144,,231998,-16368,5421255,6240418,819163,819163,587165,323255,,,0.42,115443,137483,215630,,-17181.0,,25766,,,-12661,-3028
2014-11-12,3,2014,,-283697,571545,,197940,221445,1.03,,65480,951.0,17623,,167691,2014年第3季,351400,549340,360474,557144.0,136271,280609,5383290,6131373,748083,748083,611812,329295,,,1.01,114826,351400,416880,,24456.0,,24862,,,-9074,-7804
2015-03-23,4,2014,,-281883,760358,-50856.0,378401,422433,2.06,,222744,-674.0,36516,,628509,2014年度,743194,1121595,728997,1102364.0,552038,413900,21116904,24046713,2929809,2929809,2377771,1313872,,7498.0,2.04,435390,743194,965938,,,,101091,,24046713.0,14197,19231
2015-05-13,1,2015,,18529,39743,,-89582,-101727,0.44,-89582.0,73242,,4020,660.0,124837,2015年01月01日至2015年03月31日,169221,79639,155167,66519.0,206132,36331,5161833,5887466,725633,725633,519501,299287,,,0.44,95377,169221,242463,,,-11485.0,25961,,,14054,13120
2015-08-11,2,2015,,19666,51599,,-135919,-152592,0.43,-135919.0,54634,,3918,-448.0,117662,2015年第2季,132133,-3786,152367,17447.0,137196,49571,5549389,6221854,672465,672465,535269,301013,,,0.43,116594,132133,186767,,,-17121.0,25612,,6221854.0,-20234,-21233
2015-11-12,3,2015,,3209,52465,,437872,494602,0.62,437872.0,104532,,3413,24.0,154390,2015年第3季,223768,661640,218727,662418.0,295407,32893,5962050,6837581,875531,875531,580124,302378,,,0.61,123356,223768,328300,,,56754.0,26194,6837581.0,6837581.0,5041,-778
2016-03-17,4,2015,-8783.0,-163854,238065,,-87212,-80982,2.1,-78429.0,335453,,39228,-3091.0,541866,2015年度,746668,659456,741353,664972.0,1076195,5926,22439231,25674559,3235328,3235328,2159133,1179174,-10582.0,,2.08,438093,746668,1082121,-1799.0,,-5644.0,107513,25674559.0,25674559.0,5315,-5516
2016-05-12,1,2016,,-69057,50713,,-85710,-97332,0.6,-85710.0,70317,,-11185,149.0,131582,2016年01月01日至2016年03月31日,209425,123715,210624,125201.0,338989,-59247,5561366,6407103,845737,845737,506748,266836,,,0.59,108330,209425,279742,,,-11473.0,29718,,6407103.0,-1199,-1486
2016-08-10,2,2016,,-67892,55592,,-211295,-233310,0.52,-211295.0,79379,,5567,-2458.0,144857,2016年第2季,184746,-26549,184446,-25254.0,298512,-34387,5525749,6340132,814383,814383,515871,281675,,,0.52,89339,184746,264125,,,-24473.0,27654,,,300,-1295
2016-11-10,3,2016,,-90738,63423,,-349905,-390980,0.61,-349905.0,72862,,1836,-2676.0,126822,2016年第3季,248595,-101310,215749,-125988.0,376562,-55105,5627288,6565014,937726,937726,561164,316507,,,0.61,117835,248595,321457,,,-43751.0,29626,,6565014.0,32846,24678
