date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,13102,1220301,106313,2123205,864453,8.04,8.04,,1171747,485669.0,559185,,5188777,2013年01月01日至2013年03月31日,6059660,8182865,6053144,8172802,5373973,1857434,98977012,114039780,15062768,15062768,9688795,804520.0,,2493230,,,8.0,8.0,2006788,6059660,7231407,,44539.0,,28365,6516,10063
2013-08-13,2,2013,,2639422,1833543,168959,2832470,208355,6.33,6.33,,1089469,131093.0,5261,,5778535,2013年04月01日至2013年06月30日,4796077,7628547,4765437,7598000,3889269,1996277,86240342,99732991,13492649,13492649,9603380,127611.0,,2421859,,,6.31,6.31,1402986,4796077,5885546,,274011.0,,11486,30640,30547
2013-11-12,3,2013,,-1240704,945461,574484,-2726445,-608858,6.63,6.63,,1609516,1488.0,-1182,,5253666,2013年07月01日至2013年09月30日,4971519,2245074,4939947,2209670,5086084,1494951,103966625,118809707,14843082,14843082,9756998,-1098454.0,,2637721,,,6.62,6.62,1865611,4971519,6581035,,-220083.0,,23812,31572,35404
2014-03-27,4,2013,,3193282,5256646,1713743,4382949,797850,28.66,28.66,,5494438,617033.0,571969,,21906256,2013年01月01日至2013年12月31日,21531664,25914613,21449895,25826521,19836010,7190092,403316442,463286507,59970065,59970065,40134055,57044.0,,10966313,,-6770.0,28.47,28.47,7261486,21531664,27026102,,275490.0,,352266,81769,88092
2014-05-07,1,2014,,2759581,178680,113775,3638112,877884,5.87,5.87,,880876,192.0,5211,,4999927,2014年01月01日至2014年03月31日,4422418,8060530,4361617,7994813,5039855,263439,95525468,110335999,14810531,14810531,9770676,339013.0,,2721737,,,5.84,5.84,2049012,4422418,5303294,,338558.0,,34227,60801,65717
2014-08-12,2,2014,,10046241,1363007,259650,8305712,-911564,6.45,6.45,,1503583,-831.0,4991,,5994635,2014年第2季,4861762,13167474,4788722,13098430,4782179,1583166,89773531,105197082,15423551,15423551,10641372,33240.0,,2518651,,,6.43,6.43,2128086,4861762,6365345,,861374.0,,44482,73040,69044
2014-11-12,3,2014,,-2056541,24320,1834501,-493721,755419,7.82,7.82,,1665611,86.0,5102,,6465658,2014年第3季,5874795,5381074,5811266,5315726,5700959,1839447,106610887,123915618,17304731,17304731,11603772,710445.0,,3543557,,,7.8,7.8,1594557,5874795,7540406,,-96870.0,,24476,63529,65348
2015-03-19,4,2014,,19890799,1527920,2405409,23461100,2560043,26.21,26.21,,5683109,-187.0,22486,,24602102,2014年度,19714405,43175505,19470409,42926013,21709964,3687550,412024261,477408049,65383788,65383788,43673824,600819.0,,11368011,,-15052.0,26.07,26.07,7703711,19714405,25397514,,-424678.0,,268265,243996,249492
2015-05-12,1,2015,206,5600172,-273817,140294,6037191,-808070,4.96,4.96,6036985,1214663,,2551,50,5599313,2015年01月01日至2015年03月31日,3696992,9734183,3680425,9721278,5134836,-223181,96558310,111889517,15331207,15331207,10196371,,1108975,2818760,206,,4.93,4.93,1778298,3696992,4911655,,,-135858,92209,16567,12905
2015-08-11,2,2015,0.0,161547,669434,760915,-1630783,-861527,6.27,6.27,-1630783.0,1563391,,1038,-210.0,5680513,2015年第2季,4640648,3009865,4658086,3030979,4873453,1330586,92361255,108406938,16045683,16045683,11172230,,-1080591.0,3245214,0.0,,6.24,6.24,2246503,4640648,6204039,,,-149998.0,100801,-17438,-21114
