date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-08-12,2,2014,,811,0,0,-438,1287,811,1.55,1.55,,5811,14957,2014年上半年度,157831,158642,157831,158642,183240,-19598,1429215,1687750,258535,258535,75295,9336,,,1.54,1.54,51002,157831,163642,,,,20447,0,0
2015-03-24,4,2014,,-11350,0,0,-202,8233,-11910,3.19,3.19,,-14338,31934,2014年度,377282,365372,377282,365372,391114,-28170,3280966,3848015,567049,567049,175935,21628,,-447,3.19,3.19,122373,377282,362944,,113,,36201,0,0
2015-05-11,1,2015,,2085,,,-6582,934,2085,0.43,0.43,2085,11939,8264,2015年01月01日至2015年03月31日,57734,59819,57734,59819,82477,-12804,761951,889399,127448,127448,44971,5655,,,0.43,0.43,31052,57734,69673,,,,7156,,
2015-08-12,2,2015,,2432,,,643,-226,2432,0.69,0.69,2432,18817,7864,2015年第2季,92878,95310,92878,95310,118851,-7156,790195,953393,163198,163198,44347,5347,,,0.69,0.69,31136,92878,111695,,,,7573,,
2015-11-11,3,2015,,-14246,,,9311,7423,-14246,0.26,0.26,-14246,5016,8404,2015年第3季,39200,24954,39200,24954,32620,11596,666434,738770,72336,72336,39716,5872,,,0.26,0.26,25440,39200,44216,,,,5138,,
2016-03-23,4,2015,-1103,-6138,,,1065,12799,-8140,1.32,1.32,-7037,52428,33969,2015年度,187283,179143,187283,179143,250866,-11155,2954024,3387765,433741,433741,182875,23683,-942,,1.32,1.32,125223,187283,239711,161,,899,25019,,
2016-05-12,1,2016,,-9729,,,-348,791,-9177,0.15,0.15,-9177,4797,9143,2016年01月01日至2016年03月31日,23163,13986,23163,13986,32232,-4272,624372,706304,81932,81932,49700,6173,,,0.15,0.15,34384,23163,27960,,,-552,4715,,
2016-08-11,2,2016,,-5328,,,1119,539,-5026,0.40,0.40,-5026,13621,7835,2016年第2季,59804,54778,59804,54778,76124,-2699,629757,751268,121511,121511,45387,6808,,,0.40,0.40,30744,59804,73425,,,-302,4357,,
2016-11-11,3,2016,,2316,,,95,2242,2185,0.33,0.33,2185,9649,8563,2016年第3季,49107,51292,49107,51292,60914,-2158,576985,680698,103713,103713,42799,6386,,,0.33,0.33,27850,49107,58756,,,131,4495,,
