date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,3123,1959,10258,,-15594.0,79254,,91725,0.8,,,20233,,23975,2013年01月01日至2013年03月31日,47234,126488,47234,126488,57413,10054,472660,590334,117674,117674,60261,4217,,,0.8,32069,47234,67467,,,,2163,,,472660,,594907,590334,4573,0.0,0.0
2013-08-07,2,2013,,-1455,-693,10446,,-7085.0,33141,,41681,1.21,,,38454,,27640,2013年04月01日至2013年06月30日,70959,104100,70959,104100,101010,8403,563485,736569,173084,173084,72074,5402,,,1.2,39032,70959,109413,,,,1350,,,563485,,742383,736569,5814,,
2013-11-07,3,2013,,62,-2606,12566,,5154.0,-25105,,-30321,1.37,,,42174,0.0,30371,2013年07月01日至2013年09月30日,80521,55416,80521,55416,114341,8354,618011,808987,190976,190976,76635,6287,,,1.36,39977,80521,122695,,,,1606,,,618011,,810804,808987,1817,,
2014-03-13,4,2013,,-2130,-453,45289,,-27629.0,132770,,162792,4.7,,,126274,,112898,2013年01月01日至2013年12月31日,276316,409086,276316,409086,364565,38025,2271822,2926356,654534,654534,289969,24305,,-263.0,4.67,152766,276316,402590,,,,6811,,,2271822,2941649.0,2941649,2926356,15293,,
2014-05-07,1,2014,,415,9532,16198,,3020.0,-14333,,-17768,1.27,,,20850,,28181,2014年01月01日至2014年03月31日,74548,60215,74548,60215,71184,24214,533472,679714,146242,146242,75058,10263,,,1.26,36614,74548,95398,,,,1516,,,533472,,691297,679714,11583,0.0,0.0
2014-08-08,2,2014,,779,-1356,96402,,9125.0,-44705,,-54609,2.12,,,40527,,37995,2014年第2季,124769,80064,124769,80064,73320,91976,625515,827102,201587,201587,128267,12060,,,2.1,78212,124769,165296,,,,3070,,625515.0,625515,830758.0,830758,827102,3656,,
2014-11-07,3,2014,,-59,-3564,18508,,,68334,,82294,1.29,,,31964,,54223,2014年第3季,75826,144160,75826,144160,98035,9755,801482,1031775,230293,230293,132258,16089,,,1.28,61946,75826,107790,,13901.0,,5189,,801482.0,801482,1036124.0,1036124,1031775,4349,,
2015-03-12,4,2014,,983,1086,150292,12373.0,-19765.0,97474,61442.0,121839,5.8,76477.0,,117868,,173000,2014年度,340812,438286,340812,438286,322211,136469,2740566,3525888,785322,785322,463111,46702,,-5583.0,5.75,243409,340812,458680,,,,14909,61442.0,,2740566,3551317.0,3551317,3525888,25429,,
2015-05-11,1,2015,,57,-23445,19436,,,-45916,,-55390,1.14,,-45916.0,17704,,55496,2015年01月01日至2015年03月31日,68562,22646,68562,22646,98344,-12078,739791,963762,223971,223971,125627,8681,,,0.99,61450,68562,86266,,,-9417.0,8069,,,739791,,975074,963762,11312,0.0,0.0
2015-08-10,2,2015,,52,-8197,18240,,,-37713,,-45499,1.54,,-37713.0,-16596,,60364,2015年第2季,102207,64494,102207,64494,80039,5572,834618,1045235,210617,210617,130578,8745,,,1.32,61469,102207,85611,,,-7734.0,4471,,834618.0,834618,1050083.0,1050083,1045235,4848,,
2015-11-06,3,2015,,-194,-6514,16244,,,118197,,142639,1.64,,118197.0,39423,,54666,2015年第3季,109029,227226,109029,227226,144222,4230,796552,1068777,272225,272225,128003,8400,,,1.38,64937,109029,148452,,,24248.0,5500,,796552.0,796552,1077771.0,1077771,1068777,8994,,
2016-03-07,4,2015,-8900.0,2596,-32028,71011,7513.0,,-81891,63498.0,-91069,5.76,0.0,-72991.0,56089,,235880,2015年度,373593,291702,373593,291702,413528,16154,3127119,4066274,939155,939155,525627,34897,-10723.0,,4.84,254850,373593,429682,-1823.0,,-15482.0,22829,63498.0,,3127119,4100472.0,4100472,4066274,34198,,
2016-05-03,1,2016,,7,-10297,24532,,,29163,,35125,0.94,,29163.0,13978,,57270,2016年01月01日至2016年03月31日,62842,92005,62842,92005,67619,9201,740425,933441,193016,193016,125397,6786,,,0.8,61341,62842,76820,,,5969.0,5034,,,740425,,946452,933441,13011,0.0,0.0
2016-08-01,2,2016,,-7683,-3589,13038,,,-73639,,-79464,1.63,,-73639.0,-32936,,60950,2016年第2季,108433,34794,108433,34794,70750,4747,826577,1031877,205300,205300,134550,10075,,,1.37,63525,108433,75497,,,-13508.0,4702,,826577.0,826577,1037872.0,1037872,1031877,5995,,
2016-11-07,3,2016,,3574,-5226,13006,,,-94609,,-118291,1.17,,-94609.0,26902,,58159,2016年第3季,78009,-16600,78009,-16600,102146,2765,887568,1115879,228311,228311,126165,8900,,,0.97,59106,78009,104911,,,-20108.0,5015,,887568.0,887568,1121405.0,1121405,1115879,5526,,
