date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
1925-05-13,1,2014,0.0,,474,,2884,4688,3845,-2801,843,1266,-3195,0.03,0.03,3408.0,,,,4404,,885,,60984,2014年01月01日至2014年03月31日,97.0,2200,-601,1898,-27,0.0,-587,7191,365305,464268,98963,98866,99453,12209,,,,0.03,0.03,26260,2200,6604,,-394.0,,,74,,1266,24,365305,123,,466223,464268,1832,302,-574
2013-05-15,1,2013,2221.0,,727,,1290,4889,4736,20582,153,1215,24679,0.14,0.14,4180.0,0.0,,,9743,,2068,,49989,2013年01月01日至2013年03月31日,135.0,10422,31004,10164,30169,2221.0,13133,7032,367976,476215,108239,108104,94971,16252,,,,0.14,0.14,28730,10422,20165,,4097.0,,,4,,1215,62,367976,186,477511.0,477511,476215,1110,258,835
2013-08-14,2,2013,2080.0,,476,,1548,8562,7847,5394,715,1123,6499,0.39,,4244.0,0.0,56.0,,10871,,3660,,58695,2013年04月01日至2013年06月30日,0.0,29053,34447,29114,34508,2080.0,27277,12647,426271,553926,127655,127711,100434,14460,,,,0.38,,27279,29053,39924,,1105.0,,,182,,1123,42,426271,442,,555498,553926,1130,-61,-61
2013-11-13,3,2013,23811.0,,964,,-27316,6371,5394,-5597,977,1299,-6744,0.03,,0.0,835.0,96.0,,2375,,6248,,60333,2013年07月01日至2013年09月30日,0.0,2820,-2777,2493,-3103,23811.0,21191,-15996,419738,543735,123997,124093,102902,14573,,,,0.03,,27996,2820,5195,,-1147.0,,,1725,,1299,19,419738,321,,546540,543735,2484,327,326
2014-08-13,2,2014,0.0,,582,,-4852,4955,4160,-4887,795,1315,-5907,0.18,,0.0,4289.0,45.0,,4626,,2699,,62686,2014年第2季,0.0,14187,9300,13898,8922,0.0,17326,1487,449401,566050,116649,116694,99368,10433,,,,0.18,,26249,14187,18813,,-1020.0,,,18,,1315,37,449401,14,,567221,566050,1157,289,378
2014-11-12,3,2014,0.0,,678,,17593,6475,5569,15754,906,1242,18971,0.47,,4069.0,0.0,3.0,,10050,,5730,,65430,2014年第3季,0.0,36237,51991,35566,51273,0.0,17731,28556,498330,623744,125414,125417,107686,11995,,,,,,30261,36237,46287,,3217.0,,13800.0,66,467.0,1242,1,498330,6,,626460,623744,2710,671,718
2015-03-31,4,2013,39020.0,,2805,,-31713,26159,23731,38138,2428,4912,43655,0.68,0.68,11841.0,0.0,,,25171,,16597,,228956,2013年01月01日至2013年12月31日,6.0,51990,90128,50886,82532,39020.0,71030,6131,1653652,2126619,472967,472961,401931,59256,,801.0,,0.67,0.67,113719,51990,77161,,6318.0,,,1856,0.0,4912,127,1653652,1121,,2135331,2126619,7591,1104,7596
2015-03-31,4,2014,,,2112,,22817,21989,18757,19710,3232,5060,25669,1.1,1.1,9463.0,,,,27490,-67.0,13124,,253053,2014年度,373.0,84571,104281,82711,103251,288.0,59191,52870,1835377,2310902,475525,475152,415961,46340,,-1522.0,,1.09,1.09,116568,84571,112061,,4370.0,,,-15223,467.0,5060,64,1835377,371,2320262.0,2320262,2310902,8989,1860,1030
2015-05-13,1,2015,0.0,,463,,-7079,5697,5235,-6300,462,1067,-7590,0.22,0.22,0.0,6618.0,348.0,-6300.0,4467,,2587,,60467,2015年01月01日至2015年03月31日,0.0,16520,10220,16226,9926,0.0,20849,138,441148,561482,120334,120682,99833,9793,,,,0.21,0.21,29573,16520,20987,,,-1290.0,,0,,1067,2,441148,184,,564915,561482,3249,294,294
2015-08-12,2,2015,,,396,,-3600,6616,6371,-12905,245,495,-15287,0.35,0.35,,3275.0,73.0,-12905.0,11847,,2726,,59340,2015年第2季,0.0,29096,16191,28293,16663,,35696,5247,476560,613001,136441,136514,100818,10729,,,,0.35,0.35,30749,29096,40943,,,-2382.0,7.0,0,,495,64,476560,705,618586.0,618586,613001,4880,803,-472
