date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,7612.0,168284,-7961,8126,8126.0,169115,2155,0.54,0.54,,50724,-1324.0,3920,,50395,2013年01月01日至2013年03月31日,214286,383401,203748,364308,349.0,267956,-2946,1137596,1778407,640811,640811,372855,,,,0.54,0.54,322460,214286,265010,,,,7031,10538,19093
2013-08-13,2,2013,,-1719.0,66676,-3810,161494,161494.0,67823,828,0.89,0.89,,82555,319.0,-23,,42010,2013年04月01日至2013年06月30日,360379,428202,334346,405447,5529.0,293201,149733,1313849,1979588,665739,665739,372538,,,,0.88,0.88,330528,360379,442934,,,,7928,26033,22755
2013-11-13,3,2013,,-39707.0,82131,35895,53269,53269.0,80873,-1045,0.76,0.76,,42044,-213.0,-54,,37805,2013年07月01日至2013年09月30日,294600,375473,288540,362315,3812.0,256720,79924,1147530,1806625,659095,659095,402375,,,,0.76,0.76,364570,294600,336644,,,,9186,6060,13158
2014-03-27,4,2013,,-21155.0,430420,-9631,259556,259556.0,416859,1141,2.71,2.71,,227399,-3618.0,11030,,192656,2013年01月01日至2013年12月31日,1078168,1495027,1023175,1419700,30786.0,1077981,227586,4927006,7516434,2589428,2589428,1511447,,,-12347.0,2.71,2.71,1318791,1078168,1305567,,-1263.0,,33369,54993,75327
2014-05-12,1,2014,,-46671,-183403,46671,9979,9979,-183834,191,0.71,0.71,,49180,-710,-1125,,55487,2014年01月01日至2014年03月31日,281564,97730,267960,93597,0,282608,48136,1060610,1723532,662922,662922,380314,,,,0.71,0.71,324827,281564,330744,,-88,,7389,13604,4133
2014-08-12,2,2014,,-13838.0,22345,13838,149284,149284.0,20616,-1674,0.62,0.62,,187587,-387.0,3072,,44372,2014年第2季,249948,270564,234377,257052,0.0,280047,157488,1067008,1725790,658782,658782,378735,,,,0.62,0.62,334363,249948,437535,,-332.0,,8706,15571,13512
2014-11-13,3,2014,,-99856.0,-27306,103274,90724,90724.0,-24652,2543,0.99,0.99,,49245,604.0,604,,46048,2014年第3季,394509,369857,378301,349394,-3418.0,255783,187971,1075372,1728016,652644,652644,396861,,,,0.99,0.99,350813,394509,443754,,493.0,,6631,16208,20463
2015-03-26,4,2014,,-146202.0,15874,143409,270523,270523.0,-43105,4169,2.71,2.71,,327975,295.0,3267,,201419,2014年度,1082472,1039367,1033789,985164,2793.0,1023766,386681,4260744,6870833,2610089,2610089,1586323,,,-75691.0,2.71,2.71,1384904,1082472,1410447,,-12248.0,,30518,48683,54203
2015-05-11,1,2015,,-5608.0,-68051,5608,17042,17042.0,-69411,-781,0.6,0.6,-69411.0,52408,,-750,-827.0,51188,2015年01月01日至2015年03月31日,240348,170937,229041,158304,,276899,15857,1053904,1707893,653989,653989,377090,,,,0.6,0.6,325902,240348,292756,,,-248.0,6043,11307,12633
2015-08-11,2,2015,,,103883,4980,171646,,101581,-2357,0.85,0.85,101581.0,83968,,1117,-329.0,47620,2015年第2季,335729,437310,324986,419396,,247954,171743,1101483,1754667,653184,653184,405230,,,,0.85,0.85,357610,335729,419697,,,-384.0,6000,10743,17914
2015-11-05,3,2015,,-24103.0,-320010,26543,109410,,-314799,5207,0.87,0.87,-314799.0,51277,,284,998.0,52325,2015年第3季,353956,39157,330387,41851,-2440.0,275293,129940,1143977,1791308,647331,647331,372038,,,,0.87,0.87,319713,353956,405233,,,994.0,6297,23569,-2694
2016-03-22,4,2015,-82568.0,,-323359,38726,313538,,-410029,-3652,2.81,2.81,-327461.0,223281,,2970,-1177.0,217209,2015年度,1131047,721018,1072036,683542,,1024277,330051,4453374,7046458,2593084,2593084,1568807,16308.0,-99480.0,,2.81,2.81,1335290,1131047,1354328,-16912.0,,-727.0,25183,59011,37476
2016-05-06,1,2016,,,-221588,23751,14565,,-222561,-1054,0.6,0.6,-222561.0,43916,,-568,-117.0,50966,2016年01月01日至2016年03月31日,233865,11304,227970,23477,,244943,32838,1149544,1791497,641953,641953,397010,5821.0,,,0.6,0.6,340223,233865,277781,,,-198.0,4910,5895,-12173
2016-08-09,2,2016,,,45351,10239,161231,,41401,-3979,0.79,0.79,41401.0,77729,,2326,-731.0,48403,2016年第2季,313288,354689,303008,341541,,223017,168000,1163078,1792120,629042,629042,406025,3706.0,,,0.79,0.79,353916,313288,391017,,,-760.0,5796,10280,13148
2016-11-09,3,2016,,,29532,28932,88208,,25288,-4155,0.72,0.72,25288.0,40428,,953,-901.0,45836,2016年第3季,289335,314623,276211,296937,,217086,112677,1184545,1802471,617926,617926,400840,5956.0,,,0.72,0.72,349048,289335,329763,,,-812.0,5416,13124,17686
