date,season,year,不動產重估增值,不重分類至損益之項目總額(稅後),以成本衡量之金融資產淨損益,停業單位損益合計,停業單位營業稅前損益,停業單位資產或處分群組按公允價值減出售成本衡量損益（稅前）,停業單位資產或處分群組處分損益（稅前）,備供出售金融資產之已實現損益,備供出售金融資產未實現評價損益,兌換損益,其他不重分類至損益之項目,其他什項損益,其他利息以外淨損益,其他可能重分類至損益之項目,其他業務及管理費用合計,其他綜合損益（稅後）淨額,出售不良債權淨損益,出售承受擔保品淨損益,利息以外淨損益,利息收入合計,利息淨收益,利息費用合計,呆帳費用及保證責任準備提存（各項提存）合計,員工福利費用合計,國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額(稅後),所得稅（費用）利益,手續費收入合計,手續費淨收益,手續費費用合計,折舊及攤銷費用合計,持有至到期日金融資產之已實現損益,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額-可能重分類至損益之項目,會計項目,本期其他綜合損益,本期稅前淨利（淨損）,本期稅後淨利（損）歸屬於共同控制下前手權益,本期稅後淨利（損）歸屬於母公司業主,本期稅後淨利（損）歸屬於非控制權益,本期稅後淨利（淨損）,本期稅後綜合損益總額歸屬於共同控制下前手權益,本期稅後綜合損益總額歸屬於母公司業主,本期稅後綜合損益總額歸屬於非控制權益,本期綜合損益總額（稅前）,本期綜合損益總額（稅後）,淨收益,減：重分類調整數─國外營運機構淨投資避險屬有效避險部分之避險損益,減：重分類調整數─現金流量避險中屬有效避險之避險工具損益,減：重分類調整數─處分國外營運機構財務報表換算之兌換差額,減：重分類調整數─除列備供出售金融資產未實現損益,營業費用合計,營業資產出租淨損益,現金流量避險中屬有效避險部分之避險工具利益（損失）,確定福利計畫之再衡量數,確定福利計畫精算損益,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,綜合損益總額,繼續營業單位本期稅後淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與停業單位損益組成部分相關之所得稅(費用)利益,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與本期損益組成部分相關之所得稅(費用)利益,與本期綜合損益組成部分相關之所得稅,證券經紀收入淨額,資產報廢損失合計,資產減損（損失）迴轉利益淨額,透過損益按公允價值衡量之金融資產及負債損益,銷貨淨損益
2013-05-10,1,2013,,,,,,,,7799,5569,213140,,53287,91386,,693277,67318.0,,,979353,5625786,3248316,2377470,803615,1803625,,74396,0.15,0.15,,-89186,642014.0,575395,66619.0,109474,,,,,,,2013年01月01日至2013年03月31日,,,,728492,0,728492,,795810,0,897643,,4227669,,,,,2606376,1845,,,,0.15,0.15,795810.0,728492,817678,,,-12647.0,,-89186,-101833,36254,,,91633,
2013-08-23,2,2013,,,124582.0,,,,,14454,-33055,-117984,,20615,191810,,732190,-121480.0,,,1164866,5722867,3326607,2396260,887591,1888184,,-119595,0.16,0.16,,-67460,776046.0,711682,64364.0,106820,,,,,,,2013年04月01日至2013年06月30日,,,,809228,0,809228,,687748,0,724038,,4491473,,,,,2727194,1990,,,,0.16,0.16,687748.0,809228,876688,,,31170.0,,-67460,-36290,39748,-263.0,,364904,5138.0
2013-10-31,3,2013,,,4092.0,,,,,9310,136797,40180,,3019,21452,,800175,117483.0,-31250.0,,946843,5880195,3436243,2443952,949933,1772156,,-23270,0.13,0.13,,-70917,722220.0,657158,65062.0,107439,,,,,,,2013年07月01日至2013年09月30日,,753383.0,,682466,0,682466,,799949,0,866910,,4383086,,,,,2679770,2450,,,,0.13,0.13,799949.0,682466,753383,,,3956.0,,-70917,-66961,41840,-355.0,,218743,1656.0
2014-03-21,4,2013,,,186968.0,0.0,,,,35660,101179,255354,,79442,418300,,3121263,-1379.0,-31250.0,,4128739,23293357,13594502,9698855,3000139,7305886,,-57199,0.71,0.71,,-246548,,2590002,,439203,,,,,,,2013年01月01日至2013年12月31日,,3856750.0,0.0,3610202,0,3610202,0.0,3608823,0,3834365,,17723241,,,,,10866352,8076,,,-66365.0,0.71,0.71,3608823.0,3610202,3856750,,,21006.0,,-246548,-225542,162586,-1075.0,,829423,13553.0
2014-05-09,1,2014,,,-178.0,0.0,0.0,0.0,0.0,19,-34807,194306,,-40948,33049,,731429,100166.0,21824.0,,979004,6069740,3503275,2566465,681444,1747216,,155489,0.24,0.24,,-6396,663239.0,590989,72250.0,103334,,,,,,,2014年01月01日至2014年03月31日,,1218856.0,,1212460,0,1212460,,1312626,0,1339538,,4482279,,,,,2581979,1389,,,,0.24,0.24,1312626.0,1212460,1218856,,0.0,-20516.0,,-6396,-26912,50145,-52.0,,160641,869.0
2014-08-25,2,2014,,,117524.0,,,,,10144,112020,33920,,-100798,74485,,803614,-118835.0,0.0,,1043108,6276981,3643142,2633839,680005,1754055,,-255195,0.25,0.25,,-26376,681484.0,613318,68166.0,101796,,,,,,,2014年第2季,,1346780.0,,1320404,0,1320404,,1201569,0,1203605,,4686250,,,,,2659465,2347,,,,0.25,0.25,1201569.0,1320404,1346780,,,24340.0,,-26376,-2036,54324,-381.0,0.0,311241,1469.0
2014-10-31,3,2014,,,0.0,0.0,0.0,0.0,0.0,23603,-40889,380822,,-29164,28523,,975284,105712.0,0.0,,1171074,6398109,3776329,2621780,594328,1808051,,168253,0.27,0.27,,-46771,943992.0,873770,70222.0,103798,,,,,,,2014年第3季,,1465942.0,,1419171,0,1419171,,1524883,0,1593306,,4947403,,,,,2887133,2917,,,,0.27,0.27,1524883.0,1419171,1465942,,0.0,-21652.0,,-46771,-68423,53021,-88.0,0.0,-135644,1837.0
2015-03-18,4,2014,,,117346.0,0.0,,,,53078,-43745,846166,,-156712,198353,,3527782,169212.0,21824.0,,4204068,25259678,14790257,10469421,2538587,7034153,,244690,1.0,1.0,,-170579,,2779820,,408087,,,,,,,2014年度,,5485716.0,0.0,5315137,0,5315137,0.0,5484349,0,5697211,,18994325,,,,,10970022,8204,,,10550.0,1.0,1.0,5484349.0,5315137,5485716,,,-42283.0,,-170579,-212862,202333,-651.0,641.0,326010,6009.0
2015-05-12,1,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1234,1907,-285482,0.0,6348,51024,0.0,915279,,0.0,,1087751,6375930,3737100,2638830,484198,1792751,0.0,-175978,0.25,0.25,-144479.0,-193051,923189.0,853651,69538.0,97330,-13.0,0.0,0.0,0.0,0.0,0.0,2015年01月01日至2015年03月31日,-144479.0,1535293.0,0.0,1342242,0,1342242,0.0,1197763,0,1361222,1197763.0,4824851,0.0,0.0,0.0,0.0,2805360,2362,0.0,0.0,,0.25,0.25,,1342242,1535293,0.0,0.0,,29592.0,-193051,-163459,41233,-235.0,,467337,1316.0
2015-08-19,2,2015,0.0,0.0,131489.0,,,,,810,-41018,360290,0.0,1078,182475,,979895,,0.0,,1248719,6533659,3918153,2615506,774736,1788675,,-73672,0.23,0.23,-95193.0,-328439,952718.0,880121,72597.0,94472,0.0,0.0,0.0,,0.0,,2015年第2季,-95193.0,1529094.0,0.0,1200655,0,1200655,0.0,1105462,0,1414404,1105462.0,5166872,,,,,2863042,1781,,0.0,,0.23,0.23,,1200655,1529094,0.0,,,19497.0,-328439,-308942,46919,-55.0,0.0,-174977,1263.0
2015-10-28,3,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28831,-50613,171520,0.0,-3848,39852,0.0,1039986,,0.0,,1144892,6539104,3947260,2591844,643028,1781046,0.0,358503,0.22,0.22,255549.0,-270835,987108.0,915106,72002.0,94684,0.0,0.0,0.0,0.0,0.0,0.0,2015年第3季,255549.0,1533408.0,,1262573,0,1262573,,1518122,0,1841298,1518122.0,5092152,0.0,0.0,0.0,0.0,2915716,2427,0.0,0.0,,0.22,0.22,,1262573,1533408,0.0,0.0,,-52341.0,-270835,-323176,39906,-331.0,0.0,-10417,1698.0
2016-03-23,4,2015,,-254555.0,131489.0,0.0,,,,90107,-66530,524206,,27469,346853,,4019336,,0.0,3337.0,4692869,25853374,15469015,10384359,2409189,7157141,,151731,0.9,0.9,62731.0,-1083128,3827481.0,3540500,286981.0,380054,-13.0,,,,,,2015年度,-191824.0,6196164.0,0.0,5113036,0,5113036,0.0,4921212,0,5974672,4921212.0,20161884,,,,,11556531,7507,,-306693.0,,0.89,0.89,,5113036,6196164,52138.0,,,-22470.0,-1083128,-1053460,171503,-783.0,6104.0,185112,6331.0
2016-05-09,1,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-107,369053,66084,0.0,668845,708115,0.0,1041175,,0.0,,1981502,6236229,3776466,2459763,1130333,1881872,0.0,-182420,0.24,0.24,154906.0,-253011,1100053.0,1028688,71365.0,96591,0.0,0.0,0.0,0.0,0.0,0.0,2016年01月01日至2016年03月31日,154906.0,1607997.0,0.0,1354986,0,1354986,0.0,1509892,0,1794630,1509892.0,5757968,0.0,0.0,0.0,0.0,3019638,1508,0.0,0.0,,0.24,0.24,,1354986,1607997,0.0,0.0,,-31727.0,-253011,-284738,37706,-604.0,,178722,660.0
2016-08-24,2,2016,0.0,0.0,174670.0,,,,,28419,169575,-8716,0.0,-10893,198902,,935698,,0.0,,1393186,5961762,3638762,2323000,577677,1866359,,-14275,0.22,0.22,218564.0,-315889,1099627.0,1028928,70699.0,96877,0.0,0.0,0.0,,0.0,,2016年第2季,218564.0,1555337.0,0.0,1239448,0,1239448,0.0,1458012,0,1710637,1458012.0,5031948,,,,,2898934,2600,,0.0,,0.22,0.22,,1239448,1555337,0.0,,,63264.0,-315889,-252625,32635,-937.0,6782.0,138871,827.0
2016-10-28,3,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78246,260841,-8522,0.0,28516,67639,0.0,926480,,,,1260539,5953917,3729193,2224724,482890,1841499,0.0,-324548,0.23,0.23,-10134.0,-244923,972488.0,900539,71949.0,97604,0.0,0.0,0.0,0.0,0.0,0.0,2016年第3季,-10134.0,1641259.0,0.0,1396336,0,1396336,0.0,1386202,0,1577552,1386202.0,4989732,0.0,0.0,0.0,0.0,2865583,1912,0.0,0.0,,0.23,0.23,,1396336,1641259,0.0,0.0,,53573.0,-244923,-191350,36753,-425.0,0.0,222637,883.0
