date,season,year,不動產、廠房及設備減損迴轉利益,什項支出,停業單位損益合計,停業單位淨利（淨損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,分期付款銷貨收入,利息收入合計,利息費用,可能重分類至損益之其他項目,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫精算利益（損失）,租金收入,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,遞延所得稅費用（利益）,金融資產減損損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）
2013-05-03,1,2013,0.0,959,,,3481,28605,25327,54086,,2228,1210.0,,,1.68,,4440.0,0.0,,42235,54086.0,54086.0,36048,2013年01月01日至2013年03月31日,145044,199130,145044,199130,,0.0,156403,30876,1143907,1433450,289543,289543,133140,42235.0,45535,,1050,51557,145044,187279,,,,,0,1210,,0.0,,2228.0,1143907.0,1143907.0,3720.0,1437830.0,1437830.0,1433450.0,660.0,0.0
2013-08-09,2,2013,,678,,,-9539,46275,41376,16320,,3121,2549.0,,16320.0,1.48,,0.0,6711.0,,38508,,,36004,2013年04月01日至2013年06月30日,127452,143772,127452,143772,,0.0,131773,34187,1288917,1561770,272853,272853,141080,,48296,,1051,56780,127452,165960,727.0,0.0,,115.0,2265,2549,0.0,,,,,,,,,,,
2013-11-08,3,2013,163.0,1004,0.0,0.0,-22654,14594,7309,-18368,,6235,1406.0,,-18368.0,1.53,1.53,,8777.0,,41852,,,39985,2013年07月01日至2013年09月30日,132077,113709,132077,113709,,163.0,183395,-9466,1186577,1527142,340565,340565,157170,,56601,,1050,60584,132077,173929,0.0,0.0,,0.0,13036,1406,0.0,,,,,,,,,,,
2014-03-25,4,2013,183.0,3389,,,-39853,67356,40824,82515,,21603,7441.0,,98100.0,6.2,6.2,,19696.0,,149853,,,157168,2013年01月01日至2013年12月31日,535632,618147,535632,618147,,183.0,665423,20062,4753553,6021383,1267830,1267830,602407,,211972,1098.0,4202,233267,535632,685485,727.0,16683.0,,116.0,17067,7441,0.0,,,,,,,,,,,
2014-05-06,1,2014,,423,,,4581,12972,5945,-5682,,5977,4906.0,,-6846.0,1.24,,6099.0,,,25893,,,43417,2014年01月01日至2014年03月31日,106979,101297,106979,101297,,45.0,120225,12647,981455,1269189,287734,287734,167509,,69636,,1050,54456,106979,132872,,-1164.0,,,1140,4906,,,,,,,,,,,,
2014-07-28,2,2014,,447,,,-158,12632,5296,-32891,,6285,1802.0,,-39627.0,1.99,1.99,525.0,0.0,,84149,,,45566,2014年第2季,171415,138524,171415,138524,,0.0,244892,10672,1199790,1611991,412201,412201,167309,,66011,,1051,55732,171415,255564,0.0,-6736.0,,0.0,236,1802,,,,,,,,,,,,
2014-10-30,3,2014,,517,,,11246,23260,11734,46213,,10476,,,55678.0,1.88,1.88,12551.0,0.0,,56482,,,53888,2014年第3季,162079,208292,162079,208292,,0.0,185477,33084,1181325,1536285,354960,354960,169483,,53309,,1050,62286,162079,218561,0.0,9465.0,,63.0,851,1422,,,,,,,,,,,,
2015-03-25,4,2014,45.0,1759,,0.0,-14217,66004,32383,66833,,29329,9268.0,,84392.0,6.6,6.6,26424.0,0.0,,220335,,,189800,2014年度,570193,637026,570193,637026,16816.0,45.0,748009,42519,4511949,5940073,1428124,1428124,680115,,251621,-3213.0,4202,238694,570193,790528,90.0,14346.0,,63.0,22174,9268,,,16816.0,,,,,,,,,
2015-05-04,1,2015,,227,,,25107,11986,6728,-19232,,4208,1510.0,,-23171.0,1.52,,25796.0,,-19232.0,58507,,,41916,2015年01月01日至2015年03月31日,131273,112041,131273,112041,,0.0,154197,35583,1006769,1314361,307592,307592,153395,,56340,,1050,55139,131273,189780,,,-3939.0,,462,1510,,,,,,,,,,,,
2015-08-10,2,2015,,512,,,2287,6413,1127,-27059,0.0,4235,1686.0,,-32601.0,1.18,1.18,2796.0,,-27059.0,56378,,,38463,2015年第2季,102041,74982,102041,74982,,0.0,151405,7014,1113666,1434264,320598,320598,169193,,62142,,1051,68588,102041,158419,,,-5542.0,3.0,0,1686,,,,,,1113666.0,6484.0,,1443032.0,1434264.0,2284.0,
