date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,128844,3075,,,,45344,45344,0.92,0.92,,22134,0.0,41097,2013年01月01日至2013年03月31日,446179,491523,450656,496000,356189,112124,4196996,4691230,494234,494234,138045,66645,0.91,0.91,30303,446179,468313,19795,4196996.0,4691230.0,-4477,-4477
2013-08-06,2,2013,,88591,4891,4891.0,,,24750,24750,1.69,1.69,,157062,0.0,42442,2013年04月01日至2013年06月30日,826600,851350,829088,853838,904982,78680,3917653,4976569,1058916,1058916,153934,70113,1.68,1.68,41379,826600,983662,14802,3917653.0,4976569.0,-2488,-2488
2013-11-05,3,2013,,3329,11684,11684,,,-16159,-16159,1.33,1.33,,36424,0,44679,2013年07月01日至2013年09月30日,650218,634059,653358,637199,684431,2211,3450508,4291283,840775,840775,156344,76666,1.33,1.33,34999,650218,686642,12802,3450508,4291283,-3140,-3140
2014-02-26,4,2013,688.0,342427,31678,31678.0,,,79008,78320,4.98,4.98,,280321,0.0,169552,2013年01月01日至2013年12月31日,2431897,2510905,2446292,2525004,2396365,315853,14846231,17852579,3006348,3006348,609983,297099,4.96,4.96,143332,2431897,2712218,58252,14846231.0,17852579.0,-14395,-14099
2014-04-24,1,2014,97.0,38778,13327,,,,-10598,-10695,1.08,1.08,,39464,,39355,2014年01月01日至2014年03月31日,529020,518422,532070,521472,530419,38065,3203661,3884762,681101,681101,150682,71382,1.08,1.08,39945,529020,568484,14040,3203661.0,3884762.0,-3050,-3050
2014-08-13,2,2014,-110.0,-43460,25209,25209.0,,,-40257,-40147,0.94,0.94,,265243,,48772,2014年第2季,455945,415688,459389,419137,755107,-33919,3206721,4115887,909166,909166,154059,71725,0.93,0.93,33562,455945,721188,15668,3206721.0,4115887.0,-3444,-3449
2014-11-12,3,2014,0.0,186499,31016,31016.0,,,75603,75603,1.1,1.1,,62296,0.0,61510,2014年第3季,567011,642614,568836,644440,425070,204237,3335672,3967420,631748,631748,206678,86214,1.1,1.1,58954,567011,629307,13278,3335672.0,3967420.0,-1825,-1826
2015-03-10,4,2014,376.0,450697,94049,94049.0,,,133302,132926,4.36,4.36,,433220,,210171,2014年度,2239633,2372935,2248561,2381701,2179655,493198,12919962,15818286,2898324,2898324,718669,329436,4.34,4.34,179062,2239633,2672853,51548,12919962.0,15818286.0,-8928,-8766
2015-04-28,1,2015,0.0,-3725,6112,,,,-36719,-36719,0.81,,-36719.0,79908,,53988,2015年01月01日至2015年03月31日,416979,380260,419612,382893,500749,-3862,2675515,3361649,686134,686134,185385,85927,0.81,,45470,416979,496887,6249,2675515.0,3361649.0,-2633,-2633
2015-08-11,2,2015,-246.0,1107,25241,25241.0,,,-55484,-55238,0.42,0.42,-55484.0,129340,,63334,2015年第2季,215896,160412,216867,161704,323605,21631,2701419,3199757,498338,498338,174733,73625,0.42,0.42,37774,215896,345236,4717,2701419.0,3199757.0,-971,-1292
2015-11-11,3,2015,8905.0,243210,21838,21838.0,,,170220,161315,0.61,0.61,170220.0,78629,,61608,2015年第3季,318174,488394,316948,486713,140092,256711,2700097,3011677,311580,311580,171488,55379,0.61,0.61,54501,318174,396803,8337,,,1226,1681
2016-03-11,4,2015,10110.0,235425,73070,,,,-72138,-82248,2.03,2.03,-72138.0,319427,,250271,2015年度,1047159,975021,1048795,983220,1082610,283976,10958288,12747295,1789007,1789007,706397,277126,2.02,2.02,179000,1047159,1366586,24519,10958288.0,12747295.0,-1636,-8199
2016-04-29,1,2016,1622.0,-144717,11685,,-42979.0,-42979.0,-17695,-19317,-0.7,-0.7,-17695.0,-9982,,53847,2016年01月01日至2016年03月31日,-360866,-378561,-361633,-378458,-232793,-138055,2374143,2347214,-26929,-26929,162885,65686,-0.7,-0.7,43352,-360866,-370848,5023,2374143.0,2347214.0,767,-103
2016-08-10,2,2016,-4801.0,-136802,20008,20008.0,-180.0,-180.0,-112608,-107807,-0.95,-0.95,-112608.0,49524,,55393,2016年第2季,-491530,-604138,-491396,-603564,-320397,-121609,2769081,2630909,-138172,-138172,182045,76450,-0.95,-0.95,50202,-491530,-442006,4815,,,-134,-574
2016-11-09,3,2016,-7975.0,-7907,32846,32846.0,4395.0,4395.0,-202786,-194811,-0.86,-0.86,-202786.0,-26192,,60688,2016年第3季,-455679,-658465,-444955,-569897,-503392,21521,3012212,2700101,-312111,-312111,195676,86011,-0.86,-0.86,48977,-455679,-481871,3418,,,-10724,-88568
