date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,161421,462990,324854,1407623,1249669,0.74,,489016,,,54375,,2696112,2013年01月01日至2013年03月31日,,1615269,3022892,1613557,3021177,1739544,364741,150138250,158195661,8057411,8057411,6317867,,3142354,,,0.73,479401,1615269,2104285,,3467,,477478,158195661,1712,1715
2013-08-10,2,2013,,-246021,735930,290578,126633,365018,0.76,,534318,,,94440,,1457992,2013年04月01日至2013年06月30日,,1743095,1869728,1740405,1867064,1626810,650603,156194333,162950452,6756119,6756119,5129309,,3152355,,,0.68,518962,1743095,2277413,,-7636.0,,470345,162950452.0,2690,2664
2013-11-13,3,2013,,-320225,98596,338449,-1107217,-813014,0.64,,470076,,,142786,,2358071,2013年07月01日至2013年09月30日,,1468616,361399,1470889,363040,1838277,100415,151807253,159887702,8080449,8080449,6242172,,3290935,,,0.63,593166,1468616,1938692,,-26022.0,,479416,159887702.0,-2273,-1641
2014-03-25,4,2013,,-246956,1851417,1582941,1134976,1282078,2.51,,2160459,,85507.0,412600,,8956231,2013年01月01日至2013年12月31日,,5754728,6889704,5751341,6886361,6085926,1829261,593806022,624009073,30203051,30203051,24117125,2160459.0,12967288,,0.0,2.4,2193606,5754728,7915187,,-14347.0,,2017697,624009073.0,3387,3343
2014-05-14,1,2014,,10049,132519,654683,1067207,1039131,0.15,,111596,,3670.0,22520,,2658830,2014年01月01日至2014年03月31日,,341941,1409148,341960,1409153,215054,238483,119268272,125818268,6549996,6549996,6334942,111596.0,3130856,,,0.14,545256,341941,453537,,-14357.0,,571239,125818268.0,-19,-5
2014-08-13,2,2014,,127581,-308151,894360,-1081394,-1180389,0.51,,407760,,-22736.0,20319,,3023690,2014年第2季,,1215966,134572,1210791,129408,1623749,-23,127345671,135884930,8539259,8539259,6915510,407760.0,3306395,,,0.5,585425,1215966,1623726,,5850.0,,606551,135884930.0,5175,5164
2014-11-13,3,2014,,-321392,290733,899948,589866,863530,0.61,,456490,,31861,-22182,,2761484,2014年第3季,,1449655,2039521,1447519,2036294,1329707,576438,147575900,155753805,8177905,8177905,6848198,456490,3475004,,,0.59,611710,1449655,1906145,,-15867,,592061,155753805,2136,3227
2015-03-10,4,2014,,-53354,384209,3109558,3125537,3072094,1.5,,1253409,,90903.0,-16813,,11636494,2014年度,,3588991,6714528,3578536,6700606,3764020,1078380,561229960,592346734,31116774,31116774,27352754,1253409.0,13424842,,,1.47,2291418,3588991,4842400,,-15894.0,,2398574,592346734.0,10455,13922
2015-05-14,1,2015,,-22357,64809,610456,-1040301,-981140,0.3,-1040301.0,318265,,,67589,-51782.0,2591090,2015年01月01日至2015年03月31日,318265.0,733736,-306565,722939,-316697,816530,235471,143674663,150704704,7030041,7030041,6213511,,3048363,,,0.29,574058,733736,1052001,,,-14978.0,507383,150704704.0,10797,10132
2015-08-13,2,2015,,-245476,58575,539275,-866033,-598531,0.03,-866033.0,91793,,,-3037,-21712.0,2720931,2015年第2季,91793.0,53417,-812616,76624,-788762,18525,126685,139233890,146073368,6839478,6839478,6820953,,3455908,,,0.03,644114,53417,145210,,,314.0,468128,146073368.0,-23207,-23854
2015-11-04,3,2015,,-109091,415938,434902,4085701,4200440,0.27,4085701.0,652191,,,60199,-9224.0,2869275,2015年第3季,652191.0,663987,4749688,656557,4737595,861927,454251,144622806,152416106,7793300,7793300,6931373,,3360215,,,0.27,701883,663987,1316178,,,-3576.0,456788,152416106.0,7430,12093
2016-03-25,4,2015,-100130.0,423613,-174198,1816467,2601852,2338456,0.55,2701982.0,1099470,-14616.0,,200797,-77101.0,10897273,2015年度,,1270895,3872747,1334094,3933920,2389705,-19340,593857752,623273988,29416236,29416236,27026531,,13382922,-103272.0,,0.53,2746336,1270895,2370365,-17758.0,,-17014.0,1862406,,-63199,-61173
2016-05-13,1,2016,,-87104,-768592,240648,-1451418,-1346577,0.16,-1451418.0,205463,,,96775,-18174.0,2143226,2016年01月01日至2016年03月31日,,397429,-1053989,383030,-1067369,1528271,-925379,127029997,134695622,7665625,7665625,6137354,,3255878,,,0.16,738250,397429,602892,,,-437.0,494210,,14399,13380
2016-08-12,2,2016,,86362,154800,213416,-82126,-158505,0.25,-82126.0,288312,,,9969,-22060.0,2150483,2016年第2季,,625333,543207,616197,534187,947458,-33813,139327558,146627137,7299579,7299579,6352121,,3436366,,,0.24,765272,625333,913645,,,-12077.0,411998,,9136,9020
2016-11-11,3,2016,,88680,-417816,367106,-1845693,-1849255,0.21,-1845693.0,295508,,,93708,-78631.0,2307523,2016年第3季,,501813,-1343880,511651,-1332875,1283141,-485820,160870035,168538221,7668186,7668186,6385045,,3397108,,,0.2,680414,501813,797321,,,6487.0,528818,,-9838,-11005
