date,season,year,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,透過損益按公允價值衡量之金融資產（負債）利益,銷貨成本合計,銷貨收入淨額
2015-08-13,2,2015,,-32330,2213,2,-373,2211,-373,4.07,4.07,0,32330,-373,34866,15906,2015年上半年度,129967,129594,129967,129594,194950,-30117,741375,1145348,403973,403973,209023,167599,3.91,3.91,25518,129967,164833,,0,0,741375,1145348
2016-03-07,4,2015,26,48733,3799,,509,3799,642,7.58,7.58,48617,,509,104147,26191,2015年度,465596,466105,465596,466105,517211,52532,1650519,2602510,951991,951991,434780,367330,7.50,7.50,41259,465596,569743,133,0,142,1650519,2602510
2016-08-01,2,2016,4,1137,1983,0,30,1983,30,0.92,0.92,1106,0,30,24920,5625,2016年第2季,60384,60414,60384,60414,82184,3120,371853,552861,181008,181008,98824,71095,0.90,0.90,22104,60384,85304,,0,35,371853,552861
2016-11-03,3,2016,0,-39060,1535,1,-962,1534,-962,0.09,0.09,0,39204,-962,4152,9951,2016年第3季,6258,5296,6258,5296,47935,-37525,462095,628962,166867,166867,118932,47434,0.09,0.09,61547,6258,10410,0,,144,462095,628962
