date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,-2675,9328,3014,43348,48479,-0.43,-0.43,,-17752,-369.0,-1015,,51216,2013年01月01日至2013年03月31日,-93757,-50409,-93757,-50409,-120853,9344,474894,605964,131070,131070,251923,123274,,,-0.43,-0.43,77433,-93757,-111509,,2087.0,,1983,0,0
2013-08-12,2,2013,,16521,10807,3763,33879,24297,-0.42,-0.42,,1641,0.0,1239,,48875,2013年04月01日至2013年06月30日,-91054,-57175,-91054,-57175,-103071,13658,513270,666961,153691,153691,256762,120700,,,-0.42,-0.42,87187,-91054,-89413,,6939.0,,2151,0,0
2013-11-11,3,2013,,313,2060,18871,-14503,-17786,-0.18,-0.18,,6292,0.0,-713,,29086,2013年07月01日至2013年09月30日,-39844,-54347,-39844,-54347,-52135,18583,598489,786808,188319,188319,240454,122563,,,-0.18,-0.18,88805,-39844,-33552,,-2970.0,,1635,0,0
2014-03-24,4,2013,,60278,25786,33007,130179,85735,-1.14,-1.14,,-3522,-784.0,-689,,157738,2013年01月01日至2013年12月31日,-246025,-115846,-246025,-115846,-301212,51665,2176162,2818145,641983,641983,943195,492584,,11613.0,-1.14,-1.14,292873,-246025,-249547,,26663.0,,6439,0,0
2014-05-07,1,2014,,1690,24132,3337,-3438,-6750,-0.06,-0.06,,1193,918.0,-1087,,36335,2014年01月01日至2014年03月31日,-12865,-16303,-12865,-16303,-37206,25534,487329,671047,183718,183718,220924,116599,,,-0.06,-0.06,67990,-12865,-11672,,-704.0,,848,0,0
2014-08-08,2,2014,,22281,-8230,2408,-5195,-28540,-0.3,-0.3,,9103,0.0,-355,,52509,2014年第2季,-65058,-70253,-65058,-70253,-48092,-7863,597760,796789,199029,199029,247121,123215,,0.0,-0.3,-0.3,71397,-65058,-55955,,-1064.0,,1686,0,0
2014-11-10,3,2014,,-18358,12486,11193,21810,45838,-0.12,-0.12,,4846,-1.0,-656,,41942,2014年第3季,-25863,-4053,-25943,-4133,-42111,21094,471560,676212,204652,204652,246763,123214,,,-0.12,-0.12,81607,-25863,-21017,,5669.0,,1929,80,80
2015-03-23,4,2014,,-12368,54456,22872,40051,61464,-0.39,-0.39,,22689,1603.0,-1504,,181909,2014年度,-84909,-44858,-84962,-44911,-131768,69548,2032793,2792406,759613,759613,891381,482552,,-1629.0,-0.39,-0.39,226920,-84909,-62220,,9019.0,,6276,53,53
2015-05-13,1,2015,,1784,-20228,1899,-12058,-17254,-0.26,-0.26,-12058.0,3092,,-318,411.0,41575,2015年01月01日至2015年03月31日,-55477,-67535,-55340,-67385,-32734,-19651,418639,620302,201663,201663,234397,119564,,,-0.26,-0.26,73258,-55477,-52385,,,-3001.0,1004,-137,-150
2015-08-10,2,2015,,-33234,2652,1789,-48183,-25108,-0.25,-0.25,-48183.0,4040,,87,0.0,44363,2015年第2季,-53606,-101789,-53675,-101844,-53266,3700,455980,639470,183490,183490,236756,124515,,,-0.25,-0.25,67878,-53606,-49566,,,-10159.0,828,69,55
