date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,50696.0,16364,2009,63358,12662,0.06,,2355,-130,,,65401,2013年01月01日至2013年03月31日,,10961,74319,11497,74664,6082,7234,532455,669734,137279,137279,131197,32253,,,33543,10961,13316,,,11009,532455.0,532455,9676.0,679416,679416,669734,6.0,-536,-345
2013-08-09,2,2013,,-31327.0,111324,13655,-25081,6246,0.59,,-1402,177,,,76644,2013年04月01日至2013年06月30日,,107723,82642,107691,82557,-9742,116063,597390,736012,138622,138622,148364,31909,,,39811,107723,106321,,,9093,,597390,13227.0,749239,749239,736012,0.0,32,85
2013-11-07,3,2013,,66656.0,-49244,32970,61489,-5167,0.09,,3442,208,,,81911,2013年07月01日至2013年09月30日,,16897,78386,16805,78386,46129,-25790,770862,969238,198376,198376,152247,34244,,,36092,16897,20339,,,9724,,770862,15916.0,991662,991662,969238,6508.0,92,0
2014-03-25,4,2013,,189441.0,152202,53721,220205,37529,1.14,,10402,500,,,320416,2013年01月01日至2013年12月31日,27.0,205876,426081,206812,426802,50063,166215,2646282,3287008,640726,640699,590636,127488,,-385.0,142732,205876,216278,6380.0,,40208,,2646282,69064.0,3362794,3362794,3287008,6722.0,-936,-721
2014-05-08,1,2014,,-66974.0,26224,2559,-66457,623,0.06,,2109,40,,,55814,2014年01月01日至2014年03月31日,,9596,-56861,10297,-56276,-6855,18560,561140,676020,114880,114880,121735,32445,,,33476,9596,11705,106.0,,10263,561140.0,561140,11993.0,688042,688042,676020,29.0,-701,-585
2014-08-07,2,2014,,-40463.0,-4407,12285,-49880,-11346,-0.02,,11976,273,,,76748,2014年第2季,0.0,-2608,-52488,-2811,-52572,12238,-2870,675066,832868,157802,157802,145564,33085,,,35731,-2608,9368,-1929.0,,11021,,675066,10689.0,844169,844169,832868,612.0,203,84
2014-11-06,3,2014,,-44856.0,15019,5974,-27356,21084,0.31,,11500,114,,,77238,2014年第3季,0.0,55817,28461,56151,28673,58025,9292,847380,1053636,206256,206256,148231,33699,,,37294,55817,67317,3584.0,,11815,,847380,39528.0,1093211,1093211,1053636,47.0,-334,-212
2015-03-24,4,2014,,-131756.0,81817,15613,-88989,70783,0.81,,27451,608,,,335251,2014年度,0.0,146083,57094,147866,58491,120364,53170,2892140,3606265,714125,714125,593761,123907,,-15983.0,134603,146083,173534,12033.0,,44868,,2892140,97261.0,3704266,3704266,3606265,740.0,-1783,-1397
2015-05-11,1,2015,,21616.0,2404,12762,4301,-20861,0.1,4301.0,-4699,125,,,78811,2015年01月01日至2015年03月31日,,16619,20920,17244,21625,8627,3293,614034,770101,156067,156067,147440,31355,,,37274,16619,11920,,-3546.0,11998,614034.0,614034,27687.0,797836,797836,770101,48.0,-625,-705
2015-08-11,2,2015,,-56879.0,-19807,31211,-68389,-13868,-0.06,-68389.0,22499,92,,,58845,2015年第2季,,-10003,-78392,-10887,-79184,12078,418,543125,685286,142161,142161,130083,32371,,,38867,-10003,12496,,-2358.0,11078,,543125,353.0,686619,686619,685286,980.0,884,792
