date,會計項目,營業收入合計,營業成本合計,營業毛利（毛損）,營業毛利（毛損）淨額,推銷費用合計,管理費用合計,研究發展費用合計,營業費用合計,營業利益（損失）,其他收入合計,其他利益及損失淨額,財務成本淨額,營業外收入及支出合計,繼續營業單位稅前淨利（淨損）,所得稅費用（利益）合計,繼續營業單位本期淨利（淨損）,本期淨利（淨損）,國外營運機構財務報表換算之兌換差額,備供出售金融資產未實現評價損益,其他綜合損益（淨額）,本期綜合損益總額,母公司業主（淨利／損）,非控制權益（淨利／損）,母公司業主（綜合損益）,非控制權益（綜合損益）,基本繼續營業單位淨利（淨損）,基本每股盈餘合計,稀釋繼續營業單位淨利（淨損）,稀釋每股盈餘合計,year,season
2013-04-26,2013年01月01日至2013年03月31日,7804523,4429946,3374577,3374577,249281,347057,1468287,2064625,1309952,34406,-55396,2886,-23876,1286076,222422,1063654,1063654,847395,0,847395,1911049,1063557,97,1910865,184,2.0,2.0,1.99,1.99,2013,1
2013-08-01,2013年04月01日至2013年06月30日,8226437,4523147,3703290,3703290,239826,296453,1578649,2114928,1588362,112421,53234,2579,163076,1751438,661662,1089776,1089776,184156,0,184156,1273932,1089686,90,1273857,75,2.05,2.05,2.04,2.04,2013,2
2013-10-31,2013年07月01日至2013年09月30日,8572245,4689128,3883117,3883117,251254,295796,1670918,2217968,1665149,59740,70317,2400,127657,1792806,312868,1479938,1479938,-432641,0,-432641,1047297,1479814,124,1047207,90,2.78,2.78,2.77,2.77,2013,3
