date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,財務成本淨額,金融資產重分類淨損益,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,39490,188057,32702,32777,32702,22926,0,1.29,40480,0.0,28041,2013年01月01日至2013年03月31日,197637,230414,197637,230414,40284,197833,425305,542527,117222,117222,76938,30035,,,18862,197637,238117,6713,22926,0.0,3174,,548763,542527,3062,0.0,0.0,0.0
2013-07-23,2,2013,-107218,47990,33098,-88991,33098,23778,0,1.01,31803,0.0,24408,2013年04月01日至2013年06月30日,155273,66282,155273,66282,129766,57310,516967,715435,198468,198468,68702,27925,,1.0,16369,155273,187076,-18227,23778,0.0,2186,,717925,715435,304,0.0,0.0,0.0
2013-11-05,3,2013,-19195,-115937,34866,-15932,34866,24909,0,0.16,4878,0.0,24589,2013年07月01日至2013年09月30日,23815,7883,23815,7883,134673,-105980,581145,787254,206109,206109,71436,27809,,,19038,23815,28693,-3263,24909,0.0,3536,,792484,787254,1694,0.0,0.0,0.0
2014-03-19,4,2013,-109623,187973,137944,-85113,137944,97939,0,3.43,117166,,105582,2013年01月01日至2013年12月31日,525109,439996,525109,439996,414297,227978,2009933,2704722,694789,694789,280492,109732,5874.0,3.42,65178,525109,642275,-18636,97939,,12146,2722742.0,2722742,2704722,5874,,,
