date,season,year,不重分類至損益之項目總額（稅後）,以成本衡量之金融資產淨利益（損失）,保險業務淨收益,保險負債準備淨變動合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換損益,其他什項淨利益（損失）,其他利息以外淨損益,其他業務及管理費用,出售承受擔保品淨利益（損失）,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金收入合計,手續費及佣金淨收益,手續費費用及佣金支出合計,投資性不動產損益,折舊及攤銷費用,持有至到期日金融資產之已實現損益,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資損益之份額合計,會計項目,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,無活絡市場之債務商品投資淨利益（損失）,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權
2013-04-26,1,2013,,,9869976,22822048,429449,1640468.0,,13809800,130807,1587478,1498115,3724.0,23583277,14666741,13253913,1412828,280338,3035856,39846,0.88,,-1094406,1482851.0,253033,1229818.0,8582515,460044,,-955.0,,-50,2013年01月01日至2013年03月31日,,1169692.0,7646383,8816075,36837190,1452947,4994015,,,0.83,7646383,8740789.0,,,-509667.0,,2105.0,,-10951029,217173,293821
2013-08-27,2,2013,,18368.0,13978292,25630961,1734555,378266.0,,3696574,352717,2220586,1885469,1170.0,17512242,15204055,13824323,1379732,166638,3118274,23897,-0.05,,-434235,1658655.0,51777,1606878.0,944929,478926,,2653.0,,-2467,2013年04月01日至2013年06月30日,,506999.0,-377938,129061,31336565,1848331,5482669,,,-0.05,-377938,56297.0,,,102183.0,,0.0,,-5112004,38908,45425
2013-11-26,3,2013,,42753.0,16241778,27346020,7310952,-3419400.0,,-9428831,-26530,1216096,1853084,19126.0,23498513,15411165,14015024,1396141,84982,3336496,-31132,0.43,,-334250,1984066.0,527038,1457028.0,933968,470793,0.0,2897.0,,833,2013年07月01日至2013年09月30日,,-3174364.0,4087912,913548,37513537,1180747,5660373,,,0.41,4087912,4422162.0,,,273271.0,,89203.0,,6607476,131722,158999
2014-03-14,4,2013,,61632.0,63267521,111848763,10549651,2983784.0,,13685953,357569,5005901,7199124,37301.0,92327846,61274675,55668897,5605778,773357,13617229,61751,1.11,,-2116538,6880444.0,651139,6229305.0,11531745,1873668,0.0,4447.0,,-5969,2013年01月01日至2013年12月31日,,2228386.0,10568064,12796450,147996743,4549399,22690021,,-1175295.0,1.05,10568064,12684602.0,,,353699.0,,6416.0,,-12364511,581719,729684
2014-05-27,1,2014,,-7475.0,17819534,33100327,2326892,-2034177.0,,12457971,-280933,1374711,1575867,7592.0,25819966,16393605,14933524,1460081,411071,3451313,17673,0.13,,-341613,2006998.0,188893,1818105.0,986973,467820,,187665.0,,70826,2014年01月01日至2014年03月31日,,-1551481.0,1405479,-146002,40753490,1655527,5495000,,,0.12,1405479,1747092.0,,,277358.0,,,20081.0,-9425915,222833,243865
2014-08-26,2,2014,,27777.0,26253223,38258599,4380517,5238099.0,,-12734180,252788,3955849,2186397,21218.0,31909708,16846080,15348894,1497186,405457,3547366,-28769,0.16,,-434226,1962158.0,-536913,2499071.0,984296,474657,,-34348.0,,-2804,2014年第2季,,4484461.0,1951900,6436361,47258602,3654066,6208420,,,0.15,1951900,2386126.0,,,-690521.0,,,0.0,9609720,411047,486484
2014-11-25,3,2014,,68248.0,35016503,47425058,7268887,-9458626.0,,9676419,920327,2729704,2563456,0.0,44555758,17107587,15570167,1537420,611780,3905517,36793,0.43,,-843557,2047930.0,-905775,2953705.0,959599,478754,,-54019.0,,1304,2014年第3季,,-8369388.0,4297803,-4071585,60125925,1741129,6947727,,,0.4,4297803,5141360.0,,,1106464.0,,,48620.0,-10239503,72545,162962
2015-02-26,4,2014,,89200.0,90603102,147888852,12954142,5178678.0,,39169373,1600432,9719625,7936235,28810.0,122158570,68733438,62709779,6023659,1906732,14867105,155013,0.7,,-2443016,,-2587768,,3956382,1904285,,-2267.0,,107067,2014年度,,3427863.0,7922124,11349987,184868349,8001183,24707625,,-1357740.0,0.65,7922124,10365140.0,,,-545821.0,,,-76958.0,-31686395,1031769,1218406
2015-05-26,1,2015,,20472.0,35798935,44083588,1909597,,4440246.0,-10242404,73505,2663969,1793324,0.0,36898519,18809967,17246448,1563519,338405,3155607,-12056,0.34,3918951.0,-665377,,-1218985,,1700378,510748,,,11729.0,-55913,2015年第1季,3918951.0,,3597918,7516869,54144967,2569992,5459679,,,0.31,3597918,,4263295.0,,,-520968.0,,246818.0,6096124,239149,100457
2015-08-25,2,2015,,48394.0,34111069,44990118,3756001,,-6269908.0,-8989187,362487,1498079,2284206,0.0,37432344,19316135,17746110,1570025,362854,3552984,-23194,0.28,-5518799.0,-496230,,-610907,,981249,498088,,,13712.0,-68600,2015年第2季,-5518799.0,,2993974,-2524825,55178454,1087198,6335278,,,0.26,2993974,,3490204.0,,,760591.0,,-5293.0,6759933,98056,5868
2015-11-27,3,2015,,53892.0,24850016,41094098,-3390299,,-11862051.0,53328936,205461,415060,1995071,0.0,25531178,20433077,18870687,1562390,374925,3600621,179756,-0.22,-10191868.0,1021882,,-465230,,985868,478815,,,-17587.0,-31758,2015年第3季,-10191868.0,,-2119783,-12311651,44401865,155707,6074507,,,-0.22,-2119783,,-3141665.0,,,1508014.0,,0.0,-50161415,99483,158578
2016-02-26,4,2015,-861251.0,122784.0,122773940,170892417,349648,,-5285447.0,30108276,1139874,4938546,8120826,0.0,131541690,79604332,73430803,6173529,1753172,14139803,106937,0.57,-4639308.0,-1269860,,-2989843,,12680824,1958412,,,19934.0,-210250,2015年度,-5500559.0,,6838003,1337444,204972493,3675888,24219041,-1037653.0,,0.53,6838003,,8107863.0,176402.0,,519268.0,,241525.0,-36350976,1057863,1012498
