date,season,year,不動產、廠房及設備減損迴轉利益,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,,6137.0,3998,2767,2767.0,5644,,46959,-3393.0,26447,,,23703,0.63,0.63,,,,27518,2145,7841,2013年01月01日至2013年03月31日,61359,87806,47998,64563,,89766,-889,891550,1077742,186192,186192,96426,16789,,,,0.62,0.62,71796,61359,88877,,,,,,,,,9799,,885906.0,885906,,,1030783,13361,23243
2013-08-01,2,2013,,,,-5730.0,-2913,7546,7546.0,1167,,68717,-2450.0,26363,,,34543,1.57,,,,,24281,7490,8893,2013年04月01日至2013年06月30日,136205,162568,120456,132418,,155794,4692,1098793,1351950,253157,253157,97363,17088,,,,1.55,,71382,136205,160486,,,,,,,,,7431,,1097626.0,1097626,1283233.0,1283233.0,1283233,15749,30150
2013-11-13,3,2013,1632.0,,1897.0,10655.0,-25675,1153,553.0,4119,,85118,-1724.0,8047,168.0,5796.0,-884,2.1,,0.0,13564.0,,32327,4680,9097,2013年07月01日至2013年09月30日,194631,202678,160920,169336,1632.0,252596,-25638,1257616,1587736,330120,330120,77524,20410,,,196.0,2.07,,48017,194631,226958,236.0,,,,0.0,2618.0,0.0,9278.0,5796,50.0,,1253497,,,1502618,33711,33342
2014-03-27,4,2013,,,,17981.0,-8406,14606,14606.0,37831,,267262,,74561,,,68115,6.11,6.11,,,,120732,17106,33964,2013年01月01日至2013年12月31日,557860,632421,468512,514330,,683162,-4570,4489829,5559865,1070036,1070036,386874,64810,,-2997.0,,5.99,5.99,288100,557860,678592,,,8538.0,,,,,,27876,,,4451998,,,5292603,89348,118091
2014-05-14,1,2014,,,,0.0,15947,8932,8932.0,1726,,49510,-933.0,8668,,,9601,2.06,2.06,,,,55782,2290,7614,2014年01月01日至2014年03月31日,202409,211077,157613,162167,,234863,23328,1235115,1571444,336329,336329,101466,17200,,,,2.03,2.03,76652,202409,258191,,,,,,,,,3841,,1233389.0,1233389,,,1521934,44796,48910
2014-08-13,2,2014,,,,0.0,-7802,6253,,1690,,49440,2198.0,-20418,,,-22616,2.57,2.57,,,,46861,3977,7144,2014年第2季,267967,247549,196850,186122,,314673,155,1420584,1847114,426530,426530,111857,16002,,,,2.53,2.53,88711,267967,314828,,,,,,,,,2273,,1418894.0,1418894,1797674.0,1797674.0,1797674,71117,61427
2014-11-11,3,2014,-1338.0,,60.0,0.0,14891,35112,33547.0,2584,,73652,-2045.0,21727,1376.0,2578.0,23772,2.76,,,-20005.0,,59852,5640,13293,2014年第3季,282139,303866,211652,221632,-1338.0,288926,53065,1353503,1800098,446595,446595,157669,12303,,,189.0,2.67,,132073,282139,341991,0.0,,,,-3725.0,,,0.0,2578,9.0,,1350919,,,1726446,70487,82234
2015-03-17,4,2014,,,,0.0,34393,58927,58927.0,7444,,225211,,57930,,,67999,9.77,9.77,,,,225457,14179,36884,2014年度,966794,1024724,749148,775493,,1096146,96105,5224036,6805140,1581104,1581104,484958,58952,,-4516.0,,9.53,9.53,389122,966794,1192251,,,5553.0,,,,,,11394,,,5216592,,,6579929,217646,249231
2015-05-12,1,2015,,,,,1413,3541,,128,,59003,,-16278,,,-17940,2.46,,,,-16278.0,83533,1557,9312,2015年01月01日至2015年03月31日,235557,219279,188770,180655,,312869,6221,1138854,1568018,429164,429164,116295,18960,,,,2.42,,88023,235557,319090,,,,-1662.0,,,,,290,,,1138726,,,1509015,46787,38624
2015-08-13,2,2015,,,,,-9980,10562,,3032,,63055,,-12703,,,-14052,2.93,2.93,,,-12703.0,81728,2190,10261,2015年第2季,321689,308986,269803,263217,,400872,2545,1214232,1729222,514990,514990,114118,20992,,,,2.89,2.89,82865,321689,403417,,,,-1349.0,,,,,227,,1211200.0,1211200,1666167.0,1666167.0,1666167,51886,45769
