date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,9157,464893,20235,19536,7425,522499,9474,75167,57606,-0.1,,2637.0,129554.0,0.0,,36647,0.0,5921.0,-5921,236549,2013年01月01日至2013年03月31日,-337392,185107,-362982,147114,,-259428,-41317,6426113,7675106,1248993,1248993,1508421,1043033,,,,,228839,-337392,-300745,,1510.0,,0.0,564.0,75167,0.0,101108.0,,25590,37993
2013-08-02,2,2013,,9247,1210212,15957,46448,7571,1237777,10739,73004,27565,0.1,,796.0,44541.0,,,107681,13416.0,,13416,253181,2013年04月01日至2013年06月30日,416373,1654150,371660,1605136,783.0,521237,2817,6780069,8845828,2065759,2065759,1544522,1044389,,,0.1,,246952,416373,524054,27342.0,0.0,506.0,0.0,2051.0,73004,0.0,15997.0,783.0,44713,49014
2013-10-24,3,2013,,10354,-26281,-22764,25649,12031,-41982,11245,60086,-15701,0.04,,0.0,0.0,54391.0,,102358,0.0,9410.0,-9410,242098,2013年07月01日至2013年09月30日,136625,94643,135600,95544,0.0,305594,-66611,6490215,8309158,1818943,1818943,1513349,1020555,,,0.04,,250696,136625,238983,2373.0,0.0,3935.0,61.0,0.0,60086,45855.0,0.0,0.0,1025,-901
2014-03-28,4,2013,,37652,1487472,22095,122820,33742,1567420,53033,259402,43138,0.06,0.06,6330.0,161934.0,0.0,,271288,0.0,92057.0,-92057,972433,2013年01月01日至2013年12月31日,287366,1854786,206564,1752631,783.0,765198,-206544,26226516,33135448,6908932,6908932,6143734,4190576,,36810.0,0.06,0.06,980725,287366,558654,29715.0,0.0,3807.0,,7674.0,259402,0.0,89923.0,783.0,80802,102155
2014-04-25,1,2014,,7629,156153,3739,48619,5961,212489,42658,48664,56336,0.1,0.1,0.0,67205.0,,,111451,,15866.0,-15866,268869,2014年01月01日至2014年03月31日,397344,609833,380093,585727,,520967,-12172,6495987,8751022,2255035,2255035,1734068,1214538,,,0.1,0.1,250661,397344,508795,,167.0,,,0.0,48664,,56004.0,,17251,24106
2014-08-01,2,2014,,8276,639040,-18237,95504,12631,593092,40346,35134,-45948,0.19,0.19,902.0,-50312.0,,,166768,,-14303.0,14303,296508,2014年第2季,784293,1377385,713916,1312865,0.0,894625,56436,6970187,9742354,2772167,2772167,1877542,1292669,,,0.19,0.19,288365,784293,951061,41625.0,-164.0,,96.0,,35134,,-40419.0,0.0,70377,64520
2014-10-24,3,2014,,8846,-658137,27302,77495,8649,-649257,41095,42603,8880,0.25,0.25,0.0,85350.0,,,229557,,-16537.0,16537,294915,2014年第3季,961655,312398,927378,280003,0.0,1112481,78731,7126697,9931448,2804751,2804751,1692270,1120165,,,0.25,0.25,277190,961655,1191212,27751.0,,7842.0,29347.0,,42603,,70707.0,0.0,34277,32395
2015-02-03,4,2014,,34162,213780,120346,324945,43045,294103,166289,177339,90597,0.83,0.83,902.0,250790.0,,,730494,14663.0,,14663,1127300,2014年度,3210544,3504647,3075969,3364700,0.0,3658423,282615,27199199,37989660,10790461,10790461,7132038,4892159,,-10274.0,0.83,0.83,1112579,3210544,3941038,114709.0,,7643.0,40657.0,,177339,,129296.0,0.0,134575,139947
2015-04-30,1,2015,,9304,-319984,-7334,68878,13115,-360108,42836,57057,-40124,0.27,0.27,,,33105,-360108,244137,10088,,10088,281942,2015年01月01日至2015年03月31日,1036975,676867,1000421,647501,,1266537,14575,6591751,9723826,3132075,3132075,1865538,1298654,,,0.27,0.27,284942,1036975,1281112,12927,447,,8245,,57057,26383,,,36554,29366
2015-07-31,2,2015,,8831,-1079393,5450,128283,19441,-1105864,43984,73858,-26471,0.22,0.22,0.0,,49560.0,-1105864.0,191355,1548.0,,1548,292116,2015年第2季,863149,-242715,800729,-305771,,993081,61423,6298020,9252129,2954109,2954109,1961028,1348048,,,0.22,0.22,320864,863149,1054504,64858.0,,1512.0,23802.0,,73858,41551.0,,,62420,63056
