date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額
2015-05-14,4,2013,,-14790,196842,195164,-11022,18604,33321,34999,5.43,5.43,,140765,467537,2013年01月01日至2013年12月31日,267204,300525,70362,105361,400390,7579,447255,1543398,1096143,1096143,695753,11858,,15797,,,216358,267204,407969,,2685,3
2015-05-14,4,2014,,36233,12260,12260,-29876,29927,57560,21782,5.18,5.18,,120193,461852,2014年度,272317,329877,260057,317617,392699,-189,463781,1564594,1100813,1100813,708114,13550,,-548,,,232712,272317,392510,,-93,240
2015-08-07,2,2015,,0,0,0,-5492,11212,-18158,-18158,3.25,3.25,-18158,53631,192515,2015年上半年度,167452,149294,167452,149294,215363,5720,265296,811423,546127,546127,330764,7077,,,,,131172,167452,221083,,,0
2015-10-16,3,2015,,0,0,0,11448,4634,29235,29235,1.72,1.72,29235,28434,144814,2015年第3季,88652,117887,88652,117887,101004,16082,135582,420922,285340,285340,184336,4104,,,,,35418,88652,117086,,,0
2016-03-17,4,2015,-1869,0,0,0,5102,27217,-18074,-16205,6.45,6.45,-16205,116415,483107,2015年度,341908,323834,341908,323834,426005,32318,560284,1736676,1176392,1176392,750387,16051,-2252,,6.45,6.45,251229,341908,458323,-383,,1
2016-05-09,1,2016,,,,,1274,9884,-4052,-4052,1.00,1.00,-4052,21198,132380,2016年01月01日至2016年03月31日,58241,54189,58241,54189,68281,11158,111198,383926,272728,272728,204447,4253,,,1.00,1.00,67814,58241,79439,,,
2016-08-05,2,2016,,,,,-842,5358,-21618,-21618,1.06,1.06,-21618,27180,139504,2016年第2季,61913,40295,61913,40295,84577,4516,134163,434074,299911,299911,215334,5136,,,1.06,1.06,70694,61913,89093,,,
2016-11-03,3,2016,,,,,-6088,5865,-26529,-26529,1.17,1.17,-26529,13241,141875,2016年第3季,68118,41589,68118,41589,81582,-223,148258,448608,300350,300350,218768,5582,,,1.16,1.16,71311,68118,81359,,,
