date,season,year,不重分類至損益之項目總額,停業單位損益合計,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-02,1,2013,,,33034,52250,46812,74759,41725,-0.59,-0.59,,,1045,,,,,,251559.0,2013年01月01日至2013年03月31日,,-2085417,-2010658,-2068695,-1994028,-2096263,11891,4590250,4404789,-185461,-185461,1910802,1255245.0,,-0.59,-0.59,403998.0,-2085417,-2084372,87171,-16722,-16630
2013-07-29,2,2013,,,-86458,43355,53639,-72166,14292,-0.52,-0.52,,,1044,,,,,,277276.0,2013年04月01日至2013年06月30日,,-1853822,-1925988,-1839563,-1911783,-1863691,10913,5005412,5231009,225597,225597,2089288,1361637.0,,-0.52,-0.52,450375.0,-1853822,-1852778,86081,-14259,-14205
2013-10-28,3,2013,,,-12240,28090,77190,-31341,-19101,-0.26,-0.26,,,797,,,,,,278736.0,2013年07月01日至2013年09月30日,,-907286,-938627,-896588,-927896,-928345,21856,5477099,6708259,1231160,1231160,2159505,1449797.0,,-0.26,-0.26,430972.0,-907286,-906489,83424,-10698,-10731
2014-03-17,4,2013,,,57945,128678,209395,111735,53790,-1.79,-1.79,,,5087,,,,,,1096303,2013年01月01日至2013年12月31日,,-6358239,-6246504,-6305647,-6194058,-6356329,3177,20253610,22204420,1950810,1950810,8307139,5452567,,-1.79,-1.79,1758269,-6358239,-6353152,334896,-52592,-52446
2014-04-29,1,2014,,,229866,34660,22154,264975,35109,-0.36,-0.36,,,1112,,,,,,265440.0,2014年01月01日至2014年03月31日,,-1285385,-1020410,-1276260,-1011304,-1271037,-13236,3930307,4790063,859756,859756,2130793,1480484.0,,-0.36,-0.36,384869.0,-1285385,-1284273,70050,-9125,-9106
2014-07-24,2,2014,,,8410,3242,71547,-24973,-32532,-0.51,-0.51,,,1980,,-851.0,-6926.0,,,264359.0,2014年第2季,-13.0,-1802093,-1827066,-1796266,-1821985,-1797696,-2417,4694945,4972711,277766,277779,2075475,1400312.0,,-0.51,-0.51,410804.0,-1802093,-1800113,70280,-5827,-5081
2014-10-29,3,2014,,,4306,12655,64788,24821,20494,-0.31,-0.31,76.0,,1065,,21.0,-8156.0,,,291428.0,2014年第3季,,-1101191,-1076370,-1096848,-1071548,-1099165,-961,5551222,6691327,1140105,1140181,2239346,1525688.0,,-0.31,-0.31,422230.0,-1101191,-1100126,70248,-4343,-4822
2015-03-16,4,2014,,,410511,-19313,178229,487279,77565,-1.84,-1.84,114,,13523,,-797,-24097,,,1112116,2014年度,,-6482924,-5995645,-6461208,-5974333,-6322832,-146569,19654775,22414213,2759438,2759552,9082384,6306087,,-1.84,-1.84,1664181,-6482924,-6469401,281388,-21716,-21312
2015-04-27,1,2015,,,238265,-10040,975014,207893,-30353,-0.1,-0.1,,207893.0,2780,,,-6163.0,-19.0,-19.0,245943.0,2015年第1季,41.0,-356476,-148583,-354718,-146762,-1247445,893749,4085771,4706274,620503,620462,1867907,1254468.0,,-0.1,-0.1,367496.0,-356476,-353696,65062,-1758,-1821
2015-07-22,2,2015,0.0,,-185762,-15591,49947,-202704,-16924,-0.35,-0.35,6.0,-202704.0,5201,0.0,,-6958.0,-18.0,-18.0,244314.0,2015年第2季,0.0,-1222467,-1425171,-1220566,-1423218,-1171352,-45914,4366925,4975229,608304,608310,1779662,1154002.0,,-0.35,-0.35,381346.0,-1222467,-1217266,73312,-1901,-1953
2015-10-28,3,2015,,,-199788,112519,76014,-118784,80955,-0.27,-0.27,147,-118784,4892,,,-4907,49,49,260093,2015年第3季,,-950867,-1069651,-949199,-1068152,-1049843,103868,4860913,5647200,786287,786434,1836277,1209401,,-0.27,-0.27,366783,-950867,-945975,79758,-1668,-1499
2016-03-17,4,2015,-299324.0,,-46069,11342,1139090,-323735,21672,-1.19,-1.19,80.0,-24411.0,15058,,,-26320.0,-14.0,-14.0,1031347.0,2015年度,,-4195941,-4519676,-4187669,-4511362,-5003776,822893,18415880,20927770,2511890,2511970,7515746,4966172.0,-299324.0,-1.19,-1.19,1518227.0,-4195941,-4180883,301219,-8272,-8314
2016-04-26,1,2016,,0.0,-85890,-28433,29439,-108108,-22190,-0.25,-0.25,22.0,-108108.0,897,,,-3768.0,-28.0,-28.0,,2016年01月01日至2016年03月31日,0.0,-890787,-998895,-889589,-997601,-805324,-84566,4295691,5086289,790598,790620,1595944,,,-0.25,-0.25,,-890787,-889890,81804,-1198,-1294
2016-07-27,2,2016,,,-129309,52523,47766,-134605,-5285,-0.19,-0.19,0.0,-134605.0,-143966,,,-4610.0,-11.0,-11.0,252633.0,2016年第2季,36.0,-690704,-825309,-689448,-824018,-846165,11495,4474255,5181168,706913,706877,1553042,972712.0,,-0.19,-0.19,327697.0,-690704,-834670,84184,-1256,-1291
2016-10-25,3,2016,,,228814,-27552,64432,187592,-41204,0.18,0.18,0.0,187592.0,2208,,,-3820.0,-18.0,-18.0,274132.0,2016年第3季,8.0,632732,820324,633288,820942,675826,-40886,4916153,7091669,2175516,2175508,1499682,925012.0,,0.18,0.18,300538.0,632732,634940,73946,-556,-618
