date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,佣金支出,保全費,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業收入,其他營業收入折讓,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,呆帳損失,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,委託研究費,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,折舊及折耗,捐贈,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,漁業作業費用,漁貨銷售費用,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,網路服務費,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分無形資產損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,進出口費用,遞延所得稅費用（利益）,金融資產減損損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-08,1,2013,,,3486,12970,9,-32999,4331,3187,39.0,0.0,39.0,70634,1144,1956,1378,70634,1.3,1.3,,2694.0,,,27995,571,10.0,,,79548,2013年01月01日至2013年03月31日,,96797,167431,96797,167431,,,,155416,-30624,1101344,1520629,419285,419285,263869,30770.0,,33772,,,1.24,1.24,150549,87,96797,124792,,,-314.0,,,,1956,4836.0,31341,10577,-2775,,1144,1101344,1101344,2512.0,2027365,2027365,1520590,504263.0
2013-08-12,2,2013,,,4358,12278,9,-39468,10772,8661,281,,281,54052,2111,1498,252,54052,2.26,2.26,,25980,27,,47320,800,,,192,103959,2013年04月01日至2013年06月30日,,173406,227458,173406,227458,,,,250728,-30002,1287842,1848697,560855,560855,310127,52236,,36644,,,2.22,2.22,169524,627,173406,220726,,,-1137,,,1605,1498,7613,14001,9264,-4916,,2111,1287842,1287842,781,1883328,1883328,1848416,34131
2013-11-13,3,2013,,,625,22003,2,9398,4584,2918,,,,-26739,1666,910,0,-26739,2.01,2.01,,20302.0,0.0,,47133,1385,,,234.0,83877,2013年07月01日至2013年09月30日,,157976,131237,157976,131237,,0.0,0.0,191803,13306,1321286,1824215,502929,502929,311126,45901.0,221.0,44850,,,1.98,1.98,182399,74,157976,205109,,,,841.0,14921.0,0.0,910,16245.0,0,12271,1232,,1666,1321286,1321286,,1824215,1824215,1824215,
2014-03-13,4,2013,,,11384,25077,298,-76978,25965,19040,,,,165548,6925,5235,2106,166221,7.28,7.28,,70095.0,88.0,,156998,4391,,438.0,438.0,401384,2013年01月01日至2013年12月31日,,563569,729117,563569,729117,,,,776377,-55810,5153962,7111881,1957919,1957919,1181542,157391.0,,157014,,-811.0,7.07,7.07,623144,690,563569,720567,,-138.0,,4707.0,15505.0,1599.0,5235,37125.0,41823,22136,-393,,6925,5153962,5153962,,7111881,7111881,7111881,
2014-08-12,2,2014,,,1489,9112,80,1547,4170,1230,,,,-74754,2940,1824,1280,-74754,1.97,1.97,6589.0,0.0,2469.0,,63909,1655,,,-243.0,96394,2014年第2季,,165482,90728,165482,90728,,,,225741,3650,1336548,1885094,548546,548546,322805,65473.0,0.0,48785,,,1.96,1.96,177626,1952,165482,229391,,,,268.0,,3.0,1824,853.0,4135,7273,-1564,,2940,1336548,1336548,,1885094,1885094,1885094,
2014-11-13,3,2014,,,2784,-3853,82,14701,5068,1224,,,,20020,3844,3730,2799,20020,2.16,2.16,10677.0,0.0,36.0,,58312,1717,,,-304.0,109493,2014年第3季,,182475,202495,182475,202495,,,,225052,15735,1378165,1949011,570846,570846,345794,65600.0,38.0,49117,,,2.14,2.14,187184,1683,182475,240787,,,,604.0,0.0,0.0,3730,7412.0,0,5890,-7288,,3844,1378165,1378165,,1949011,1949011,1949011,
2015-03-13,4,2014,,,5051,33808,387,16899,33018,19187,,,,145359,13831,11084,7930,145509,7.28,7.28,51004.0,0.0,3656.0,,200449,8367,,-184.0,-184.0,405492,2014年度,,616934,762293,616934,762293,,,,778734,38649,5398517,7482011,2083494,2083494,1304760,208462.0,,200437,,-181.0,7.14,7.14,698831,7437,616934,817383,,-31.0,,4609.0,0.0,3.0,11084,0.0,24442,26289,-8013,,13831,5398517,5398517,,7482011,7482011,7482011,
2015-05-06,1,2015,-57610.0,-57610.0,64,17431,152,32312,26890,21873,,,,-117792,5017,3610,511,-60182,1.96,1.96,33559.0,,74.0,-60182.0,57664,3433,,,-208.0,113519,2015年01月01日至2015年03月31日,63086.0,170772,52980,170772,52980,3153.0,,,173052,55384,1368675,1902215,533540,533540,360488,,,50240,,,1.96,1.96,196729,1615,170772,228436,,,,4193.0,,,3610,6163.0,0,6590,-5422,3153.0,5017,1368675,1368675,,1902215,1902215,1902215,
2015-08-14,2,2015,-28898,-28898,1336,9172,180,-4867,8225,3748,,,,-15935,4477,4014,0,12963,1.85,1.85,8013,,1075,12963,38711,3605,,,124,97701,2015年第2季,44441,168888,152953,168888,152953,6168,0,0,208131,-532,1504329,2042183,537854,537854,329723,,24,53190,,,1.84,1.84,178832,1627,168888,207599,,,,1257,,0,4014,9696,13815,5184,-5730,6168,4477,1504329,1504329,,2042183,2042183,2042183,
2015-11-06,3,2015,259055.0,259055.0,963,7707,137,106801,3923,792,,,,94844,3131,3909,0,-164211,2.27,2.27,118805.0,0.0,1706.0,-164211.0,66763,3883,,,-95.0,107978,2015年第3季,70872.0,208180,303024,208180,303024,0.0,0.0,0.0,168223,106720,1592606,2153883,561277,561277,393054,,31.0,70037,,,2.21,2.21,215039,1772,208180,274943,,,,194.0,0.0,0.0,3909,0.0,10847,6340,-4109,0.0,3131,1592606,1592606,,2153883,2153883,2153883,
