date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,-6440,66690,132988,77942,279448,361513,0.4,0.4,,119367,,-6383.0,-54430,,367757,2013年01月01日至2013年03月31日,554476,833924,618184,898924,652208,21635,12678868,14616819,1937951,1937951,1363685,409327,,,0.4,0.4,586601,554476,673843,69242.0,,123613,-63708,-65000
2013-08-13,2,2013,,24006,-334432,138871,196919,231649,233624,0.22,0.22,,112123,,-13368.0,49912,,334674,2013年04月01日至2013年06月30日,267107,498756,333072,516686,642452,-263222,13345674,15207452,1861778,1861778,1416245,428966,,,0.21,0.21,652605,267107,379230,12613.0,,117573,-65965,-17930
2013-11-12,3,2013,,-9886,35063,160187,-7503,-75194,-75890,0.26,0.26,,48297,,-20107.0,-59717,,301859,2013年07月01日至2013年09月30日,375032,299838,405739,306121,395708,27621,13882167,15725875,1843708,1843708,1440497,437149,,,0.26,0.26,701489,375032,423329,-30689.0,,107912,-30707,-6283
2014-03-27,4,2013,,-30731,-295608,560799,430965,759011,786994,0.76,0.76,,256898,,-33218.0,-110303,,1277530,2013年01月01日至2013年12月31日,956245,1715256,1172551,1815690,1535300,-322157,53377165,59934614,6557449,6557449,5453114,1693636,,104521.0,0.76,0.76,2481948,956245,1213143,68555.0,,477045,-216306,-100434
2014-05-07,1,2014,,47556,-38457,139292,42527,-133150,-135729,0.06,0.06,,27477,,5561.0,3392,,233068,2014年01月01日至2014年03月31日,57053,-76097,87277,61590,91617,-7087,12313683,13555523,1241840,1241840,1192750,411342,,,0.06,0.06,548340,57053,84530,50538.0,,111314,-30224,-137687
2014-08-12,2,2014,,45187,4867,175811,29896,-208546,-299635,0.16,0.16,,-325,,-4770.0,8907,,284898,2014年第2季,272365,63819,253038,43816,202920,69120,13655314,15088358,1433044,1433044,1260020,439181,,,0.16,0.16,535941,272365,272040,-50672.0,,120465,19327,20003
2014-11-07,3,2014,,-46633,21871,186443,-38937,306414,391088,0.28,0.28,,111753,,8155.0,8567,,278420,2014年第3季,474428,780842,423549,703783,487452,98729,14638819,16480488,1841669,1841669,1315280,461346,,,0.27,0.27,575514,474428,586181,46196.0,,118152,50879,77059
2015-03-26,4,2014,,69516,-865902,720298,40372,321795,380855,0.32,0.32,,43500,,13182.0,-23416,,1094453,2014年度,361187,682982,497179,907994,1055221,-650534,55596186,61755106,6158920,6158920,5144071,1797892,,2466.0,0.32,0.32,2251726,361187,404687,144224.0,,481514,-135992,-225012
2015-05-14,1,2015,-1482.0,52425,-32463,175496,-13584,-131487,-201048,-0.37,-0.37,-130005.0,-108860,-1482.0,,-42085,-4106.0,311424,2015年01月01日至2015年03月31日,-642244,-773731,-556629,-697035,-732641,-18463,12763577,13423170,659593,659593,1378650,469186,,,-0.37,-0.37,598040,-642244,-751104,,-22724.0,119411,-85615,-76696
2015-08-12,2,2015,0.0,-60025,-344791,285926,44286,-264391,-224841,-0.14,-0.14,-264391.0,-12073,0.0,,-27265,-13879.0,417111,2015年第2季,-334607,-598998,-215601,-465254,-121419,-225261,14908480,16243811,1335331,1335331,1501036,479165,,,-0.14,-0.14,604760,-334607,-346680,,-34354.0,139131,-119006,-133744
2015-11-12,3,2015,0.0,-72031,-48973,207485,-14838,249789,467410,0.1,0.1,249789.0,96507,0.0,,-31182,9069.0,363057,2015年第3季,133414,383203,157981,536249,240317,-10396,15678990,17395367,1716377,1716377,1461222,493424,,,0.1,0.1,604741,133414,229921,,154659.0,137726,-24567,-153046
