date,season,year,不重分類至損益之項目總額（稅後）,代理手續費收入,代理費用,以成本衡量之金融資產利益,以成本衡量之金融資產損失,以成本衡量之金融資產淨利益（損失）,信託手續費,信託業務收入,備供出售金融資產之已實現利益,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,兌換利益,兌換損失,兌換損益,其他什項收入,其他什項淨利益（損失）,其他佣金支出,其他佣金收入,其他利息以外淨損失,其他利息以外淨損益,其他利息以外淨收益,其他手續費收入,其他手續費費用,其他業務及管理費用,利息以外淨收益,利息收入,利息淨收益,利息費用,呆帳費用及保證責任準備提存合計,員工福利費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額（稅後）,所得稅（費用）利益,手續費及佣金收入合計,手續費及佣金淨收益,手續費費用及佣金支出合計,投資性不動產利益,投資性不動產損益,折舊及攤銷費用,採用權益法認列之關聯企業及合資其他綜合損益之份額,採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資利益之份額,採用權益法認列關聯企業及合資損失之份額,採用權益法認列關聯企業及合資損益之份額合計,收益,會計項目,期貨佣金收入,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,淨收益,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益（損失）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,結算交割服務費支出,經紀手續費收入,經紀經手費支出,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,繼續營業單位稅後淨利（淨損）,自營經手費支出,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資性不動產利益,費用,資產減損損失,資產減損損失（迴轉利益）,資產減損（損失）迴轉利益,透過損益按公允價值衡量之金融資產及負債利益,透過損益按公允價值衡量之金融資產及負債損失,透過損益按公允價值衡量之金融資產及負債損益,非控制權益,非控制股權,顧問服務收入,顧問服務收入合計
2013-05-27,1,2013,,,,365627,,365627,,,421392,421392,1783351.0,,98735.0,,98735,439743,439743,,,0,805370,805370,,,1013850,4166449,1683535,975070,708465,108010,2071512,870900,0.1,,-194677,1625902,1625902,,,,292171,289675.0,,,129152,,129152,5872098,2013年01月01日至2013年03月31日,,,2959474.0,1461299,4420773,5141519,3377533,17432,,,,,,,1461299,1655976.0,,0.1,,,-1884.0,,,4216122,22114,-22114.0,,1108012,,1108012,32513,33432,,
2013-08-26,2,2013,,,,518397,,518397,,,710491,710491,-2357997.0,,149431.0,0.0,149431,343405,343405,,,0,861802,861802,,,1254459,4600072,2124461,1325315,799146,42018,2025945,242228,0.14,,-175351,1679273,1679273,,860557.0,860557.0,302105,-375581.0,,,131842,,131842,7253870,2013年04月01日至2013年06月30日,,,-2479464.0,2125509,-353955,5925387,3582509,14165,,,,,,,2125509,2300860.0,,0.14,,,-2279.0,,,4953010,529337,-529337.0,,736013,,736013,49384,89358,,
2013-11-25,3,2013,,,,939538,,939538,,,1285377,1285377,555155.0,,0.0,463299.0,-463299,461559,461559,,,0,1401097,1401097,,,1119217,5045155,2197928,1429700,768228,74154,2088452,-517580,0.19,,-98357,1453561,1453561,,1416.0,1416.0,294962,-117839.0,,,60767,,60767,7795495,2013年07月01日至2013年09月30日,,,-74743.0,2799713,2724970,6474855,3502631,5043,,,0.19,,,,2799713,2898070.0,,,,,478.0,,,4897425,89113,-89113.0,,1395349,,1395349,32645,30046,,
2014-03-24,4,2013,,,,2826301,,2826301,,,3713191,3713191,2347914.0,,838347.0,,838347,1816572,1816572,,,0,4642873,4642873,,,4657664,19313286,8507539,5396460,3111079,824715,8833529,1047050,0.56,,-772708,6425788,6425788,,777543.0,777543.0,1172656,-183578.0,,,388315,,388315,29196779,2013年01月01日至2013年12月31日,,,2919788.0,8448474,11368262,24709746,14663849,31647,,-71272.0,0.56,,,,8448474,9221182.0,,,,,-251973.0,,,19975597,1375954,-1375954.0,,3903183,,3903183,144473,185588,,
2014-05-26,1,2014,,,,266038,,266038,,,2405873,2405873,-213180.0,,54015.0,,54015,393049,393049,,,0,659087,659087,,,1004477,4836530,2658212,1787077,871135,-73588,2335327,578473,0.18,,-343746,1698419,1698419,,,0.0,278919,168323.0,,,92880,,92880,7568486,2014年01月01日至2014年03月31日,,,714045.0,2734726,3448771,6623607,3618723,-7125,,,0.18,,,,2734726,3078472.0,,,,,187554.0,,,4490014,41292,,-41292.0,0,32452.0,-32452,46136,46558,,
2014-08-25,2,2014,,,,102071,,102071,,,2146608,2146608,-163263.0,,0.0,1425597.0,-1425597,465984,465984,,,0,568055,568055,,,1242303,4613839,2734811,1779205,955606,6499,2280313,-640364,0.14,,-408942,1723592,1723592,,,17039.0,288807,-63906.0,,,124138,,124138,9565869,2014年第2季,,,-785660.0,2166180,1380520,6393044,3811423,8833,,,0.14,,,,2166180,2575122.0,,,,,73040.0,,17039.0,6990747,791622,,-791622.0,2251626,,2251626,33628,31672,,
2014-11-24,3,2014,,,,1188559,,1188559,,,1320286,1320286,-1862621.0,,527655.0,0.0,527655,568096,568096,,,0,1756655,1756655,,,1388722,5606847,3054600,1968685,1085915,117409,2389849,577078,0.22,,-171195,1845746,1845746,,,13688.0,296307,79300.0,,,156524,,156524,8922834,2014年第3季,,,-1196382.0,3212050,2015668,7575532,4074878,11459,,,0.22,,,,3212050,3383245.0,,,,,-1598.0,,13688.0,5539589,261387,,-261387.0,247680,,247680,25718,23898,,
2015-03-23,4,2014,,,110608.0,2584876,,2584876,117929.0,457397.0,6420698,6420698,-1757152.0,,0.0,870164.0,-870164,2008665,2008665,,,0,4593541,4593541,494405.0,149630.0,5488668,20329570,12811017,8412263,4398754,13707,10085241,1945488,0.73,,-941302,8757021,7403300,1353721.0,,102926.0,1229923,182799.0,,,426688,,426688,35287960,2014年度,,,756196.0,10982992,11739188,28741833,16803832,24088,,134807.0,0.73,,7805219.0,907123.0,10982992,11924294.0,,,68431.0,,226166.0,,102926.0,23363666,1277209,,-1277209.0,3529790,,3529790,146763,144655,,
2015-05-25,1,2015,,,43067.0,650452,,650452,,192337.0,634645,634645,,60451.0,131548.0,,131548,508141,508141,,,0,1158593,1158593,314100.0,76805.0,1550956,5530734,3913423,2485998,1427425,-165247,3120520,-404060,0.18,-305272.0,-380395,2457858,2042389,415469.0,,0.0,347623,,,28178.0,198672,,198672,9882973,2015年01月01日至2015年03月31日,,-305272.0,,2782485,2477213,8016732,5019099,10968,,,0.18,,1951421.0,295597.0,2782485,,3162880.0,,,,,-809.0,,6720093,23347,,-23347.0,1388234,0.0,1388234,37310,36789,,
2015-08-24,2,2015,-1087.0,,39523.0,0,328722.0,-328722,,203367.0,621758,621758,,-1152728.0,113470.0,0.0,113470,705529,705529,,,328722,376807,705529,303662.0,156007.0,1804388,5428130,3836591,2492893,1343698,-425156,3417452,-407990,0.16,-1623795.0,-394622,3372240,2815281,556959.0,,0.0,355882,,,-73240.0,106548,,106548,10282228,2015年第2季,,-1624882.0,,2373835,748953,7921023,5577722,9691,-1087.0,,0.16,,2865211.0,361429.0,2373835,,2768457.0,,,,,472.0,,7513771,131826,,-131826.0,1526092,,1526092,26753,25763,,
2015-11-23,3,2015,-1929.0,,36670.0,775822,,775822,,129707.0,1532455,1532455,,-2918274.0,0.0,1223145.0,-1223145,310001,310001,,,0,1400674,1400674,270187.0,51925.0,1684086,3357178,3475114,2242327,1232787,-300605,3006634,2434162,0.07,-820240.0,134532,2431213,2220876,210337.0,,0.0,351197,,-1929.0,-335227.0,0,104194.0,-104194,8839456,2015年第3季,,-822169.0,,992725,170556,5599505,5041917,0,,,0.07,,2031319.0,121742.0,992725,,858193.0,,,,,-901.0,,7981263,358174,,-358174.0,0,111314.0,-111314,-3536,-3106,314851.0,314851.0
2016-03-28,4,2015,-395595.0,556766.0,155292.0,2462248,,2462248,,402449.0,3769306,3769306,,-4072080.0,,1109121.0,-1109121,1664537,1664537,,,0,5219677,5219677,932997.0,228363.0,7414116,21414709,14245989,9107813,5138176,-329789,12562364,1463992,0.58,-2720868.0,-827812,10851681,9571233,1280448.0,,0.0,1432844,,-3300.0,-132581.0,439558,,439558,39034245,2015年度,,-3116463.0,,8615175,5498712,30522522,21409324,20659,-457275.0,,0.57,,8959469.0,805113.0,8615175,,9442987.0,,91680.0,64980.0,,-858.0,,29591258,983978,,-983978.0,4508034,,4508034,86944,82833,1092892.0,1092892.0
2016-05-30,1,2016,,134914.0,33210.0,465604,,465604,,64401.0,361231,361231,,304686.0,0.0,80804.0,-80804,613496,613496,,,0,1358725,1358725,211782.0,69198.0,1746781,4805917,2872562,1706826,1165736,330186,2804443,-843450,0.08,-582756.0,-112983,2350724,1915821,434903.0,,0.0,363052,,,-43394.0,40722,,40722,8241344,2016年01月01日至2016年03月31日,,-582756.0,,1155298,572542,6512743,4914276,0,,,0.08,63381.0,1939627.0,248418.0,1155298,,1268281.0,,20696.0,,,-598.0,,6973063,47158,,-47158.0,1257380,,1257380,28883,27696,279625.0,279625.0
2016-08-29,2,2016,0.0,,35335.0,409789,0.0,409789,,80006.0,596988,596988,,171791.0,216268.0,,216268,292078,292078,59254.0,170139.0,0,1000607,1000607,284396.0,68680.0,1430832,3657091,2767530,1712974,1054556,42356,2677640,-121237,0.05,107689.0,-65343,2343497,1811550,531947.0,,0.0,365911,,,57402.0,257064,,257064,7475109,2016年第2季,139188.0,107689.0,,787983,895672,5370065,4474383,0,0.0,,0.05,65956.0,1669768.0,266184.0,787983,,853326.0,,36538.0,,,-267.0,,6621783,518541,,-518541.0,293155,,293155,26240,23822,298740.0,298740.0
2016-11-21,3,2016,0.0,,35556.0,622543,,622543,,106351.0,932509,932509,,1636503.0,169224.0,0.0,169224,830662,830662,41071.0,325244.0,0,1766657,1766657,269405.0,71357.0,1695151,6730611,2787406,1758121,1029285,242059,3176973,-1050895,0.17,623923.0,-440455,2471317,1921070,550247.0,,0.0,374075,,0.0,39000.0,223356,0.0,223356,10406412,2016年第3季,,623923.0,,2560019,3183942,8488732,5246199,0,,,0.17,63165.0,1770317.0,308685.0,2560019,,3000474.0,,30413.0,,,-685.0,,7405938,338148,,-338148.0,2055943,0.0,2055943,6544,4249,313452.0,313452.0
