date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-08,1,2013,,,2943,6840,5132,4679,,5173,322.0,,-1.45,-1.45,-7333.0,,,-84435,,2230.0,-52129,,70150,2013年01月01日至2013年03月31日,,-492515,-487342,-492515,-487342,-498201,-78749,3175810,2840186,-335624,-335624,162577,61269,131.0,,,31158,-492515,-576950,38592,14173.0,1225,2841416,2840186,5
2013-08-05,2,2013,,4.0,-11496,12843,4632,3362,,-10317,1125.0,,0.32,0.32,-883.0,,,29623,,1179.0,-43993,,62620,2013年04月01日至2013年06月30日,0.0,110559,100242,110559,100242,208980,-68798,3459318,3844937,385619,385619,176639,72431,145.0,,,41588,110559,140182,42280,13730.0,1299,3863058,3844937,16822
2013-11-11,3,2013,,,-20458,2011,14861,14861,0.0,-21084,,,-1.26,-1.26,,2462.0,,58055,,-626.0,-43325,,51677,2013年07月01日至2013年09月30日,0.0,-452596,-473680,-452596,-473680,-326627,-67914,4250750,4097438,-153312,-150850,175777,80701,,,,43399,-452596,-394541,41461,,9938,4109467,4097438,2091
2014-03-21,4,2013,,,-27315,34942,42485,42485,0.0,-21676,,,-1.65,-1.65,,2462.0,,55047,,5639.0,-184330,,241736,2013年01月01日至2013年12月31日,0.0,-591184,-612860,-591184,-612860,-270743,-265394,14663550,15097630,434080,436542,707285,300174,,-1.65,-1.65,165375,-591184,-536137,158491,,17071,15137178,15097630,22477
2015-08-12,2,2015,-2992,,-6379,10709,12071,12071,-4153,-3551,,5820,-0.82,-0.82,,,-559,0,-2992,,-49094,,54639,2015年第2季,,-331823,-335374,-331823,-335374,-273769,-58054,4053851,3952023,-101828,-101828,167788,70921,,0.00,0.00,42228,-331823,-331823,31740,,437,3972562,3952023,20102
2015-11-09,3,2015,7698,,-31610,-61993,17817,17817,-3416,-29558,,-5646,0.32,0.32,,,-37256,3934,7698,,-9525,,64819,2015年第3季,,138599,109041,138599,109041,226701,-84168,3884246,4301232,416986,416986,186869,57804,,0.31,0.31,64246,138599,142533,30467,,16,4307206,4301232,5958
2016-03-24,4,2015,,,-44776,-26250,50408,50408,-9556.0,-28822,,3637.0,-0.23,-0.23,,1877.0,-28822.0,8457,,,-71105,12317.0,214676,2015年度,,-99497,-128319,-99497,-128319,75434,-166474,14986566,15747636,761070,762947,677957,237602,,,,225679,-99497,-91040,119527,,3590,15781487,15747636,30261
2016-05-03,1,2016,,,19243,37068,8644,8644,-4400.0,-33755,,-45242.0,1.16,1.16,,,-33755.0,42444,,,50459,-7756.0,40581,2016年01月01日至2016年03月31日,,521801,488046,521801,488046,491001,73244,4218884,4882963,664079,664079,168678,58228,,1.16,1.16,69869,521801,564245,22927,,432,4885229,4882963,1834
2016-08-10,2,2016,,,14009,-28611,11001,11001,-8594.0,76508,,61558.0,0.21,0.21,,,76508.0,25063,,,26594,941.0,39659,2016年第2季,,93356,169864,93356,169864,132267,-13848,4321772,4624136,302364,302364,161503,51114,,0.21,0.21,70730,93356,118419,22832,,1232,4743488,4624136,118120
2016-11-14,3,2016,,,-3162,6096,13149,13149,-153641.0,-58888,,-48079.0,-5.71,-5.71,,,-58888.0,-51309,,,-72929,-7647.0,41258,2016年第3季,,-2561715,-2620603,-2561715,-2620603,-2537226,-75798,4441437,2167252,-2274185,-2274185,109400,38421,,0.0,0.0,29721,-2561715,-2613024,22114,,1999,2177906,2167252,8655
