date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,金融資產減損損失,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,,-953,2840,0.0,,38798,90,36417,0.24,,,6553,2381.0,1509,,209444,2013年01月01日至2013年03月31日,37505,76303,37039,75617,,59874,-15816,6722436,7055671,333235,333235,273361,,,0.23,63917,37505,44058,,,,19212,,,,7055581,466,686
2013-08-09,2,2013,,,,-2179,5796,0.0,,14633,234,14421,0.22,,,7815,212.0,1397,,191907,2013年04月01日至2013年06月30日,35002,49635,34605,49216,,56144,-13327,7351406,7718871,367465,367465,311321,,,0.22,119414,35002,42817,,,,18341,,,,7718637,397,419
2013-11-08,3,2013,,,,-6108,7072,,,-24636,1467,-24355,0.37,,,11065,-281.0,3002,,243234,2013年07月01日至2013年09月30日,58344,33708,57977,33422,,88296,-18887,9643146,10070071,426925,426925,338629,,,0.37,95395,58344,69409,,,,22853,,,,10068604,367,286
2014-03-14,4,2013,,,28729.0,-11846,25811,,-87.0,78415,2564,46058,1.28,,,41098,3202.0,10824,,886947,2013年01月01日至2013年12月31日,202856,281271,201855,280034,,310376,-66422,33175531,34736756,1561225,1561225,1250849,,513.0,1.28,363902,202856,243954,,,,91211,,,,34734192,1001,1237
2014-05-08,1,2014,,,-4614.0,-10387,4728,,,20154,528,27954,0.34,,,11079,1328.0,1660,,244105,2014年01月01日至2014年03月31日,52676,72830,52775,72828,,111755,-48000,9827751,10256641,428890,428890,317135,,,0.33,73030,52676,63755,,4514.0,,44001,,,,10256113,-99,2
2014-08-06,2,2014,,2819.0,-6739.0,-9654,6108,,,-33074,751,-31414,0.65,231.0,,23515,-111.0,1566,,233521,2014年第2季,112476,79402,112017,79074,7066.0,185196,-49205,12928866,13461241,532375,532375,347179,,,0.65,113658,112476,135991,,-5190.0,,47225,7066.0,,,13460490,459,328
2014-11-07,3,2014,,18903.0,-4322.0,-28969,4416,,,34129,739,46312,0.84,-10066.0,,31149,-295.0,2012,,273610,2014年第3季,145912,180041,146085,180088,,248297,-71236,16582273,17204586,622313,622313,374016,,,0.8,100406,145912,177061,,7566.0,,48695,,,,17203847,-173,-47
2015-03-16,4,2014,,,-13644.0,-75275,24122,,-24382.0,108114,4857,148096,2.61,,,108435,582.0,7418,,1023479,2014年度,452591,560705,453083,560108,,806143,-245117,58780757,61012033,2231276,2231276,1425133,,-2538.0,2.53,401654,452591,561026,,,,201382,,,,61007176,-492,597
2015-05-13,1,2015,,2356.0,3269.0,-8459,7099,,,-14477,581,-25354,0.59,-6103.0,-14477.0,23760,,4509,-668.0,266980,2015年01月01日至2015年03月31日,104549,90072,104911,90501,,196745,-68436,16432455,17004458,572003,572003,375258,,,0.57,108278,104549,128309,,,-8276.0,71585,,,,17003877,-362,-429
2015-07-31,2,2015,,3375.0,5155.0,-5626,6427,,,-21553,1999,-27991,0.57,-2251.0,-21553.0,23571,,626,-480.0,262667,2015年第2季,103262,81709,103559,81895,,190262,-63429,16649138,17206811,557673,557673,367411,,,0.56,104744,103262,126833,,,-1763.0,64856,,17204812.0,17204812.0,17204812,-297,-186
2015-11-11,3,2015,,3824.0,-5529.0,2718,5153,,,123527,1255,158184,0.68,6542.0,123527.0,28466,,5199,-1266.0,248760,2015年第3季,136967,260494,136610,260564,,219056,-53623,18109758,18691897,582139,582139,363083,,,0.66,114323,136967,165433,,,27862.0,66693,,,,18690642,357,-70
2016-03-18,4,2015,-3359.0,,2106.0,-13707,35197,,,65380,4364,81052,2.11,,68739.0,95617,,7728,-750.0,1044049,2015年度,425130,490510,425739,491469,,769705,-248958,69380110,71618425,2238315,2238315,1468610,-4047.0,,2.04,424561,425130,520747,-688.0,,13669.0,278176,,,,71614061,-609,-959
2016-05-04,1,2016,,238.0,-1982.0,-9526,6765,,,-62460,108,-73322,0.13,-9288.0,-62460.0,6936,,648,281.0,245913,2016年01月01日至2016年03月31日,25875,-36585,26578,-36072,,114122,-81311,13227968,13661935,433967,433967,319845,,,0.13,73932,25875,32811,,,-12563.0,79198,,,,13661827,-703,-513
2016-08-12,2,2016,,5115.0,235.0,-9524,8945,,,6658,201,7682,0.25,-4409.0,6658.0,12416,,-960,-179.0,243392,2016年第2季,51005,57663,51098,57659,,126586,-63165,14543529,14995521,451992,451992,325406,,,0.25,82014,51005,63421,,,1080.0,61626,,14995320.0,14995320.0,14995320,-93,4
2016-11-14,3,2016,,11.0,-800.0,-9362,5027,,,-68582,245,-82919,0.64,-9351.0,-68582.0,28988,,-595,439.0,314051,2016年第3季,143040,74458,143270,74375,,255388,-83360,24000356,24689294,688938,688938,433550,,,0.62,119499,143040,172028,,,-14698.0,78430,,,,24689049,-230,83
