date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-88520,-5929,220943,69472,-6443,,-41952,151471,,74118,1.19,,,1944724,,-28040.0,99706,,,,5988159,2013年01月01日至2013年03月31日,9614100,9572148,9201106,9146062,11252396,306428,37450681,56616993,19166312,19166312,7907473,,,871023,,,1.18,,1048291,9614100,11558824,,-490.0,,8292,412994,426086
2013-08-13,2,2013,,-244797,-42464,242342,69403,-5728,,-237742,172939,,15694,1.37,1.37,,2157517,,-8260.0,202653,,,,5961812,2013年04月01日至2013年06月30日,10886529,10648787,10634960,10386347,12647888,396158,35279063,55837956,20558893,20558893,7905277,,,931773,,,1.37,1.37,1011692,10886529,13044046,,379.0,,6373,251569,262440
2013-10-31,3,2013,,-70853,-3497,274392,127762,-12005,,-146910,146630,,-72259,1.37,1.37,,2177679,,-305.0,222821,,,,6373601,2013年07月01日至2013年09月30日,10892987,10746077,10648268,10506098,12586523,484143,35789479,56723304,20933825,20933825,8335297,,,922176,,,1.37,1.37,1039520,10892987,13070666,,3493.0,,9573,244719,239979
2014-03-25,4,2013,,-392685,-122911,919336,356528,58955,,-816415,562808,,129318,5.12,5.12,,8270746,,-34566.0,674977,,,,25160434,2013年01月01日至2013年12月31日,40839627,40023212,39715693,38858600,47675383,1434990,147289195,227981307,80692112,80692112,33075684,,,3724903,,-617049.0,5.11,5.11,4190347,40839627,49110373,,-98567.0,,36412,1123934,1164612
2014-05-13,1,2014,,-259967,-31022,312190,253067,-8510,0.0,-236810,59123,,14517,1.32,1.32,,1956033,,7604.0,172106,,,,6166857,2014年01月01日至2014年03月31日,10385669,10148859,10235417,10007673,11897154,444548,35000167,55049912,20049745,20049745,8144081,,,893912,,,1.32,1.32,1083312,10385669,12341702,,-1036.0,,8726,150252,141186
2014-08-12,2,2014,,26162,24654,225951,142342,-10995,,-56748,83609,,-51248,1.36,1.36,,2091946,,-32245.0,219616,,,,6427683,2014年第2季,10696369,10639621,10582991,10542310,12328653,459662,35036373,55784235,20747862,20747862,8408214,-263.0,,897016,,,1.36,1.36,1083515,10696369,12788315,,-846.0,,10559,113378,97311
2014-11-11,3,2014,,-24227,94817,152990,79815,-13868,,56433,73175,,50746,1.25,1.25,,1882896,,28788.0,275295,,,,6679262,2014年第3季,9796123,9852556,9730907,9770054,11170759,508260,36458180,56140678,19682498,19682498,8497871,-751.0,,824539,,,1.25,1.25,994070,9796123,11679019,,-1877.0,,14842,65216,82502
2015-02-13,4,2014,,878203,130972,875033,586899,630565,,641428,288134,46148.0,163629,4.98,4.98,,7393460,,5194.0,797473,,,,26139779,2014年度,39165678,39807106,38616176,39240095,44801808,1757330,148379560,226608686,78229126,78229126,34057883,-283.0,,3503665,,-492358.0,4.97,4.97,4414439,39165678,46559138,,-87043.0,,46148,549502,567011
2015-05-11,1,2015,-265.0,428190,126258,319981,252684,-29120,,396353,67297,,-29402,1.34,1.34,396618.0,1955265,-265.0,,300526,875.0,875.0,-265.0,5982605,2015年第1季,10567793,10964146,10418425,10820396,11784950,738108,36695881,56472807,19776926,19776926,7962856,,283.0,835127,,,1.34,1.34,1145124,10567793,12523058,,,3328.0,8657,149368,143750
2015-08-11,2,2015,0.0,-761656,-194512,365512,270707,-14662,,-818192,94805,,-55626,1.44,1.44,-818192.0,2187266,0.0,,188364,-426.0,-426.0,0.0,6026364,2015年第2季,11362612,10544420,11133809,10323518,13197359,352519,35710904,56920593,21209689,21209689,7997668,,0.0,866651,,,1.43,1.43,1104653,11362612,13549878,,,484.0,6845,228803,220902
