date,season,year,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,111920,64871,11543,166119,54199,1.92,,23721,,112814,2013年01月01日至2013年03月31日,134564,300683,127137,290570,85611,72674,213341,456682,243341,243341,157730,1020,1.9,43896,134564,158285,3740,456682,7427,10113
2013-08-08,2,2013,292,38066,48385,28305,28013,1.60,,31240,-5247,135477,2013年04月01日至2013年06月30日,119601,147906,112186,138505,73404,77437,197194,455534,258340,258340,184936,2298,1.59,47161,119601,150841,3767,455534,7415,9401
2013-11-11,3,2013,104932,99386,7189,84366,-20566,1.49,,14287,-2670.0,138399,2013年07月01日至2013年09月30日,113506,197872,104043,191218,28218,99575,211595,433339,221744,221744,193526,1305,1.47,53822,113506,127793,4330,433339,9463,6654
2014-03-12,4,2013,333512,207340,72365,439143,105631,5.06,,89722,-11603.0,531112,2013年01月01日至2013年12月31日,392504,831647,355190,787999,230886,251340,859172,1856764,997592,997592,766706,22106,5.01,213488,392504,482226,16762,1856764,37314,43648
2014-05-05,1,2014,-132387,100817,4602,-139561,-7174,1.72,,23000,-6490.0,123781,2014年01月01日至2014年03月31日,147670,8109,134238,-10515,76928,93742,253414,506175,252761,252761,175833,1086,1.71,50966,147670,170670,5187,506175,13432,18624
2014-08-14,2,2014,31490,70364,28790,-23312,-54802,1.62,,35822,-3176,122101,2014年第2季,139758,116446,126008,117724,84646,90934,261829,529666,267837,267837,183191,1016,1.61,60074,139758,175580,5044,529666,13750,-1278
2014-11-12,3,2014,-149214,16054,16213,-83318,65896,1.0,,31692,-1872.0,135262,2014年第3季,94922,11604,77918,-11803,101499,25115,254611,545817,291206,291206,189707,3391,0.98,51054,94922,126614,5280,545817,17004,23407
2015-02-26,4,2014,-215454,237496,59295,-133280,82174,5.35,,114554,-11676.0,525391,2014年度,482353,349073,416641,296518,331656,265251,1082332,2204967,1122635,1122635,790979,21898,5.28,243690,482353,596907,19864,2204967,65712,52555
2015-05-13,1,2015,-13413,21101,39315,-51494,-38081,1.47,-51494.0,29795,-2376.0,138134,2015年01月01日至2015年03月31日,136555,85061,114841,67990,112325,54025,316311,630571,314260,314260,201935,206,1.45,63595,136555,166350,4015,630571,21714,17071
2015-08-12,2,2015,-45255,25082,28015,-93052,-47797,1.03,-93052.0,56307,-1067.0,136855,2015年第2季,102127,9075,79847,-7319,111867,46567,305692,618289,312597,312597,200730,2521,1.01,61354,102127,158434,5463,618289,22280,16394
2015-11-12,3,2015,-54572,-8301,5433,73734,128306,0.86,73734,43329,-2072,185413,2015年第3季,102100,175834,66167,121919,155024,-9595,356426,766275,409849,409849,254825,6076,0.85,63336,102100,145429,4655,766275,35933,53915
2016-02-26,4,2015,-70967,15738,89369,-188968,-118001,3.68,-188968,162635,-6787,655087,2015年度,387683,198715,285016,104663,472693,77625,1296468,2693025,1396557,1396557,923864,12113,3.67,256664,387683,550318,20695,2693025,102667,94052
2016-08-11,2,2016,-8198,-13722,35926,-90712,-82514,0.72,-90712.0,47209,-90.0,197431,2016年第2季,85004,-5708,55942,-22153,115197,17016,415158,821710,406552,406552,291355,29123,0.72,64801,85004,132213,5098,821710,29062,16445
2016-11-14,3,2016,23266,-7252,9594,-40326,-63592,0.94,-40326.0,31362,219.0,203290,2016年第3季,90248,49922,71911,37225,124118,-2508,425628,837086,411458,411458,287340,16013,0.94,68037,90248,121610,5069,837086,18337,12697
