date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益,其他收益及費損淨額,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資利益,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,,-49,1691,,,7805,25004,15221,42246,,3630,49920,0.17,0.17,,6602,,,,17869,2013年01月01日至2013年03月31日,11253,53499,14360,51827,19843,-1988,323416,403293,79877,79877,67839,13376,,,,0.17,0.17,36594,11253,17855,,7674.0,,,3630,298412,388072,-3107,1672
2013-08-13,2,2013,,,-209,2635,2635.0,6243.0,6243,20076,12057,13980,,3636,16606,0.19,0.19,,10326,,,,18408,2013年04月01日至2013年06月30日,14258,28238,16645,29467,25794,-1210,373009,469813,96804,96804,77253,16285,,,,0.19,0.19,42560,14258,24584,,2626.0,,,3636,352933,457756,-2387,-1229
2013-11-11,3,2013,,,-116,3939,3939.0,1965.0,1965,24856,10388,-19184,,3736,-22601,0.21,0.21,,6273,,,,20310,2013年07月01日至2013年09月30日,13323,-5861,19127,2445,19509,87,398470,493200,94730,94730,77186,13983,,,,0.21,0.21,42893,13323,19596,,-3417.0,,,3736,373614,482812,-5804,-8306
2014-03-28,4,2013,,,6768,2483,,16822.0,16822,95562,52497,52161,2483.0,15394,62722,0.9,0.9,,38861,,,,77616,2013年01月01日至2013年12月31日,64181,116342,81697,129139,109185,-6143,1468291,1854257,385966,385966,293603,56901,,-844.0,0.0,0.89,0.89,159086,64181,103042,,9717.0,,,15394,1372729,1801760,-17516,-12797
2014-05-12,1,2014,,,-138,2442,1642.0,1193.0,1193,17156,24982,19269,800.0,4567,22518,0.31,0.31,,11649,1741.0,-1741.0,,18935,2014年01月01日至2014年03月31日,30732,50001,28019,43878,46385,-4004,384855,502511,117656,117656,72464,7847,,,,0.31,0.31,45682,30732,42381,,3249.0,,,4567,367699,477529,2713,6123
2014-08-11,2,2014,,,-499,3525,2892.0,-85.0,-85,17587,19330,-31719,633.0,4922,-37287,0.39,0.39,,17765,608.0,-608.0,,22060,2014年第2季,35767,4048,35584,8403,56036,-2504,419766,557723,137957,137957,81836,9563,,,,0.39,0.39,50213,35767,53532,,-5568.0,,,4922,402179,538393,183,-4355
2014-11-14,3,2014,,,136193,4218,3086.0,-914.0,-914,23424,19590,36835,1132.0,5974,43598,1.24,1.24,,66038,,-674.0,,23080,2014年第3季,110896,147731,112776,145796,43171,133763,423457,555116,131659,131659,87574,9368,,,,1.23,1.23,55126,110896,176934,,6763.0,,,5974,400033,535526,-1880,1935
2015-03-23,4,2014,,,147060,4193,,-1036.0,-1036,85614,93018,100600,4193.0,21057,121190,2.02,2.02,,109328,,-3738.0,,85730,2014年度,184650,285250,184537,272880,167520,126458,1632476,2133856,501380,501380,332824,34407,,-2496.0,,2.02,2.02,212687,184650,293978,,18094.0,,,21057,1546862,2040838,113,12370
2015-05-13,1,2015,,,-407,2618,1289.0,-2693.0,-2693,23838,21394,-37663,1329.0,5322,-43829,0.07,0.07,-37663.0,4847,2004.0,-2004.0,,19272,2015年01月01日至2015年03月31日,2616,-35047,6228,-23879,12578,-5115,388186,487048,98862,98862,83591,9693,,,,0.07,0.07,54626,2616,7463,,,-6166.0,,5322,364348,465654,-3612,-11168
2015-08-12,2,2015,,,-2575,2629,1250.0,-4528.0,-4528,22410,24779,-34453,1379.0,5780,-40426,0.22,0.22,-34453.0,9125,971.0,-971.0,,18281,2015年第2季,17907,-16546,20040,-9122,33729,-6697,402445,522523,120078,120078,81821,10413,,,,0.22,0.22,53127,17907,27032,,,-5973.0,,5780,380035,497744,-2133,-7424
