date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-29,1,2013,,-60576,,178549,95020,95020,31457,49647,357858,421144,0.15,,14844,5400.0,-3171,,177098,2013年01月01日至2013年03月31日,169177,527035,171848,528341,2695,181326,11019583,11397746,378163,378163,375468,,,0.15,198370,169177,184021,,8110.0,,89072,10988126,11348099,-2671.0,-1306.0
2013-07-30,2,2013,,63646,-1482.0,222454,99185,99185,29013,52342,328864,263364,-0.01,,-32027,3684.0,-4602,,199287,2013年04月01日至2013年06月30日,-15746,313118,-14264,313658,-272044,224271,13712730,13826709,113979,113979,386023,,,-0.01,186736,-15746,-47773,,1830.0,,92766,13683717,13774367,,-540.0
2013-10-30,3,2013,,162480,,123668,238821,238821,41597,56234,7777,-157580,0.26,,39514,-1643.0,1599,,203387,2013年07月01日至2013年09月30日,300451,308228,301240,308828,75253,264712,12362621,12871720,509099,509099,433846,,,0.26,230459,300451,339965,,-4520.0,,99376,12321024,12815486,-789.0,-600.0
2014-03-20,4,2013,,474341,,643076,560658,560658,141323,208221,1239692,764133,0.52,,60613,10351.0,-8230,,802457,2013年01月01日至2013年12月31日,593028,1832720,597975,1834326,-161021,814662,50148966,51599106,1450140,1450140,1611161,,-1463.0,0.52,808704,593028,653641,,7670.0,,380842,50007643,51390885,-4947.0,-1606.0
2014-04-30,1,2014,,-97044,,-146669,110491,110491,24518,33303,139135,240899,-0.14,,-61541,2360.0,-2340,,179249,2014年01月01日至2014年03月31日,-161670,-22535,-161020,-22127,-72778,-150433,12837671,13147837,310166,310166,382944,,,-0.14,203695,-161670,-223211,,7080.0,,111915,12813153,13114534,-650.0,-408.0
2014-08-01,2,2014,,83577,0.0,-88770,148182,148182,14526,18699,-249740,-336213,0.04,,11142,-3594.0,-1475,,199011,2014年第2季,49032,-200708,49032,-200708,117566,-57392,13583521,14132763,549242,549242,431676,,,0.04,232665,49032,60174,,-6490.0,,115329,13568995,14114064,,0.0
2014-11-11,3,2014,,-385136,,-31588,282989,282989,20065,16073,-74209,313671,0.14,,-14711,3256.0,-204,,193279,2014年第3季,165505,91296,165505,91296,3930,146864,12437225,12831273,394048,394048,390118,,,0.14,196839,165505,150794,,6000.0,,104333,12417160,12815200,0.0,0.0
2015-03-19,4,2014,,-367487,,-210613,638682,638682,179854,227644,608976,996162,-0.21,,-152702,10129.0,-7319,,872946,2014年度,-243902,365074,-243252,365482,-390827,-5777,51946280,53282098,1335818,1335818,1726645,,-11928.0,-0.21,853699,-243902,-396604,,17900.0,,426527,51766426,53054454,-650.0,-408.0
2015-05-12,1,2015,,46962,,-113523,208141,208141,11407,13943,-219380,-267465,0.08,-219380.0,20551,,-2567,-2697.0,189718,2015年01月01日至2015年03月31日,87486,-131894,87486,-131894,103055,4982,10408976,10934995,526019,526019,422964,,,0.08,233246,87486,108037,,,-3820.0,87069,10397569,10921052,0.0,0.0
2015-08-04,2,2015,,478443,0.0,50828,482852,482852,7271,9461,292446,-189128,0.41,292446.0,189195,,-2258,-1689.0,196958,2015年第2季,474365,766811,474365,766811,217146,446414,11107702,11788473,680771,680771,463625,,,0.41,266667,474365,663560,,,-4820.0,85008,11100431,11779012,,0.0
