date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-03,1,2013,,,2643,-6518,16254,1609,122654,11667,3278,122654,0.25,0.25,,2579.0,,18752,59126,2013年01月01日至2013年03月31日,58009,180663,55120,170089,70303,6458,411867,614163,202296,202296,131993,27475,,,2978,,,45392,58009,76761,0.0,1296.0,,3278,,,2889,10574
2013-08-06,2,2013,,,3216,-5541,35359,25094,66506,7502,2277,66506,0.43,0.43,,2224.0,,58670,66283,2013年04月01日至2013年06月30日,103302,169808,95126,157508,134431,27541,613009,901676,288667,288667,154236,39383,,,2763,,,48570,103302,161972,223.0,324.0,,2277,,,8176,12300
2013-11-01,3,2013,,,5762,-9449,14632,2506,-45250,9429,2793,-45250,0.29,,,2907.0,,15560,70594,2013年07月01日至2013年09月30日,69327,24077,64684,22464,82497,2390,582152,823416,241264,241264,158767,35720,,,2697,,,52453,69327,84887,1.0,781.0,,2793,,,4643,1613
2014-03-06,4,2013,,,14680,-25792,77788,33234,220006,33368,11411,220050,1.32,,,8260.0,,136521,274562,2013年01月01日至2013年12月31日,315548,535554,294200,500639,411484,40585,2359355,3388445,1029090,1029090,617606,136802,,-44.0,11186,,,206242,315548,452069,,2852.0,,11411,,,21348,34915
2014-04-30,1,2014,,,3053,-8080,18078,7387,-23968,7935,3036,-23968,0.39,0.39,,5027.0,,40056,77380,2014年01月01日至2014年03月31日,92853,68885,87136,64181,125947,6962,620596,906523,285927,285927,159980,34207,,,2756,,,48393,92853,132909,,,,3036,,,5717,4704
2014-08-05,2,2014,,,3841,-1695,15105,2502,-75520,9944,4302,-75520,0.49,0.49,2146.0,0.0,,42684,77960,2014年第2季,116030,40510,109516,39105,149606,9108,586915,895302,308387,308387,158781,39058,,,2659,,,41763,116030,158714,,,,4302,,,6514,1405
2014-11-06,3,2014,,,15931,-18654,16742,1307,109738,12655,4638,109738,0.34,,,2723.0,,30966,78902,2014年第3季,79166,188904,75447,177995,116682,-6550,569463,854754,285291,285291,168609,39878,,,2780,,,49829,79166,110132,,,,4638,569463.0,854754.0,3719,10909
2015-03-03,4,2014,,,22184,-27164,70165,14208,129393,45019,16943,145666,1.69,,,1425.0,,166001,314582,2014年度,398864,528257,376372,495379,538807,26058,2441276,3673255,1231979,1231979,693172,165966,,-16273.0,10938,,,212624,398864,564865,,3555.0,,16943,,,22492,32878
2015-04-30,1,2015,,,3036,12942,22617,3247,-41521,16547,5572,-41521,0.56,0.56,580.0,,-41521.0,36313,69240,2015年01月01日至2015年03月31日,134177,92656,125660,86980,140503,29987,523253,803674,280421,280421,139918,26450,,,2823,,,44228,134177,170490,,,15398.0,5572,,,8517,5676
2015-08-10,2,2015,-60214.0,-60214.0,1848,-8388,19513,2544,-60407,16969,4530,-193,0.63,0.63,0.0,3199.0,-193.0,50810,71909,2015年第2季,152513,92106,141120,85094,196728,6595,552243,909236,356993,356993,160265,42644,,,0,,,45712,152513,203323,,3341.0,0.0,4530,,,11393,7012
2015-11-03,3,2015,287132.0,287132.0,1885,-3023,25820,8535,166762,15867,5178,-120370,0.51,0.51,,779.0,-120370.0,52709,72745,2015年第3季,123018,289780,114079,267692,158108,17619,542163,862996,320833,320833,162725,43307,,,1418,,,46673,123018,175727,,359.0,0.0,5178,,,8939,22088
2016-03-07,4,2015,164746.0,159070.0,9362,-20522,102922,32919,-135579,64390,20408,-294649,2.27,,,2891.0,-294649.0,179315,298850,2015年度,544453,408874,507073,377639,661776,61992,2171159,3476275,1305116,1305116,643340,153133,-5676.0,,5613,2.27,,191357,544453,723768,,23667.0,15398.0,20408,,,37380,31235
2016-05-06,1,2016,-97491.0,-97491.0,1757,-4600,30043,15996,-11527,12629,5187,85964,0.57,,0.0,2067.0,85964.0,4623,84684,2016年01月01日至2016年03月31日,136068,124541,128181,118385,120435,20256,488741,793166,304425,304425,183990,34158,,,1418,,,65148,136068,140691,,776.0,0.0,5187,,,7887,6156
2016-08-11,2,2016,17513.0,17513.0,3064,-958,17499,4483,-155226,11623,5595,-172739,0.52,0.52,2783.0,0.0,-172739.0,32703,79648,2016年第2季,136498,-18728,128244,-18183,158255,10946,536383,860517,324134,324134,165879,41855,,,1393,,,44376,136498,169201,,677.0,0.0,5595,,,8254,-545
2016-11-07,3,2016,-134328.0,-134328.0,3953,-6752,14377,3691,-151708,9479,5543,-17380,0.38,0.38,0.0,356.0,-17380.0,32900,88993,2016年第3季,100901,-50807,94345,-46803,131719,2082,572732,894694,321962,321962,190243,45494,,,1207,0.38,0.38,55756,100901,133801,,2443.0,0.0,5543,,,6556,-4004
