date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-03,1,2013,,136007,4181,3894,4181,4642,4.4,4.4,,58296,45419,2013年01月01日至2013年03月31日,406599,410493,406599,410493,330057,134838,425855,865669,439814,439814,109757,26745,,,4.11,4.11,37593,406599,464895,,748.0,,5350,9079,876348,865669,1600
2013-08-06,2,2013,,44630,4966,2373,4966,2859,3.15,3.15,,110159,64284,2013年04月01日至2013年06月30日,293752,296125,293752,296125,359161,44750,486116,974552,488436,488436,129275,27188,,,2.91,2.91,37803,293752,403911,,486.0,,4846,13619,989745,974552,1574
2013-11-06,3,2013,,-56130,3686,-1206,3686,-1453,3.2,3.2,,45957,49029,2013年07月01日至2013年09月30日,301638,300432,301638,300432,402861,-55266,419335,938650,519315,519315,116454,30157,,,3.19,3.19,37268,301638,347595,,-247.0,,2822,11152,950630,938650,828
2014-03-06,4,2013,,176426,16346,-1185,16346,8405,14.89,14.89,,277622,214102,2013年01月01日至2013年12月31日,1395995,1394810,1395995,1394810,1496007,177610,1790738,3770103,1979365,1979365,483358,117090,,-9740.0,14.49,14.49,152166,1395995,1673617,,-150.0,,15162,46612,3821547,3770103,4832
2014-05-07,1,2014,,119280,6556,1962,6556,2364,4.92,4.92,,71538,60009,2014年01月01日至2014年03月31日,468322,470284,468322,470284,415683,124177,458451,1010484,552033,552033,136350,34723,,,4.91,4.91,41618,468322,539860,,402.0,,1659,10373,1021682,1010484,825
2014-08-07,2,2014,,-78967,6915,-2708,6915,-3263,2.81,2.81,,109683,56982,2014年第2季,268099,265391,268099,265391,451432,-73650,481619,1065974,584355,584355,132923,37097,,,2.81,2.81,38844,268099,377782,,-555.0,,1598,13306,1079962,1065974,682
2014-11-06,3,2014,,106808,6975,2429,6975,2928,4.59,4.59,,72281,53077,2014年第3季,437588,440017,437588,440017,397575,112294,463551,999925,536374,536374,138799,34845,,,4.58,4.58,50877,437588,509869,,499.0,,1489,11510,1012440,999925,1005
2015-03-06,4,2014,,339140,29170,6413,29170,9093,18.98,18.98,,352028,230047,2014年度,1808796,1815209,1808796,1815209,1798747,362077,1933034,4282201,2349167,2349167,550420,144209,,-1508.0,18.93,18.93,176164,1808796,2160824,,1172.0,,6233,50310,4335495,4282201,2984
2015-05-06,1,2015,,-26124,6982,-1496,6982,-1803,4.15,4.15,-1496.0,79646,61505,2015年01月01日至2015年03月31日,395594,394098,395594,394098,494447,-19207,469823,1102002,632179,632179,137732,34151,,,4.14,4.14,42076,395594,475240,,,-307.0,65,11730,1114168,1102002,436
2015-08-06,2,2015,,-28316,6741,-713,6741,-859,3.16,3.16,-713.0,175772,58063,2015年第2季,301364,300651,301364,300651,498711,-21575,484895,1118519,633624,633624,134913,35451,,,3.16,3.16,41399,301364,477136,,,-146.0,0,15716,1134955,1118519,720
2015-11-06,3,2015,,354950,6704,4180,6704,4940,7.99,7.99,4180.0,128982,49841,2015年第3季,761273,765453,761273,765453,528601,361654,483487,1149905,666418,666418,137817,41544,,,7.98,7.98,46432,761273,890255,,,760.0,0,13329,1163733,1149905,499
2016-02-26,4,2015,-3659.0,327349,27452,-4659,27452,-1208,20.18,20.18,-1000.0,455286,229534,2015年度,1922962,1918303,1922962,1918303,2023512,354736,1915012,4498347,2583335,2583335,559823,157251,-4451.0,,20.11,20.11,173038,1922962,2378248,-792.0,,-208.0,65,55659,4578652,4498347,24646
2016-05-06,1,2016,,-136789,9354,-3284,9354,-3957,2.89,2.89,-3284.0,33486,43680,2016年01月01日至2016年03月31日,275336,272052,275336,272052,436257,-127435,406578,980434,573856,573856,137599,41274,,,2.88,2.88,52645,275336,308822,,,-673.0,0,12075,994083,980434,1574
2016-08-08,2,2016,,24589,10416,-5417,10416,-3480,3.19,3.19,-5417.0,215972,45632,2016年第2季,304426,299009,304426,299009,485393,35005,482791,1095202,612411,612411,127018,36683,,,3.19,3.19,44703,304426,520398,,,1937.0,0,16304,1114208,1095202,2702
2016-11-07,3,2016,,-201709,11392,-1401,11392,-4734,3.18,3.18,-1401.0,37985,33807,2016年第3季,302563,301162,302563,301162,530865,-190317,495058,1140986,645928,645928,115063,38462,,,3.17,3.17,42794,302563,340548,,,-3333.0,0,16947,1158570,1140986,637
