date,season,year,不重分類至損益之項目總額,什項支出,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,金融資產重分類淨損益,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益
2013-05-08,1,2013,,306,,,15381,-1265,3525,434,,0.0,49583,2060,519,32455,0.02,,0.0,1832,,342,,1747.0,1020,,9690,2013年01月01日至2013年03月31日,2549,52132,2549,52132,,-389,3280,69306,96511,27205,27205,27594,6849,,,381,0.02,,11055,2549,2891,650.0,936,0.0,0.0,,63.0,,0.0,2005,97997,95992,0,0.0
2013-05-08,1,2014,,281,,,-11088,16070,4789,1483,-80.0,0.0,14773,2521,4462,24939,0.33,,0.0,350,,4806,,922.0,2421,,11680,2014年01月01日至2014年03月31日,34056,48829,34056,48829,,15582,23280,122068,169574,47506,47506,31844,7572,,,380,0.33,,12592,34056,38862,405.0,16509,0.0,0.0,192.0,0.0,,0.0,0,165112,165112,0,0.0
2013-08-07,2,2013,,168,,,-12636,5567,3937,354,,0.0,-229,2816,2749,11047,0.21,0.21,10.0,0,,3571,,1360.0,4571,,10800,2013年04月01日至2013年06月30日,21096,20867,21096,20867,,10592,14075,77420,118235,40815,40815,30223,7826,,,394,0.21,0.21,11597,21096,24667,373.0,6535,,0.0,,810.0,,0.0,11,116157,115486,660,0.0
2013-11-08,3,2013,,201,,,8915,5560,5542,243,,0.0,-7940,2492,201,-16187,0.19,0.19,156.0,0,,5411,,-668.0,1183,,9544,2013年07月01日至2013年09月30日,19319,11379,19319,11379,0.0,12445,12285,82077,123456,41379,41379,28934,7460,,,413,0.19,0.19,11930,19319,24730,2394.0,6165,,,0.0,560.0,0.0,,535,123790,123255,0,
2014-03-14,4,2013,,826,0.0,,26485,12278,17805,1829,,,68855,10599,7038,39237,0.5,0.5,0.0,1296,,10548,,3520.0,6765,,41407,2013年01月01日至2013年12月31日,50757,119612,50757,119612,0.0,24457,36848,332583,479206,146623,146623,122166,30734,,-387.0,1587,0.5,0.5,50025,50757,61305,3790.0,15358,,,0.0,958.0,0.0,,2635,475760,472168,957,
2014-08-11,2,2014,,137,,,-526,5297,5119,575,0.0,0.0,-27229,3793,83,-25202,0.09,0.09,1837.0,0,,4169,,-1501.0,1941,,9591,2014年第2季,9441,-17788,9441,-17788,,1253,12357,75222,104603,29381,29381,28128,6873,,,363,0.09,0.09,11664,9441,13610,388.0,2894,,0.0,703.0,0.0,,0.0,19,104547,104520,8,0.0
2014-10-31,3,2014,,67,,,-23319,15708,6640,253,0.0,,1400,3113,268,23298,0.21,0.21,0.0,3152,,2431,,1421.0,-888,,9427,2014年第3季,21607,23007,21607,23007,0.0,2578,21460,70800,104327,33527,33527,30949,9822,,,362,0.21,0.21,11700,21607,24038,2912.0,18850,,,972.0,895.0,0.0,,721,105017,104059,237,
2015-03-11,4,2014,,568,0.0,0.0,-27602,31019,21045,2917,-80.0,,52179,12558,5027,76555,0.77,0.77,0.0,8473,,15070,,4111.0,4148,,40692,2014年度,78150,130329,78150,130329,,37008,56212,356017,512479,156462,156462,119374,30854,,-885.0,1482,0.76,0.76,47828,78150,93220,4088.0,39082,,,978.0,0.0,,,746,508552,507452,354,
2015-05-08,1,2015,,328,,,18333,978,4381,661,0.0,,1194,3371,1670,-15973,0.12,,0.0,2822,1194.0,1780,,,-532,-1166.0,10212,2015年01月01日至2015年03月31日,12185,13379,12185,13379,,9138,4827,87875,124731,36856,36856,27718,6665,,,349,0.12,,10841,12185,13965,0.0,4128,0.0,0.0,0.0,0.0,,0.0,45,123460,123061,354,0.0
2015-08-14,2,2015,,150,,,-8754,5433,6736,682,0.0,,-26745,5296,902,-17252,0.11,0.11,800.0,0,-26745.0,872,,,586,-739.0,13673,2015年第2季,11274,-15471,11274,-15471,,-609,12755,77648,109215,31567,31567,32176,7042,,,359,0.11,0.11,11461,11274,12146,399.0,4783,,0.0,0.0,,,0.0,0,108414,108313,101,0.0
