date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本,勞務收入,勞務收入合計,勞務收入淨額,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,遞延所得稅費用（利益）,重估增值,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-24,1,2013,,,1516.0,-939,6405,29431,665.0,14141,2525.0,3868.0,1379.0,7828.0,7828.0,7828.0,17976,0.73,0.73,26241.0,8481.0,0.0,,7509,,,52260,2013年01月01日至2013年03月31日,,44781,58922,,45204,59345,20322,31968,242866,368366,125500,125500,105178,7004.0,22598,,0.73,0.73,30320,44781,52290,,2896.0,,,0.0,459.0,748.0,3868,0.0,849.0,505.0,,2525.0,241487.0,241487.0,776.0,361319.0,361319.0,360538.0,5.0,-423,-423
2013-08-07,2,2013,,,190.0,26,6388,10708,6726.0,14331,3982.0,3577.0,1401.0,42224.0,42224.0,42224.0,17241,0.74,0.74,0.0,7030.0,0.0,,16889,,,73803,2013年04月01日至2013年06月30日,,46709,61040,,45708,60039,50079,13519,435939,617242,181303,181303,131224,11532.0,23452,,0.74,0.74,33969,46709,63598,,2936.0,,,,84.0,5.0,3577,0.0,373.0,5357.0,,3982.0,434538.0,434538.0,382.0,575423.0,575423.0,575018.0,23.0,1001,1001
2013-10-31,3,2013,,,182.0,-47,-8079,7728,2199.0,-6661,5529.0,3894.0,3650.0,16322.0,16322.0,16322.0,-7979,0.95,0.95,0.0,0.0,6841.0,,752,,,45965,2013年07月01日至2013年09月30日,,59280,52619,,58635,51974,64277,-4245,455802,628845,173043,173043,108766,7504.0,24666,,0.95,0.95,38135,59280,60032,,-1365.0,,,,852.0,1.0,3894,0.0,205.0,-6752.0,,5529.0,452152.0,452152.0,2948.0,615518.0,615518.0,612523.0,47.0,645,645
2014-03-26,4,2013,,,,-922,-10776,58517,,30795,,,,,,,38025,2.58,,,,,,14825,,,254213,2013年01月01日至2013年12月31日,,165069,195864,,162830,193625,146824,33070,1545496,2196249,650753,650753,503929,,103981,,2.57,,145735,165069,179894,,6308.0,,,,,,14671,,,,,,,,,,,,,2239,2239
2014-05-12,1,2014,,,,-94,-3959,15144,,-2065,,,,,,,-2386,0.77,,,,,,21037,,,34191,2014年01月01日至2014年03月31日,,54684,52619,,53642,51577,67662,8059,316178,474996,158818,158818,91156,21037.0,22941,,0.77,,34024,54684,75721,,-415.0,,,,,,3126,,,,,,,,,,,,,1042,1042
2014-08-13,2,2014,,,,125,18770,17236,,-10235,,,,,,,-12464,1.12,,,,,,19875,,,87183,2014年第2季,,82565,72330,,81781,71546,69874,32566,423358,646669,223311,223311,153437,19875.0,29187,,1.12,,37067,82565,102440,,-2104.0,,,,,,3440,,,,,,,,,,,,,784,784
2014-11-07,3,2014,,,,-79,16263,9890,,14405,,,,,,,17434,0.59,,,,,,4553,,,97662,2014年第3季,,44166,58571,,43076,57481,26383,22336,425015,609200,184185,184185,157802,,25134,,0.59,,35006,44166,48719,,2950.0,,,,,,3817,,,,,,,,,,,,,1090,1090
2015-03-25,4,2014,,,,-1,67042,61318,,17066,,,,,,,20562,3.27,,,,,,64212,,,331346,2014年度,,242738,259804,,237770,254836,191691,115259,1628378,2398192,769814,769814,578123,,106169,,3.26,,140608,242738,306950,,3495.0,,,,,,13101,,,,,,,,,,,,,4968,4968
2015-05-13,1,2015,,,,-95,-12651,27450,,-2965,,,,,,,-3469,0.77,,,,,-2965.0,-11555,,,51315,2015年01月01日至2015年03月31日,-11555.0,56927,53962,,56279,53314,35282,10090,345363,484371,139008,139008,103726,,22214,,0.77,,30197,56927,45372,,,-599.0,,,,,4709,,,,,,,,,,,,,648,648
2015-08-11,2,2015,0.0,0.0,,99,-6309,12342,,-20214,,,,,,,-24461,1.07,,,,,-20214.0,23128,0.0,0.0,35833,2015年第2季,23128.0,86276,66062,0.0,85444,65230,107853,1551,369218,572298,203080,203080,95227,,27554,0.0,1.06,,31840,86276,109404,0.0,,-4148.0,0.0,,,,4482,,,,0.0,,,,,,,,,832,832
