date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,生物資產當期公允價值減出售成本之變動之利益,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分投資利益,處分投資損失,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,12851,-3267,7009,,8832,,,11817,0.11,0.11,9584.0,,,6416,37030,2013年01月01日至2013年03月31日,253,9085,10077,14665,2927,3742,945680,1046562,100882,100882,97955,,12977,,,0.11,0.11,47948,253,6669,,2985.0,,,,,,-9824,-5580
2013-08-12,2,2013,,6032,2786,11084,9115.0,4167,1969.0,10676.0,4709,0.24,0.24,8818.0,,,11014,41146,2013年04月01日至2013年06月30日,23512,27679,23945,26592,31332,3194,1063858,1209788,145930,145930,114598,,15253,,,0.24,0.24,58199,23512,34526,,542.0,,,,,10676.0,-433,1087
2013-11-11,3,2013,,11178,-12915,4499,4187.0,-4802,312.0,9641.0,-5580,0.15,0.15,-1737.0,,,13321,46696,2013年07月01日至2013年09月30日,20023,15221,15051,11245,51401,-18057,1068355,1229291,160936,160936,109535,,16495,,,0.15,0.15,46344,20023,33344,,-778.0,,,0.0,,9641.0,4972,3976
2014-03-24,4,2013,,23298,4699,13516,9798.0,12584,3718.0,45637.0,16155,0.69,0.69,27916.0,,,38477,182391,2013年01月01日至2013年12月31日,57322,69906,66949,73334,123221,-27422,4162125,4726442,564317,564317,441096,81.0,62630,,-214.0,0.68,0.68,196075,57322,95799,,3357.0,,,,,45637.0,-9627,-3428
2014-05-12,1,2014,,926,-6048,4346,3590.0,6914,756.0,12346.0,8383,-0.02,-0.02,-5122.0,,,4305,45895,2014年01月01日至2014年03月31日,-7579,-665,-1646,5471,10774,-14048,886912,1003981,117069,117069,106295,,15602,,,-0.02,-0.02,44798,-7579,-3274,,1469.0,,,,,12346.0,-5933,-6136
2014-08-11,2,2014,,1347,-9309,3481,2364.0,-9268,1117.0,9964.0,-11701,0.06,0.06,-7962.0,,,9498,48485,2014年第2季,3573,-5695,5649,-2308,28863,-15792,1086262,1238441,152179,152179,123316,,18073,,,0.06,0.06,56758,3573,13071,,-2433.0,,,,,9964.0,-2076,-3387
2014-11-13,3,2014,,773,13849,5289,3955.0,10693,1334.0,9663.0,12450,0.21,0.21,14622.0,,,9095,46536,2014年第3季,16197,26890,20885,29875,15817,9475,970654,1110236,139582,139582,123765,,18575,,,0.21,0.21,58654,16197,25292,,1757.0,,,,,9663.0,-4688,-2985
2015-03-23,4,2014,,5074,7982,14311,10107.0,26492,4204.0,39623.0,32363,0.75,0.75,13031.0,,,31792,197734,2014年度,56780,83272,74293,98551,105902,-17330,3909192,4492846,583654,583654,477752,,71279,,-901.0,0.75,0.75,208739,56780,88572,,4970.0,,,25.0,,39623.0,-17513,-15279
2015-05-11,1,2015,,995,-3906,3390,1739.0,-5731,1651.0,10304.0,-6783,0.24,0.24,,2911.0,-5731.0,7681,44925,2015年01月01日至2015年03月31日,18515,12784,23583,18446,37016,-10820,723476,881162,157686,157686,120670,,17212,,,0.24,0.24,58533,18515,26196,,,-1052.0,,,,10304.0,-5068,-5662
2015-08-10,2,2015,,787,-10122,4271,3233.0,-8898,1038.0,5333.0,-11605,0.36,0.36,,5523.0,-8898.0,22829,48271,2015年第2季,37019,28121,36239,28605,71032,-11184,753669,954462,200793,200793,129761,,19193,,,0.36,0.36,62297,37019,59848,,,-2707.0,,,3812.0,5333.0,780,-484
2015-11-09,3,2015,,682,9947,9754,8627.0,25932,1127.0,4411.0,32387,0.29,0.29,10629.0,,25932.0,15420,35644,2015年第3季,28938,54870,28938,54870,29068,15290,605012,748376,143364,143364,114296,,25521,,,0.29,0.29,53131,28938,44358,,,6455.0,,,0.0,4411.0,0,0
2016-03-21,4,2015,0.0,3269,-14994,23166,18405.0,7138,4761.0,24293.0,8983,1.25,1.25,-19948.0,,7138.0,60360,178331,2015年度,119991,127129,124279,133275,196472,-16121,2690141,3361317,671176,671176,474704,,78368,0.0,,1.24,1.24,218005,119991,180351,0.0,,1845.0,12035.0,-3812.0,,24293.0,-4288,-6146
2016-05-09,1,2016,,810,784,3165,2514.0,-8040,651.0,2796.0,-9688,0.16,0.16,,-1594.0,-8040.0,8094,37310,2016年01月01日至2016年03月31日,15853,7813,15853,7813,22794,1153,512974,637957,124983,124983,102189,,17742,,,0.16,0.16,47137,15853,23947,,,-1648.0,,,,2796.0,0,0
2016-08-08,2,2016,,334,-20817,3485,2914.0,-736,571.0,2908.0,-888,0.27,0.27,,20483.0,-736.0,16587,41220,2016年第2季,26907,26171,26907,26171,63734,-20240,613668,760946,147278,147278,83544,,21614,,,0.27,0.27,20710,26907,43494,,,-152.0,,,0.0,2908.0,0,0
2016-11-07,3,2016,,406,-20227,2830,2653.0,-13858,177.0,3790.0,-16696,0.17,0.17,,19821.0,-13858.0,12235,40810,2016年第3季,16543,2685,16543,2685,49965,-21187,608322,744949,136627,136627,86662,,19128,,,0.17,0.17,26724,16543,28778,,,-2838.0,,,0.0,3790.0,0,0
