date,season,year,不重分類至損益之項目總額,什項支出,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,沖銷逾期應付款利益,減損損失合計,無活絡市場債券投資利息收入,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資性不動產利益,處分投資性不動產損失,財務成本淨額,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銀行存款利息,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回
2013-05-07,1,2013,,2612.0,91233,4124,1440.0,14744,1393.0,17764,0.31,1291.0,0.0,20549.0,,-465,16121,2013年01月01日至2013年03月31日,59398,74142,59398,74142,,,150.0,-28224,87157,685344,702660,17316,17316,45540,3058,,,26361,59398,58933,3020.0,,,,94239.0,0.0,8200,,20155.0,,,1243.0,685344,2353,705013,702660,0.0
2013-08-05,2,2013,,6706.0,-17239,6807,7014.0,5904,,7113,-0.18,-207.0,0.0,5156.0,,-22637,18697,2013年04月01日至2013年06月30日,-35072,-29168,-35072,-29168,,,,-39488,-18221,905703,913924,8221,8221,47709,3909,,,25103,-35072,-57709,1209.0,,,,0.0,,7789,,0.0,5377.0,,,905703,341,914371,913924,106.0
2013-11-11,3,2013,,7637.0,22284,5689,5262.0,-8891,,-10712,-0.1,427.0,8580.0,0.0,,7487,17555,2013年07月01日至2013年09月30日,-18474,-27365,-18474,-27365,,,,-31355,20368,852774,873170,20396,20396,51751,6609,,,27587,-18474,-10987,-1821.0,,0.0,4.0,,,7605,,21345.0,,,,852774,586,873755,873170,-1.0
2014-03-17,4,2013,,4237.0,102500,26384,14684.0,15776,7700.0,22546,0.02,4000.0,0.0,17864.0,,-16103,70793,2013年01月01日至2013年12月31日,3266,19042,3266,19042,,10000.0,,-110434,97597,3329626,3414834,85208,85208,195642,17479,,-2937.0,107370,3266,-12837,3833.0,,95078.0,,,,31287,13296.0,52819.0,,10000.0,,3329626,3660,3418600,3414834,106.0
2014-05-12,1,2014,,5585.0,-76883,3700,2202.0,13473,1498.0,16233,-0.54,,,10690.0,,-21001,20785,2014年01月01日至2014年03月31日,-102585,-89112,-102585,-89112,,,,-42303,-81283,1031657,1045092,13435,13435,55738,3462,,,31491,-102585,-123586,2760.0,,0.0,3.0,,,8100,,0.0,60605.0,,,1031657,295,1045387,1045092,
2014-08-07,2,2014,,,36849,10908,,-23559,,-28385,0.05,,,,,1913,20949,2014年第2季,8826,-14733,8826,-14733,,,,-26318,37057,933659,958137,24478,24478,50796,3156,,,26691,8826,10739,-4826.0,,,,,,10700,,,,,,933659,234,959464,958137,1093.0
2014-11-10,3,2014,,,4650,23641,,11021,,13279,-0.11,,,,,-4302,22339,2014年第3季,-21283,-10262,-21283,-10262,,,,-41952,16367,889280,902824,13544,13544,55496,2153,,,31004,-21283,-25585,2258.0,,,,,,11924,,,,,,889280,314,903487,902824,349.0
2015-03-23,4,2014,,,-59004,34360,,8776,,22709,-1.0,,,,,-38632,89403,2014年度,-189538,-180762,-189538,-180762,,,,-160668,-67502,3766859,3834751,67892,67892,228560,10648,,-10073.0,128509,-189538,-228170,3860.0,,,,,,42858,,,,,,3766859,1147,3837337,3834751,1439.0
2015-05-11,1,2015,,4904.0,618690,6619,2556.0,6387,323.0,7695,1.92,,,2785.0,6387.0,197446,21622,2015年01月01日至2015年03月31日,364360,370747,364360,370747,3740.0,,,-55332,617138,928732,936116,7384,7384,62716,1609,,,39485,364360,561806,,1308.0,641644.0,0.0,,,8171,,,15265.0,,,928732,1218,937334,936116,
2015-08-07,2,2015,,3286.0,-16849,3807,470.0,12277,3321.0,14791,-0.27,,0.0,7924.0,12277.0,-1022,19005,2015年第2季,-51704,-39427,-51704,-39427,16.0,,,-32742,-19984,853240,869815,16575,16575,49317,1407,,,28905,-51704,-52726,,2514.0,0.0,7304.0,,,6942,,1665.0,0.0,,,853240,312,872029,869815,1902.0
2015-11-09,3,2015,,,-87711,3525,,3020,,3639,-0.5,,,,3020.0,269,19209,2015年第3季,-95482,-92462,-95482,-92462,,,,-3575,-91638,827848,869732,41884,41884,45459,913,,,25337,-95482,-95213,,619.0,,,,,7452,,,,,,827848,1524,871659,869732,403.0
2016-03-21,4,2015,-2472.0,,503398,18182,,2350,,5810,1.01,,,,4822.0,165719,74708,2015年度,191559,193909,191559,193909,,,,-134940,492218,3414938,3487824,72886,72886,207826,5146,-2472.0,,127972,191559,357278,,988.0,,,,,29362,,,,,,3414938,4358,3494500,3487824,2318.0
