date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,可能重分類至損益之其他項目,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-15,1,2013,,-151166,81259,9180,,-136064,,,2968,0.49,0.49,,67418,12134.0,8716,,100271,2013年01月01日至2013年03月31日,346586,210522,346555,252818,331011,82993,6304884,6799613,494729,494729,163718,,20773,,,0.49,0.49,42674,346586,414004,,,16162,6304884.0,6799613.0,31,-42296
2013-08-12,2,2013,,32774,131564,11297,11297.0,101119,,,728,0.29,0.29,,25456,67617.0,8575,,96617,2013年04月01日至2013年06月30日,218577,319696,215883,308198,108421,135612,6181189,6471429,290240,290240,181819,,21368,,,0.29,0.29,63834,218577,244033,,,15824,,,2694,11498
2013-11-13,3,2013,,-16174,-11543,110557,110557.0,73045,,,-1861,0.34,0.34,,23941,91080.0,27176,,98065,2013年07月01日至2013年09月30日,278436,351481,251765,329206,192017,110360,6142838,6498079,355241,355241,163224,,22157,,,0.34,0.34,43002,278436,302377,,,15830,,,26671,22275
2014-03-24,4,2013,,-61790,281869,154920,154920.0,117037,,,2960,1.34,1.34,,153819,181579.0,68165,,404144,2013年01月01日至2013年12月31日,1072042,1189079,1003479,1355568,786475,439386,25043993,26503193,1459200,1459200,672725,,99365,,-5712.0,1.34,1.34,169216,1072042,1225861,,,65568,,,68563,-166489
2014-05-13,1,2014,,-23555,88780,14515,,-40925,,,3233,0.3,0.3,,51818,-20603.0,4240,,104545,2014年01月01日至2014年03月31日,224226,183301,226394,194260,184882,91162,5613555,5977016,363461,363461,178579,,22306,,,0.3,0.3,51728,224226,276044,,,16373,,,-2168,-10959
2014-08-13,2,2014,,-50054,-94540,22407,22407.0,-76724,,,-3012,-0.07,-0.07,,-8611,-23658.0,35242,,107060,2014年第2季,-53861,-130585,-54230,-193799,-6748,-55724,5905103,6082414,177311,177311,184059,,24927,,,-0.07,-0.07,52072,-53861,-62472,,,18833,,,369,63214
2014-11-11,3,2014,,-127554,109633,24522,24522.0,-163631,,,2934,0.25,0.25,,26293,-39011.0,42536,,111658,2014年第3季,205333,41702,204884,23393,73083,158543,5015537,5263503,247966,247966,174883,,26804,,,0.25,0.25,36421,205333,231626,,,18148,,,449,18309
2015-03-23,4,2014,,-244143,257280,84222,84222.0,-283667,,,10260,0.42,0.42,,65735,-45726.0,91262,,433980,2014年度,347282,63615,348239,-46635,47283,365734,21615961,22363188,747227,747227,699944,,95669,,-4058.0,0.42,0.42,170295,347282,413017,,,67030,,,-957,110250
2015-04-28,1,2015,,3564,-57709,14161,,-47198,,,-2065,-0.14,-0.14,-47198.0,-22353,,4431,-48697.0,99462,2015年01月01日至2015年03月31日,-113866,-161064,-114322,-163877,-86754,-49465,4537933,4613017,75084,75084,161838,,20743,,,0.0,0.0,41633,-113866,-136219,,,10348,,,456,2813
2015-08-13,2,2015,,67726,-78670,16285,16285.0,142698,,,-2661,0.17,0.17,142698.0,25927,,12610,77633.0,100441,2015年第2季,140020,282718,139604,237537,233728,-67781,4629463,5021518,392055,392055,158327,,21674,,,0.17,0.17,36212,140020,165947,,,18006,,,416,45181
2015-11-10,3,2015,,-200923,316763,114406,114406.0,-236721,0.0,0.0,7982,0.07,0.07,-236721.0,12581,,729,-43780.0,92490,2015年第3季,80994,-155727,57050,-124294,-319001,412576,3693730,3540428,-153302,-153302,165699,0.0,23250,,,0.07,0.07,49959,80994,93575,0.0,0.0,19322,,,23944,-31433
2016-03-18,4,2015,-32048.0,50773,171994,167075,,-108740,,,-3923,0.02,0.02,-76692.0,4389,,21532,-123542.0,380245,2015年度,46190,-62550,20989,-101515,-242303,292882,16294463,16681998,387535,387535,629838,,87651,-32048.0,,0.02,0.02,161942,46190,50579,,,67719,,,25201,38965
2016-04-26,1,2016,,5218,-121833,19637,,3395,,,-1087,-0.22,-0.22,3395.0,-42317,,5749,-736.0,83932,2016年01月01日至2016年03月31日,-190719,-187324,-191146,-189193,-118322,-114714,3162281,3195263,32982,32982,151304,,24483,,,,,42889,-190719,-233036,,,18267,,,427,1869
2016-07-25,2,2016,,-125237,-3930,26121,26121.0,-188305,,,-4783,0.08,0.08,-188305.0,37864,,9963,-58285.0,91404,2016年第2季,66144,-122161,67020,-86667,94434,9574,3388718,3645297,256579,256579,162145,,25024,,,0.08,0.08,45717,66144,104008,,,22580,,,-876,-35494
2016-11-02,3,2016,,-54071,-221788,118755,118755.0,-32644,,,-5991,-0.22,-0.22,-32644.0,-34246,,4070,27418.0,92466,2016年第3季,-165487,-198131,-189401,-207071,-74738,-124995,3454602,3552381,97779,97779,172517,,30067,,,,,49984,-165487,-199733,,,26032,,,23914,8940
