date,season,year,不動產、廠房及設備重估價利益,不動產、廠房及設備重估價損失,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,保證合約損失,停工損失,備供出售金融資產未實現評價損益,公允價值調整利益－投資性不動產,公允價值調整損失－投資性不動產,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業收入淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,利息費用,勞務收入合計,可能重分類至損益之其他項目,國外營運機構淨投資避險,國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,手續費支出合計,投資收入（投資公司適用）合計,指定按公允價值衡量之金融負債信用風險變動影響數,按攤銷後成本衡量之金融負債利益,按攤銷後成本衡量之金融負債損失,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,旅遊服務收入合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,無形資產重估價利益,無形資產重估價損失,營建工程收入合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),生物資產當期公允價值減出售成本之變動之利益,生物資產當期公允價值減出售成本之變動之損失,當期原始認列生物資產之利益,當期原始認列生物資產之損失,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資性不動產利益,處分投資性不動產損失,處分投資損失,處分無形資產利益,處分無形資產損失,虧損性合約損失,財務成本淨額,賠償損失,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估價之利益（損失）,重估增值,金融資產重分類淨損益,銷貨成本合計,銷貨收入合計,銷貨收入淨額,銷貨退回,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,,,1907.0,,,,,,6259,7170,3822.0,,1790.0,,27975,3348.0,5813.0,,,,,27924,-1.48,-1.48,4818.0,0.0,,,3580,,,,,,,51.0,51.0,,,,,,,,,278023,,2013年01月01日至2013年03月31日,,-284581,-256606,,-274389,-246506,,,,,,-288617,7616,204907,262274,57367,57367,345984,,,,,,,24204,,,,,,43757,-284581,-281001,,,,,,,,,,,,,,5813,,3348.0,,,,,204907.0,273610.0,260484.0,13126.0,,-10192,-10100
2013-08-09,2,2013,,,,,2669.0,,,,,,-4231,13334,9851.0,,1645.0,,13643,3483.0,6431.0,,,,,13736,-0.2,-0.2,1485.0,,,,4398,,,,,,,-93.0,-93.0,,,,,,,,,24706,,2013年04月01日至2013年06月30日,,-47097,-33454,,-36199,-22422,,,,,,-45371,2672,181864,232975,51111,51111,96482,,,,,,,22073,,,,,,49703,-47097,-42699,,,,,,,,,,,,,,6431,,-3047.0,,,,,181864.0,326847.0,231330.0,95517.0,,-10898,-11032
2013-11-08,3,2013,0.0,0.0,,,2235.0,0.0,0.0,0.0,0.0,0.0,-6529,15309,12393.0,0.0,3468.0,0.0,-9613,2916.0,5274.0,0.0,,0.0,,-9604,-0.24,-0.24,-4294.0,0.0,0.0,,4170,0.0,0.0,,0.0,0.0,,-9.0,-9.0,,0.0,,,,,,,21368,0.0,2013年07月01日至2013年09月30日,0.0,-70544,-80157,0.0,-44947,-54537,0.0,0.0,0.0,0.0,0.0,-69880,3506,217376,227379,10003,10003,79883,0.0,,0.0,0.0,0.0,0.0,20839,,0.0,0.0,,,37676,-70544,-66374,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5274,0.0,0.0,0.0,0.0,,0.0,217376.0,230630.0,223911.0,6719.0,0.0,-25597,-25620
2014-03-04,4,2013,,,,,11317.0,,,,,,-7986,45957,33021.0,,7124.0,-171.0,44999,12936.0,23403.0,,,,,43683,-2.56,-2.56,3331.0,,,,10759,,,,,,,484.0,,,,,,,,,,356142,,2013年01月01日至2013年12月31日,,-608184,-563185,,-473316,-428764,0.0,,,,,-611993,14568,905033,925549,20516,20516,632509,,,,,,,95189,,1003.0,,,,181178,-608184,-597425,,,,,,,,,,,,,,23403,,,,,,,905033.0,953728.0,918425.0,35303.0,,-134868,-134421
2014-05-06,1,2014,,,,,7309.0,,,,,,714,14691,8523.0,,4853.0,,15282,6168.0,5831.0,,,,,15019,0.01,0.01,7541.0,,,,-8977,,,,,,,263.0,,,,,,,,,,20095,,2014年01月01日至2014年03月31日,,-5772,9510,,1104,16123,,,,,,-24323,9574,172319,228730,56411,56411,80734,,,,,,,16962,,,,0.01,0.01,43677,-5772,-14749,,,,,,,,,,,,,,5831,,482.0,,,,,172319.0,228774.0,223877.0,4897.0,,-6876,-6613
2014-08-01,2,2014,,,,,15380.0,,,,,,-17661,17400,12934.0,,3884.0,,-19389,4466.0,5800.0,,,,,-19361,0.2,0.2,-4601.0,,,,-58917,,,,,,,-28.0,-28.0,,-151.0,,,,,,,20708,,2014年第2季,,17818,-1571,,36385,17024,,,,,,-34887,-6212,213430,270543,57113,57113,92000,,,,,,,19907,,,,0.2,0.2,51385,17818,-41099,,,,,,,,,,,,,,5800,,2320.0,,,,,213430.0,272382.0,266659.0,5723.0,,-18567,-18595
2014-11-05,3,2014,,,,,1867.0,,,,,,-4544,29413,26470.0,,4527.0,,16779,2943.0,6713.0,,,,,17145,0.0,0.0,-1887.0,,,,5975,,,,,,,-366.0,-366.0,,19.0,,,,,,,32927,,2014年第3季,,-2579,14200,,57,16811,,,,,,-14779,18175,193371,281767,88396,88396,103175,,,,,,,20573,,,,0.0,0.0,49675,-2579,3396,,,,,,,,,,,,,,6713,,-790.0,,,,,193371.0,285059.0,277240.0,7819.0,,-2636,-2611
2015-03-05,4,2014,,,,,,,,,,,-7730,64490,,,0.0,,43197,,,,,,,44098,0.23,,,,,,-53693,,,,,,,0.0,,-639.0,639.0,,,,,,,113609,,2014年度,,-10497,32700,,42645,85499,,,,,,-97566,33376,790114,1074462,284348,284348,381914,,,,,,,84173,,-1085.0,,0.23,,184132,-10497,-64190,,-184.0,,,,,,,,,,,,24023,,,,,,,,,1074462.0,,,-53142,-52799
2015-05-11,1,2015,,,0.0,0.0,,,,0.0,,,-14245,14890,,,,,-10525,,,,0.0,,0.0,-10525,0.01,,,,,-10525.0,2690,,,0.0,,,0.0,,,,647.0,0.0,0.0,0.0,0.0,0.0,0.0,17069,,2015年01月01日至2015年03月31日,,785,-9740,0.0,1617,-8908,,,,,,4227,-752,190572,271758,81186,81186,76959,,0.0,,,,,21178,0.0,,,0.01,,38712,785,3475,0.0,,0.0,,,,,,,,,,,2044,,,,,0.0,,,,,,,-832,-832
2015-08-12,2,2015,,,,,,,,,,,-8675,15776,,,,,-15624,,,,,,,-15624,-0.11,,,,,-15624.0,4399,,,,,,,,,,751.0,0.0,,,,,,16057,,2015年第2季,,-12014,-27638,,-20440,-36064,,,,,,-13666,6051,282945,378563,95618,95618,109284,,,,,,,22909,,,,,,70318,-12014,-7615,,,0.0,,,,,,,,,,,1801,,,,,,,,,,,,8426,8426
