date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,548,44036,6763,40704.0,59976,59428,0.23,0.23,,5649,-3552.0,43723,2013年01月01日至2013年03月31日,42197,102173,46758,106734,18928,28918,1375060,1499435,124375,124375,146151,30304,,,0.23,0.23,72124,42197,47846,,,,18329,-4561,-4561
2013-08-09,2,2013,,-502,-12040,9879,-1992.0,31116,38836,0.18,0.18,,23772,-2283.0,50126,2013年04月01日至2013年06月30日,30770,61886,35878,66994,77415,-22873,1654400,1886153,231753,231753,152346,24293,,,0.17,0.17,77927,30770,54542,,7218.0,,18429,-5108,-5108
2013-11-11,3,2013,,1460,2242,17419,-1867.0,-25214,-32137,0.32,0.32,,22021,-7687.0,59782,2013年07月01日至2013年09月30日,59612,34398,66638,41424,92561,-10928,1478455,1741547,263092,263092,168664,27032,,,0.33,0.33,81850,59612,81633,,-5463.0,,22902,-7026,-7026
2014-03-27,4,2013,,2146,115113,45887,,112637,121154,1.06,1.06,,57185,-30108.0,213091,2013年01月01日至2013年12月31日,193231,305868,216375,329012,195893,54523,5842261,6680359,838098,838098,642205,120103,,11967.0,1.05,1.05,309011,193231,250416,,22630.0,,76369,-23144,-23144
2014-05-06,1,2014,,7165,52892,9867,,10496,4013,0.25,0.25,,8177,-592.0,51487,2014年01月01日至2014年03月31日,49078,59574,51649,62145,10683,46572,1417040,1566474,149434,149434,138751,13361,,,0.25,0.25,73903,49078,57255,,682.0,,15595,-2571,-2571
2014-08-06,2,2014,,410,-38499,10696,,-49191,-59760,0.3,0.3,,22848,0.0,60293,2014年第2季,60738,11547,62221,13030,125743,-42157,1731205,2006576,275371,275371,149628,16112,,,0.26,0.26,73223,60738,83586,,-10159.0,,14354,-1483,-1483
2014-11-06,3,2014,,-7804,-6368,13963,,55613,76406,0.32,0.32,,28730,0.0,61958,2014年第3季,64324,119937,65984,121597,99110,-6056,1711614,1962283,250669,250669,151559,17259,,,0.23,0.23,72342,64324,93054,,12989.0,,13651,-1660,-1660
2015-03-09,4,2014,,2510,59501,46143,,112651,127910,1.02,1.02,,56837,-592.0,227574,2014年度,201997,314648,209040,321691,211279,47555,6291932,7081245,789313,789313,578034,73189,,4791.0,0.92,0.92,277271,201997,258834,,22560.0,,57497,-7043,-7043
2015-05-08,1,2015,,-5705,9555,15784,,-34958,-35244,-0.04,-0.04,-34958.0,3434,0.0,59969,2015年01月01日至2015年03月31日,-12291,-47249,-8476,-43434,-19773,10916,1464659,1605789,141130,141130,160903,23598,,,0.0,0.0,77336,-12291,-8857,,,-5991.0,14423,-3815,-3815
2015-08-04,2,2015,,-4168,-29485,10212,,-42233,-45862,-0.37,-0.37,-42233.0,-13396,0.0,57566,2015年第2季,-76708,-118941,-75093,-117326,-56964,-33140,1626297,1736572,110275,110275,167239,27488,,,-0.37,-0.37,82185,-76708,-90104,,,-7797.0,13867,-1615,-1615
2015-11-06,3,2015,,-7265,74152,6066,,106900,137548,-0.02,-0.02,106900.0,3322,0.0,61211,2015年第3季,-6419,100481,-4821,102079,-70588,67491,1501809,1587743,85934,85934,156522,30178,,,-0.02,-0.02,65133,-6419,-3097,,,23383.0,12727,-1598,-1598
2016-03-08,4,2015,-10890.0,9090,-87159,44551,,-39716,-45682,-1.38,-1.38,-28826.0,-43819,0.0,241142,2015年度,-292813,-332529,-281916,-321632,-240771,-95861,5936927,6341006,404079,404079,644850,108306,-13121.0,,-1.38,-1.38,295402,-292813,-336632,-2231.0,,-7766.0,53253,-10897,-10897
2016-05-06,1,2016,,-1027,-23285,15513,,-15989,-18027,-0.16,-0.16,-15989.0,-15010,,51908,2016年01月01日至2016年03月31日,-34767,-50756,-32421,-48410,-29629,-20148,1086849,1200140,113291,113291,142920,34241,,,-0.16,-0.16,56771,-34767,-49777,,,-3065.0,12376,-2346,-2346
2016-08-05,2,2016,,-228,-7016,3345,,-53746,-64479,-0.11,-0.11,-53746.0,-5459,,48992,2016年第2季,-26533,-80279,-22693,-76439,-16677,-15315,1142348,1265873,123525,123525,140202,28171,,,-0.11,-0.11,63039,-26533,-31992,,,-10961.0,11644,-3840,-3840
2016-11-08,3,2016,,434,-31013,4323,,-73329,-88871,-0.06,-0.06,-73329.0,-6726,,45083,2016年第3季,-13162,-86491,-11956,-85285,18310,-38198,1143536,1286994,143458,143458,125148,20085,,,-0.06,-0.06,59980,-13162,-19888,,,-15108.0,11508,-1206,-1206
