date,season,year,不重分類至損益之項目總額(稅後),代理費用,以成本衡量之金融資產利益,以成本衡量之金融資產損失,以成本衡量之金融資產淨損益,保證手續費收入,保證責任準備提存,信用卡循環利息收入,信用卡手續費收入,信託業務收入,停業單位損益合計,停業單位營業稅前損益,停業單位資產或處分群組按公允價值減出售成本衡量損益（稅前）,停業單位資產或處分群組處分損益（稅前）,備供出售金融資產之已實現利益合計,備供出售金融資產之已實現損失合計,備供出售金融資產之已實現損益,備供出售金融資產未實現評價損益,備供出售金融資產股利收入,備供出售金融資產處分利益,備供出售金融資產處分損失,兌換利益,兌換利益合計,兌換損失,兌換損失合計,兌換損益,其他什項損益,其他什項支出,其他什項收入,其他利息以外損失,其他利息以外收益,其他利息以外淨損益,其他利息收入,其他利息費用,其他各項提存,其他手續費收入,其他手續費費用,其他業務及管理費用,其他業務及管理費用合計,其他綜合損益（稅後）淨額,利息以外淨損益,利息收入合計,利息淨收益,利息費用合計,呆帳費用及保證責任準備提存（各項提存）合計,員工福利費用合計,員工訓練費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,央行及同業存款利息費用,存放及拆放同業利息收入（銀行存款利息收入）,存款利息費用,後續可能重分類至損益之項目總額(稅後),所得稅（費用）利益,手續費收入合計,手續費淨收益,手續費費用合計,承購帳款手續費收入,投資有價證券利息收入（持有票債券利息收入）,折舊及攤銷費用合計,折舊費用,拆放銀行及同業利息收入,攤銷費用,收益,放款呆帳費用,放款手續費收入,放款手續費收入(企金),會計項目,本期其他綜合損益,本期稅前淨利（淨損）,本期稅後淨利（損）歸屬於母公司業主,本期稅後淨利（損）歸屬於非控制權益,本期稅後淨利（淨損）,本期稅後綜合損益總額歸屬於母公司業主,本期稅後綜合損益總額歸屬於非控制權益,本期綜合損益總額（稅前）,本期綜合損益總額（稅後）,淨收益,無活絡市場之債務商品投資利益,無活絡市場之債務商品投資損失,無活絡市場之債務商品淨投資損益,無活絡市場之債務工具投資利益,無活絡市場之債務工具投資損失,無活絡市場之債務工具淨投資損益合計,營業費用合計,營業資產出租淨損益,營業資產租金收入,發行債券利息費用,短期員工福利,確定福利計畫之再衡量數,確定福利計畫精算損益,租金,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,結構型商品利息費用,綜合損益總額,繼續營業單位本期稅後淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與停業單位損益組成部分相關之所得稅(費用)利益,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與本期損益組成部分相關之所得稅(費用)利益,與本期綜合損益組成部分相關之所得稅,負債性特別股股息,財產交易利益,財產交易淨損益,費損,貼現及放款利息收入,資產報廢損失,資產報廢損失合計,透過損益按公允價值衡量之金融負債處分利益,透過損益按公允價值衡量之金融負債處分損失,透過損益按公允價值衡量之金融負債評價利益,透過損益按公允價值衡量之金融負債評價損失,透過損益按公允價值衡量之金融資產利息收入,透過損益按公允價值衡量之金融資產及負債利益合計,透過損益按公允價值衡量之金融資產及負債損失合計,透過損益按公允價值衡量之金融資產及負債損益,透過損益按公允價值衡量之金融資產股利收入,透過損益按公允價值衡量之金融資產處分利益,透過損益按公允價值衡量之金融資產處分損失,透過損益按公允價值衡量之金融資產評價利益,透過損益按公允價值衡量之金融資產評價損失
2013-04-30,1,2013,,8701,7418.0,,7418.0,,5230,19667,33828,153431,0,0,0,0,139955,17279,122676,-237627,,139955,17279,3350870,3350870,3378201,3378201,-27331,-153,199,46,372,7477,7105,9127,,3687,127454,15098,189346,261604,-203040.0,881908,1894373,1000367,894006,-41038,499079,666,41671,0.48,0.48,4962,141617,702005,,-310558,526339,502540,23799,38637,146554,39031,28421,6626,10610,6632853.0,-49955,172989.0,,2013年01月01日至2013年03月31日,,,813041,0,813041,610001,0,927643,,1882275,,,,,,,799714,13,13,87342,499079,,,71592,0.46,0.46,,610001.0,813041,1123599,,0,-7084.0,,-310558,-317642,99697,,,5509254.0,1570782,173,-173,149392,180394,,96347,,713839,436921,276918,,234964,160180,329483,
2013-08-29,2,2013,,8611,357.0,,357.0,,3379,18939,34769,156294,0,0,0,0,37319,9226,28093,-607896,,37319,9226,3842896,3842896,3943025,3943025,-100129,8691,1070,9761,1541,13597,12056,12553,,-4421,139364,17828,201215,274234,-597350.0,762749,2096200,1173362,922838,460,488080,1165,12707,0.57,0.57,11865,136080,723811,,-184528,573544,547105,26439,38909,200925,38548,27077,7331,11471,,1502,204208.0,,2013年04月01日至2013年06月30日,,,950261,0,950261,352911,0,539600,,1936111,,0.0,0.0,,,,800862,11,11,87466,488080,,,71854,0.53,0.53,,352911.0,950261,1134789,,0,-2161.0,,-184528,-186689,99696,3468.0,3468.0,,1720372,471,-471,186749,215858,0.0,281218,,1018492,742868,275624,320.0,323218,245792,508205,0.0
2013-11-05,3,2013,,9198,16184.0,,16184.0,,1047,18489,34788,100148,0,0,0,0,38429,518453,-480024,53718,,38429,518453,3423156,3423156,3486330,3486330,-63174,-1903,2386,483,3094,47222,44128,14388,4.0,-2896,137592,18558,199762,273679,33413.0,-82328,1945479,1035331,910148,261724,340661,1352,-24465,0.0,0.0,14497,137137,713040,,-38525,466656,438900,27756,24180,214302,35589,23794,11818,11795,,263573,169948.0,,2013年07月01日至2013年09月30日,,41350.0,2825,0,2825,36238,0,70603,,953003,0.0,0.0,0.0,,,,649929,11,11,82910,340661,,,72565,0.0,0.0,,36238.0,2825,41350,,0,4160.0,,-38525,-34365,99697,30544.0,30544.0,,1549345,708,-708,397156,506898,182428.0,0,,1021578,1043736,-22158,3029.0,438965,207717,0,329121.0
2014-02-27,4,2013,,35490,24459.0,0.0,24459.0,,14814,74927,138619,520925,0,0,0,0,221902,670914,-449012,-722777,,221902,670914,14126205,14126205,14037751,14037751,88454,11125,3687,14812,12148,73321,61173,47392,4.0,8383,602010,70074,797848,1093300,-599275.0,2335572,7804163,4225947,3578216,196560,1775413,4637,45119,1.57,1.57,46629,560460,2790810,,-707120,2358109,2252545,105564,148070,734727,147871,102294,23830,45577,,173363,948485.0,,2013年01月01日至2013年12月31日,,3348375.0,2641255,0,2641255,2041980,0,2774387,,6561519,0.0,0.0,0.0,,,,3016584,38,38,341986,1775413,,103670.0,290815,1.52,1.52,,2041980.0,2641255,3348375,,0,-25287.0,,-707120,-732407,398787,34012.0,34012.0,,6362827,8461,-8461,1012196,1354971,0.0,513453,,3207661,2825249,382412,3350.0,1558860,956825,633255,0.0
2014-04-24,1,2014,,8283,0.0,,0.0,,7347,16998,31073,144978,0,0,0,0,24008,32278,-8270,158868,,24008,32278,3460379,3460379,3534274,3534274,-73895,-333,363,30,388,33,-355,11249,,15227,151949,15295,188321,260628,174309.0,738619,1821578,957109,864469,175625,466900,250,18604,0.4,0.4,45154,129974,638034,,-91197,594944,571366,23578,37274,176038,34973,23697,36172,11276,,153051,229670.0,,2014年01月01日至2014年03月31日,,757602.0,666405,0,666405,840714,0,935074,,1695728,,,,,,,762501,3,3,81584,466900,,,72057,0.38,0.38,,840714.0,666405,757602,,0,-3163.0,,-91197,-94360,99697,,,,1451147,25,-25,292606,480730,,302027,,1333571,1083798,249773,,404521,301041,636444,
2014-08-06,2,2014,,8104,2741.0,,2741.0,,1189,16704,30653,169227,0,0,0,0,34910,20221,14689,70483,,34910,20221,3445313,3445313,3529986,3529986,-84673,541,2145,2686,3753,5434,1681,20778,1921.0,-2128,165539,14624,203097,276900,47340.0,751679,1893086,1031430,861656,-164482,479206,1765,-27883,0.58,0.58,45917,130194,631718,,-170769,639648,616920,22728,32772,165666,35288,24066,49062,11222,,-163543,241457.0,,2014年第2季,,1156197.0,985428,0,985428,1032768,0,1198797,,1783109,,,,,,,791394,7,7,82404,479206,,,72038,0.55,0.55,,1032768.0,985428,1156197,,0,4740.0,,-170769,-166029,99696,0.0,0.0,,1510682,1608,-1608,202227,296287,70105.0,0,,811599,608537,203062,245.0,539022,293878,0,18372.0
2014-10-23,3,2014,,7743,14797.0,,14797.0,,5558,16509,28722,178559,0,0,0,0,11286,74136,-62850,-41868,,11286,74136,4413977,4413977,3530958,3530958,883019,377,25,402,1614,40424,38810,8069,974.0,-7222,167354,15435,268005,341435,-16924.0,643231,1952157,1103933,848224,101554,476004,946,30053,0.39,0.39,34623,126374,629455,,-126694,616382,593204,23178,17654,143396,36292,25192,91986,11100,,103218,224093.0,,2014年第3季,,791879.0,665185,0,665185,648261,0,780064,,1747164,25216.0,0.0,25216.0,,,,853731,9,9,83475,476004,,,72484,0.38,0.38,,648261.0,665185,791879,,0,-5109.0,,-126694,-131803,99697,0.0,0.0,,1565823,1589,-1589,267010,535273,0.0,731573,,720360,1529312,-808952,3819.0,413567,262466,35964,0.0
2015-02-06,4,2014,,31182,17538.0,0.0,17538.0,,43200,66059,121646,708491,0,0,0,0,256627,175081,81546,438594,15603.0,241024,175081,15282418,15282418,14857452,14857452,424966,1893,2171,4064,6217,47873,41656,46365,24035.0,-11930,654581,57701,927415,1222422,549914.0,3045439,7561484,4138815,3422669,197045,1893512,4428,107883,1.91,1.91,158564,506730,2510074,,-527445,2570959,2482076,88883,117334,594467,142351,98312,240757,44039,,165775,968907.0,,2014年度,,3728924.0,3201479,0,3201479,3751393,0,4301638,,7184254,26243.0,0.0,26243.0,,,,3258285,28,28,331209,1893512,,26237.0,290579,1.8,1.8,,3751393.0,3201479,3728924,,0,-22800.0,,-527445,-550245,398787,0.0,0.0,,6107106,4046,-4046,1164925,2189510,0.0,967528,136668.0,4401136,4385941,15195,4064.0,2087318,1228903,1008161,0.0
2015-04-23,1,2015,,7335,,,,,13312,14917,28013,129684,0,0,0,0,22086,0,22086,162452,,22086,0,3665050,3665050,3632400,3632400,32650,164,0,164,849,173,-676,17442,19846.0,48366,201498,12987,244208,318141,,837510,1848443,1015400,833043,361456,471235,381,-59970,0.36,0.36,28094,92613,603511,112677.0,-62132,589450,569128,20322,15089,102767,35611,24441,76426,11170,,299778,,215166.0,2015年01月01日至2015年03月31日,112677.0,666467.0,604335,0,604335,717012,0,768949,717012.0,1852910,,,,,,,824987,9,9,81895,471235,,,73552,0.35,0.35,,,604335,666467,,0,,10195.0,-62132,-51937,99697,,,,1544278,849,-849,435358,423358,,269752,55996.0,1329355,1115033,214322,0.0,649890,421923,188111,
2015-08-20,2,2015,,7811,404.0,,404.0,,-12327,8921,28157,143393,0,0,0,0,6321,0,6321,-78576,,6321,0,3714837,3714837,3806057,3806057,-91220,1859,94,1953,916,2365,1449,11976,825.0,2244,177504,13853,254297,331850,,818418,1879483,1079766,799717,-42839,511819,1710,-14770,0.43,0.43,22375,95304,572964,-90835.0,-327240,621081,599417,21664,38646,124870,35310,24949,62559,10361,,-32756,,233381.0,2015年第2季,-90835.0,1062044.0,734804,0,734804,643969,0,968698,643969.0,1898184,,,,,,,878979,8,8,85924,511819,,,75843,0.42,0.42,17933.0,,734804,1062044,,0,,2511.0,-327240,-324729,99696,,,,1575853,822,-822,511431,323020,691781.0,0,49657.0,1721630,1419179,302451,1074.0,467687,489661,0,606498.0
