date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,現金流量避險,現金流量避險中屬有效避險部分之避險工具利益(損失),研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-25,1,2013,,5899,-6456,1812,,6723,0.05,0.05,,1338,,50774,2013年01月01日至2013年03月31日,,4962,11685,4962,11685,11251,-4951,794344,884210,89866,89866,78615,824.0,,7778,,,0.05,0.05,20063,4962,6300,,,307,794344,191.0,896240.0,884210,11839.0,,
2013-08-08,2,2013,,-4407,-362,3058,,-3815,0.22,0.22,,4580,,44912,2013年04月01日至2013年06月30日,,21028,17213,21041,17226,23594,2014,1000581,1090342,89761,89761,66167,592.0,,7430,,,0.22,0.22,13825,21028,25608,,,682,1000581,,,1090342,,-13.0,-13.0
2013-10-31,3,2013,,-94,3645,3143,,-1510,0.17,0.17,,2633,,47098,2013年07月01日至2013年09月30日,,16249,14739,16346,14836,13656,5226,955388,1040150,84762,84762,71106,-1416.0,,10534,,,0.17,0.17,13474,16249,18882,,,1562,955388,,,1040150,,-97.0,-97.0
2014-03-13,4,2013,,3581,2649,14749,271.0,2255,0.87,0.87,,16228,,195996,2013年01月01日至2013年12月31日,,82124,84379,82376,84631,85401,12951,3927141,4306763,379622,379622,294221,839.0,,35498,,-2436.0,0.87,0.87,62727,82124,98352,,,4447,3927141,,,4306763,,-252.0,-252.0
2014-04-23,1,2014,,-4715,5227,3961,143.0,-5411,0.19,0.19,,2802,-491.0,50181,2014年01月01日至2014年03月31日,,17747,12336,18022,12611,13598,6951,970981,1059540,88559,88559,74961,-839.0,,7132,,,0.19,0.19,17648,17747,20549,,,1746,970981,,,1059540,,-275.0,-275.0
2014-08-07,2,2014,,-5382,4797,2655,0.0,-5382,0.24,0.24,,6392,-1013.0,54430,2014年第2季,-2075.0,22324,16942,22746,17364,24454,4262,956375,1052096,95721,97796,73342,0.0,,5717,,,0.22,0.22,13195,22324,28716,,,2177,956375,,,1052096,,-422.0,-422.0
2014-10-30,3,2014,,-4469,-6052,3559,0.0,-4469,0.27,0.27,,5571,-297.0,49991,2014年第3季,0.0,25401,20932,25482,21013,36319,-5347,1084032,1192353,108321,108321,72002,0.0,,3998,,,0.24,0.24,18013,25401,30972,,,2557,1084032,,,1192353,,-81.0,-81.0
2015-03-20,4,2014,,-14925,267,13784,820.0,-18930,1.18,1.18,,23472,-2422.0,211367,2014年度,,111230,92300,111870,92940,132475,2227,4533485,4970525,437040,437040,304565,-839.0,,19692,,-3986.0,1.07,1.07,73506,111230,134702,,,9402,4533485,,,4970525,,-640.0,-640.0
2015-04-28,1,2015,,1607,3742,2026,,1607,0.54,0.54,1607.0,11006,-153.0,53594,2015年01月01日至2015年03月31日,,51029,52636,51204,52811,59661,2374,1110394,1242871,132477,132477,72816,,0.0,1907,,,0.44,0.44,17315,51029,62035,,0.0,3241,1110394,,,1242871,,-175.0,-175.0
2015-07-28,2,2015,,-10500,-5584,3424,,-10500,0.34,0.34,-10500.0,9479,-182.0,49476,2015年第2季,0.0,33274,22774,33789,23289,47210,-4457,1164134,1285069,120935,120935,73725,,0.0,2177,,,0.28,0.28,22072,33274,42753,,0.0,2115,1164134,,,1285069,,-515.0,-515.0
2015-10-29,3,2015,,-7720,4515,5318,,-7720,0.5,0.5,-7720.0,10041,0.0,56236,2015年第3季,0.0,60167,52447,60276,52556,60837,9371,1208588,1345384,136796,136796,75959,,0.0,2201,,,0.49,0.49,17522,60167,70208,,0.0,462,1208588,,,1345384,,-109.0,-109.0
2016-02-25,4,2015,-2993,-15663,10214,12179,,-18656,1.65,1.65,-15663,41672,-335,235515,2015年度,,181346,162690,182802,164146,207191,15827,4865013,5404241,539228,539228,332037,,0,8844,-3607,,1.49,1.49,87678,181346,223018,-614,0,6231,4865013,,,5404241,,-1456,-1456
2016-04-27,1,2016,,5367,-2448,1936,,5367,0.21,0.21,5367.0,4519,0.0,51780,2016年01月01日至2016年03月31日,,25921,31288,25347,30714,31356,-916,1189140,1298414,109274,109274,77918,,,2369,,,0.21,0.21,23769,25921,30440,,,404,1189140,,,1298414,,574.0,574.0
