date,season,year,不重分類至損益之項目總額（稅後）,代理手續費收入,代理費用,以成本衡量之金融負債利益,以成本衡量之金融負債損失,以成本衡量之金融負債淨利益（損失）,以成本衡量之金融資產利益,以成本衡量之金融資產損失,以成本衡量之金融資產淨利益（損失）,保管手續費,保證手續費收入,保證責任準備提存及其呆帳費用,保費不足準備淨變動,保費收入,保險佣金支出,保險業務收益合計,保險業務淨收益,保險業務費用合計,保險負債準備淨變動合計,保險賠款與給付,信用卡手續費收入,信託手續費,信託投資利益,信託投資損失,信託投資淨利益（損失）,信託業務收入,信託附屬業務手續費收入,停業單位損益合計,停業單位營業稅前損益,停業單位資產或處分群組按公允價值減出售成本衡量損益（稅前）,停業單位資產或處分群組處分損益（稅前）,備供出售金融資產之已實現利益,備供出售金融資產之已實現損失,備供出售金融資產之已實現損益,備供出售金融資產未實現評價利益（損失）,備供出售金融資產未實現評價損益,儲運收入,儲運淨利益（損失）,儲運費用,兌換利益,兌換損失,兌換損益,公允價值調整利益-投資性不動產,公允價值調整損失-投資性不動產,共同控制下前手權益,其他不重分類至損益之項目,其他什項支出,其他什項收入,其他什項淨利益（損失）,其他佣金支出,其他佣金收入,其他利息以外淨損失,其他利息以外淨損益,其他利息以外淨收益,其他可能重分類至損益之項目,其他各項提存,其他各項營業準備提存,其他應收款呆帳費用-銀行業,其他手續費收入,其他手續費費用,其他業務及管理費用,其他準備淨變動,其他營業準備提存合計,具金融商品性質之保險契約準備淨變動,再保佣金收入,再保險佣金支出,出售不良債權收入,出售不良債權淨利益（損失）,出售不良資產損失,出售承受擔保品利益,出售承受擔保品損失,出售承受擔保品淨利益（損失）,分離帳戶保險商品收益,分離帳戶保險商品費用,利息以外淨收益,利息收入,利息淨收益,利息費用,匯費支出,匯費收入,受託結算交割服務費收入,呆帳費用及保證責任準備提存合計,員工福利費用,國內信用狀手續費收入,國外營運機構淨投資避險屬有效避險部分之避險工具利益（損失）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,存款管理費收入,存款管理費收入合計,安定基金支出,後續可能重分類至損益之項目總額（稅後）,應收信用卡帳款呆帳費用,應收承兌票款呆帳費用,應收承購帳款呆帳費用,所得稅（費用）利益,手續費及佣金收入合計,手續費及佣金淨收益,手續費費用及佣金支出合計,承保費用,承兌手續費收入,承購帳款手續費,承購帳款手續費收入,承銷作業手續費支出,承銷手續費收入,投資性不動產利益,投資性不動產損失,投資性不動產損益,折舊及攤銷費用,持有至到期日金融資產之已實現利益,持有至到期日金融資產之已實現損失,持有至到期日金融資產之已實現損益,指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,採用權益法之投資處分利益,採用權益法之投資處分損失,採用權益法之投資處分損益,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之子公司、關聯企業及合資之其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,採用權益法認列關聯企業及合資損益之份額,採用權益法認列關聯企業及合資損益之份額合計,提存意外損失準備,提存意外損失準備合計,放款呆帳費用,放款手續費收入,會計項目,期貨佣金支出,期貨佣金收入,本期其他綜合損益,本期其他綜合損益（稅後淨額）,本期淨利（淨損）,本期綜合損益總額,歸因於所規避風險之被避險項目之利益－公允價值避險,歸因於所規避風險之被避險項目之損失－公允價值避險,歸因於所規避風險之被避險項目之損益－公允價值避險,淨收益,災害損失,災害損失合計,無活絡市場之債務商品投資利益,無活絡市場之債務商品投資損失,無活絡市場之債務商品投資淨利益（損失）,無活絡市場之債務工具投資利益,無活絡市場之債務工具投資損失,營業費用合計,營業資產出租費用,營業資產租金收入,營業資產租金淨利益（損失）,特別準備淨變動,現金卡手續費收入,現金流量避險中屬有效避險部分之避險工具利益（損失）,發行認購（售）權證費用,發行認購（售）權證費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租賃收入,租賃收入合計,稀釋每股盈餘合計,簽證手續費收入,結算交割服務費支出,經紀手續費收入,經紀經手費支出,繼續營業單位本期淨利（淨損）,繼續營業單位稅前損益,繼續營業單位稅前淨利（淨損）,股利收入,股利收入合計,股務代理收入,股務代理收入合計,自營經手費支出,與不重分類之項目相關之所得稅,與停業單位損益組成部分相關之所得稅（費用）利益,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分投資性不動產利益,處分投資性不動產損失,負債適足準備淨變動,財產交易利益,財產交易利益淨利益（損失）,財產交易利益－資產證券化,財產交易損失,財產交易損失－資產證券化,財產交易淨利益（損失）－資產證券化,責任準備淨變動,費用,資產報廢損失,資產報廢損失合計,資產減損損失,資產減損損失（迴轉利益）,資產減損迴轉利益,資產減損（損失）迴轉利益,賠償收入,賠償收入合計,賠款準備淨變動,跨行手續費,跨行手續費收入,轉融通手續費支出,透過損益按公允價值衡量之金融資產及負債利益,透過損益按公允價值衡量之金融資產及負債損失,透過損益按公允價值衡量之金融資產及負債損益,進出口業務手續費收入,避險工具之利益－公允價值避險,避險工具之損失－公允價值避險,避險工具之損益－公允價值避險,銷貨成本,銷貨收入,銷貨淨利益（損失）,電子支付機構業務收入,非控制權益,非控制股權,顧問服務收入,顧問服務收入合計
2013-05-13,1,2013,,75473,139393,,,,236554,455.0,236099,14058,11563,-84.0,,,,,,,,,853233,,,,,491071,44731,,,,,108107,3351,104756,709307.0,,,,,115752,-38804,154556,,,,,34,3767,3733,,,5205,241277,246482,,-8.0,,,546915,96755,1554371,,,,,,,,,,3743,-3743,,,3580319,5350618,3077352,2273266,388,33550,,350558,1753446,653,,189226,0.45,,,,,22463.0,,,-499504,2489212,2171025,318187,,7446,,3197,1,756,2309.0,,2309.0,231608,0.0,122.0,-122.0,,,,,,,,,,,,,328187.0,221674,2013年01月01日至2013年03月31日,,,,856225.0,2268184,3124409,,,,6657671,,,0.0,,0.0,,,3539425,,672,672,,,,,,,,,,0.45,645,2255,140055,11854,2268184,2767688.0,,,,,,98,,,-42308.0,,,,,236,19,,217,,,,,756,-756,47878,-47878.0,,,11,11,,53255,28271,130,1591089,636693,954396,29979,,,,,3906,3906,,,,1336,1336
2013-08-23,2,2013,,33895,136228,,,,12761,0.0,12761,18873,17477,34694.0,,,,,,,,,849383,,,,,538271,48299,,,,,97591,12351,85240,-389349.0,,,,,-531698,13185,-544883,,,,,118,29631,29513,,,5565,46229,51794,,10125.0,,,402945,80976,1539241,,,,,,,,,,-869,869,,,3341041,5492875,3171818,2321057,540,35360,,512469,1682221,620,,26560,0.38,,,,,24269.0,-3437.0,46864.0,-451242,2432307,2126499,305808,,4732,,5999,15,859,1848.0,,1848.0,232420,0.0,-122.0,122.0,,,,,,,,,,,,,399954.0,280034,2013年04月01日至2013年06月30日,,,,-329552.0,2095266,1765714,,,,6512859,,,104.0,,104.0,,,3453882,,693,693,,,,,,,,,,0.37,424,2268,148268,12369,2095266,2546508.0,,,,,,62,,,33237.0,,,,,40,33,,7,,,,,6309,-6309,87169,-87169.0,0.0,,1551,1551,,54310,28380,167,3315392,1602237,1713155,37361,,,,,5091,5091,,,,1923,1923
2013-11-14,3,2013,,12356,156153,0.0,0.0,0.0,56814,0.0,56814,17967,15858,-5708.0,,,,0.0,0.0,0.0,0.0,,939195,0.0,0.0,,0.0,443329,45779,0.0,0.0,0.0,0.0,81384,15972,65412,-22146.0,,,0.0,,211136,74606,136530,,,,,777,11665,10888,,,6562,68180,74742,,47.0,,-9050.0,652215,102683,1795294,,0.0,,,,0.0,0.0,0.0,0.0,2972,-2972,,,3418262,5860107,3437945,2422162,424,37441,,425258,1738194,1049,,-148974,0.4,,0.0,,,21785.0,120.0,1921.0,-457938,2681000,2329869,351131,,6019,0.0,6314,14,910,35852.0,12400.0,23452.0,232304,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,416143.0,292087,2013年07月01日至2013年09月30日,,,,-148431.0,2207219,2058788,,,0.0,6856207,,0.0,0.0,0.0,0.0,,,3765792,,696,696,,0.0,,200.0,-200.0,,,,0.0,0.38,604,2387,160744,13388,2207219,2665157.0,,,0.0,,0.0,79,,0.0,22689.0,,,,,291,264,,27,,0.0,,,2586,-2586,22088,-22088.0,0.0,,1417,1417,,57897,31190,139,6094684,5277777,816907,35910,,,0.0,,3716,3716,,4342.0,-5160.0,143,143
2014-03-05,4,2013,,130759,574349,,,,307966,455.0,307511,68085,72379,,,,,,,,,,3620074,,,,,1949325,183377,,,,,316689,40298,276391,587010.0,,,,,-99989,29185,-129174,,,,,406,47646,47240,,,13397,370596,383993,,,,,2309308,380161,6914326,,,,,,,,,869.0,9196,-8327,,,13712753,22573791,13034673,9539118,1839,142252,,1706522,6947048,4186,,150708,1.53,,,,,,,,-1798246,10434011,9123611,1310400,,27094,0.0,23036,102,4649,46834.0,17685.0,29149.0,965233,0.0,0.0,0.0,,,,,,,,,,,,,,1084527,2013年01月01日至2013年12月31日,,,,819198.0,8416051,9235249,,,,26747426,,,113.0,0.0,113.0,,,14826607,0.0,2766,2766,,0.0,,2522.0,-2522.0,,78863.0,,,1.52,2228,8992,611573,50777,8416051,10214297.0,,,,,,412,,,2617.0,,,,,1176,360,,816,,,,,2,-2,178133,-169973.0,8160.0,,3026,3026,,224971,120187,712,8302529,4090376,4212153,149057,,,,0.0,16887,16887,,-94.0,-3878.0,3544,3544
2014-05-02,1,2014,,3873,151924,,,,5055,0.0,5055,18095,18412,461.0,,,,,,,,,963093,,,,,619800,45014,,,,,158669,23,158646,-29103.0,,,,,479459,-5817,485276,,,,,63,3161,3098,,,5079,8568,13647,,0.0,,192.0,606215,103843,1712280,,,,,,,,,,0,0,,,4466997,6220881,3498417,2722464,429,34421,,374122,2028059,1771,,207661,0.5,,,,,-4650.0,717.0,14688.0,-712201,2845080,2493134,351946,,7622,,12325,26,1505,,,1486.0,264684,,0.0,0.0,,,,,,,,,,,,,362714.0,276136,2014年01月01日至2014年03月31日,,,,136780.0,2874068,3010848,,,,7965414,,,36.0,,36.0,,,4005023,,684,684,,,,2474.0,-2474.0,,,,,0.5,856,1703,178831,14468,2874068,3586269.0,,,,,,296,,,-41778.0,,1486.0,,,439,-2102,,2541,,,,,1,-1,0,,,0.0,390,390,,60955,33145,207,1319887,0,1319887,42061,,,,,2463,2463,,15610.0,31509.0,1419,1419
2014-08-29,2,2014,,3727,145361,,,,15004,0.0,15004,18088,21075,4072.0,,,,,,,,,976569,,,,,687420,47056,,,,,260409,0,260409,239666.0,,,,,-212553,50755,-263308,,,,,3905,9511,5606,,,7976,35268,43244,,222.0,,,773735,120937,2060792,,,,,,,,,,3,-3,,,4147850,6746610,3762585,2984025,514,42728,,176689,2204343,1955,,-253832,0.4,,,,,-88611.0,-3911.0,10655.0,-506299,3171199,2802872,368327,,6434,,13329,442,2366,,,885.0,258430,0.0,0.0,0.0,,,,,,,,,,,,,254262.0,294032,2014年第2季,,,,16840.0,2703882,2720722,,,,7910435,,,37.0,,37.0,,,4523565,,702,702,,,,,,,,,,0.38,610,2376,209137,17553,2703882,3210181.0,,,,,,608,,,31006.0,,885.0,,,14834,10768,,4066,,,,,2,-2,18001,,0.0,-18001.0,0,0,,62355,33724,93,2364628,1034903,1329725,57302,,,,,2156,2156,,20413.0,5486.0,1000,1000
2014-11-14,3,2014,,4073,169110,,,,83275,0.0,83275,19769,21924,538.0,,,,,,,,,1051289,,,,,645992,58012,,,,,60715,6424,54291,115370.0,,,,,1113083,-6575,1119658,,,0.0,,131,3978,3847,,,2089,90429,92518,,-377.0,,400.0,1123802,113711,2163753,,,,,,,,,,0,0,,,4580463,7032882,4047499,2985383,356,44862,,644324,2035099,1602,,307212,0.41,,,,,-70929.0,-7836.0,54798.0,-618219,3636188,3243888,392300,,7196,,15196,172,47466,,,-572.0,274376,,,,,,,,,,,,,,,,667730.0,315091,2014年第3季,,,,374893.0,2892191,3267084,,,,8627962,,,1.0,,1.0,,,4473228,,753,753,,,,1957.0,-1957.0,,,,,0.41,746,3552,207721,17952,2892191,3510410.0,,,,,,1226,,,-47689.0,,1066.0,1638.0,,315,320,,-5,,,,,6,-6,49963,,857.0,-49106.0,0,0,,66371,35599,81,8973822,8851947,121875,55617,,,,,4196,4196,,28890.0,43425.0,0,0
2015-03-20,4,2014,,26235,616417,,,,120728,0.0,120728,76796,81240,1774.0,,,,,,,,,4036467,,,,,2660330,205034,,,,,489564,6448,483116,335678.0,,,,,2098185,39210,2058975,,0.0,,,317,25417,25100,,,23150,195163,218313,,,,12444.0,3189270,453537,8503101,,,,,,,,,0.0,2926,-2926,,,17269893,27147256,15484626,11662630,1804,167392,,2033689,8356860,6677,,873966,1.56,,,,,-205959.0,-10154.0,69256.0,-2165739,12959170,11470184,1488986,,26625,0.0,55511,808,90300,,,2654.0,1089802,0.0,0.0,0.0,,,,,,,,,,,,,2166328.0,1286787,2014年度,,,,1127093.0,10605328,11732421,,,,32754519,,,96.0,0.0,96.0,,,17949763,0.0,2902,2902,,140.0,,13208.0,-13208.0,,66864.0,,,1.55,3294,11514,777534,66581,10605328,12771067.0,,,,,,3200,,,-149415.0,,4291.0,1637.0,,15894,9270,,6624,,,,,75,-75,86065,,5788.0,-80277.0,762,762,,257825,140074,504,7360225,4220147,3140078,206260,,,,0.0,11178,11178,,76776.0,122267.0,41336,41336
2015-04-24,1,2015,-47491.0,3606,154479,,,,4507,0.0,4507,21933,16707,-2588.0,,,,,,,,,1049438,,,,,864793,5011,,,,,206946,0,206946,,7504.0,,,,902433,25174,877259,,,,,863,2980,2117,,,4913,118072,122985,,0.0,,2404.0,893095,114394,2078669,,,,,,,,,,116,-116,,,5157427,7174195,4131960,3042235,340,43948,,996137,2208905,1105,,-350333,0.45,,,,-282334.0,-55551.0,-592.0,17709.0,-504505,3454961,3072941,382020,,5443,,13691,60,7018,,,0.0,306305,,0.0,0.0,-47491.0,,,,,,,,,,,,1034755.0,310314,2015年01月01日至2015年03月31日,,,-329825.0,,3194866,2865041,,,,9289387,,,,,0.0,0.0,,4593879,,736,736,,,,3932.0,-3932.0,,,,,0.43,1090,2841,162973,14350,3194866,,3699371.0,,,,,825,,,,60495.0,0.0,,,224,223,,1,,,,,1,-1,18624,,,-18624.0,1132,1132,,72604,33196,194,4607039,3706206,900833,43533,,,,,2611,2611,,13789.0,4324.0,110795,110795
2015-08-21,2,2015,128226.0,3991,141547,,,,29544,,29544,22414,16255,-1482.0,,,,,,,,,1066186,,,,,915354,8287,,,,,110510,19604,90906,,-250580.0,,,,385524,46209,339315,,,,,27917,33451,5534,,,31180,80994,112174,,-10270.0,,,1381790,126083,2359464,,,,,,,,,,0,0,,,5619139,7384789,4255907,3128882,638,47204,,1027587,2224666,2279,,-121440,0.44,,,,-347009.0,-74182.0,2457.0,84455.0,-446703,4145030,3762460,382570,,5530,,15131,27,809,,,0.0,312386,,2109.0,-2109.0,128226.0,,,,,,,,,,,,1026609.0,395542,2015年第2季,,,-218783.0,,3504240,3285457,,,,9875046,,,,,0.0,0.0,,4896516,,777,777,,,,3263.0,-3263.0,,,1379.0,1379.0,0.44,576,3599,205723,18186,3504240,,3950943.0,,,,,1052,,,,25011.0,0.0,,,175,175,,0,,,,,0,0,-156,,,156.0,11,11,,68829,33997,195,7495514,6148097,1347417,46376,,,,,6147,6147,,7532.0,-1971.0,40690,40690
