date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,1098,7069,7565,30917,35924,1.3,1.3,,,35258,6.0,4331,,27146,2013年01月01日至2013年03月31日,,108156,139073,108523,139458,124785,18629,355760,561304,205544,205544,80759,8343,,,1.3,1.3,45270,108156,143414,,6111.0,,336,-367,-385
2013-08-12,2,2013,,869,3418,5916,15027,17030,1.55,1.55,,,45043,1.0,1164,,34371,2013年04月01日至2013年06月30日,163.0,128876,143903,129111,144004,163725,10194,417743,669987,252244,252081,88356,8527,,,1.55,1.55,45458,128876,173919,,2873.0,,304,-235,-101
2013-11-11,3,2013,,785,478,6239,-9123,-15783,1.53,1.53,,,35490,3839.0,5693,,35609,2013年07月01日至2013年09月30日,307.0,127288,118165,127322,118167,150646,12132,407890,645770,237880,237573,86927,8922,,,1.53,1.53,42396,127288,162778,,-2036.0,,278,-34,-2
2014-03-21,4,2013,,1691,18208,62538,54412,59639,6.06,6.06,,,170047,3861.0,16035,,131742,2013年01月01日至2013年12月31日,-929.0,503555,557967,504276,558517,577985,95617,1601483,2536119,934636,935565,357580,35472,,-15.0,6.04,6.04,190366,503555,673602,,10764.0,,1164,-721,-550
2014-05-08,1,2014,,393,12150,4764,-2052,-2966,1.73,1.73,,,44557,51.0,4429,,35011,2014年01月01日至2014年03月31日,272.0,144323,142271,144275,142372,167863,21017,449939,710276,260337,260065,92202,8165,,,1.73,1.73,49026,144323,188880,,-470.0,,326,48,-101
2014-08-08,2,2014,,1796,-16777,5592,-21449,-27525,1.65,1.65,,,52693,-475.0,5358,,39046,2014年第2季,744.0,137632,116183,137539,116119,196441,-6116,471527,764382,292855,292111,95670,8737,,,1.65,1.65,47887,137632,190325,,-4755.0,,289,93,64
2014-11-10,3,2014,,-1092,3914,4691,31044,41299,1.63,1.63,,,42185,-2624.0,2499,,41986,2014年第3季,0.0,135515,166559,135625,166461,166831,10869,451839,715471,263632,263632,96801,9571,,0.0,1.63,1.63,45244,135515,177700,,6539.0,,235,-110,98
2015-03-23,4,2014,,1291,12984,29656,27905,54697,6.32,6.32,,,184190,-2915.0,12077,,158943,2014年度,1558.0,524962,552867,525253,552999,655673,53479,1828592,2903866,1075274,1073716,418043,36589,,-19751.0,6.28,6.28,222511,524962,709152,,5417.0,,1238,-291,-132
2015-05-12,1,2015,,903,-29904,6494,-1838,-8028,1.22,1.22,,-1838.0,30230,,6077,4162.0,36201,2015年01月01日至2015年03月31日,-870.0,99930,98092,101050,96462,148162,-18002,447711,697281,249570,250440,102278,8815,,,1.21,1.21,57262,99930,130160,,,-1125.0,669,-1120,1630
2015-08-08,2,2015,,846,-3582,5504,-23627,-24979,1.23,1.23,,-23627.0,48872,,4119,-4491.0,42993,2015年第2季,244.0,102423,78796,102542,78988,145904,5391,472407,724162,251755,251511,105607,9782,,,1.23,1.23,52832,102423,151295,,,-4997.0,650,-119,-192
2015-11-11,3,2015,,-1914,31115,3851,51889,64756,1.56,1.56,,51889.0,33184,,1160,-14.0,38947,2015年第3季,-526.0,129234,181123,130056,181550,127191,35227,452115,675101,222986,223512,96321,9993,,,1.56,1.56,47381,129234,162418,,,10939.0,899,-822,-427
2016-03-25,4,2015,13137.0,473,-10179,25919,1184,-16132,5.09,5.09,1201.0,-11953.0,146450,,15383,183.0,161268,2015年度,0.0,422290,423474,423381,419791,540881,27859,1836759,2791517,954758,955959,415078,39827,15828.0,,5.05,5.05,213983,422290,568740,2691.0,,-3523.0,3264,-1091,3683
2016-05-11,1,2016,,158,309,3798,-20040,-24558,1.29,1.29,0.0,-20040.0,30974,,3423,242.0,39457,2016年01月01日至2016年03月31日,2269.0,107247,87207,107145,87198,131309,6912,459062,696561,237499,235230,103921,9852,,,1.28,1.28,54612,107247,138221,,,-4118.0,618,102,9
2016-08-11,2,2016,,352,1490,3217,-31339,-38158,1.63,1.63,,-31339.0,48838,,4516,-28.0,42940,2016年第2季,2002.0,135364,104025,135488,104127,175591,8611,481568,773003,291435,289433,113842,11514,,,1.63,1.63,59388,135364,184202,,,-6495.0,612,-124,-102
2016-11-08,3,2016,,1120,-24777,4879,-33732,-41767,1.37,1.37,,-33732.0,35338,,5087,-215.0,40368,2016年第3季,705.0,113850,80118,113628,79938,164712,-15524,458650,728327,269677,268972,104260,11508,,,1.36,1.36,52384,113850,149188,,,-7130.0,713,222,180
