date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,其他費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,投資收入（投資公司適用）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用合計,租賃成本,租賃成本合計,租賃收入,租賃收入合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,,,-289,13169,809,,17321,,16830,0.12,0.12,,,4783,0.0,,780.0,749,,5448,2013年01月01日至2013年03月31日,,,12406,29727,12406,29727,2770,14419,22161,49157,26996,26996,24226,,4805,,13423,,35665,0.12,0.12,13973,12406,17189,308,,8738,,13492,13492,,
2013-08-09,2,2013,,,0.0,12117,6043,1626,,24542,0.0,11900,0.1,0.1,,,7375,,,525.0,1183,,5392,2013年04月01日至2013年06月30日,,,10589,35131,10589,35131,9427,8537,21625,52753,31128,31128,21701,,4749,13481.0,13481,,36495,0.1,0.1,11560,10589,17964,315,,8144,,16258,16258,,
2013-11-12,3,2013,,0.0,,13916,24,977,977.0,7689,,-5959,0.06,0.06,0.0,,1075,,,-268.0,1194,,5493,2013年07月01日至2013年09月30日,0.0,,5555,13244,5555,13244,4754,1876,21220,50893,29673,29673,24919,,4590,,13059,,35299,0.06,0.06,14836,5555,6630,319,,8161,,15594,15594,,0.0
2014-03-19,4,2013,,,,22842,18730,6593,,56801,,32587,0.32,0.32,,,12429,,,1372.0,3871,,26315,2013年01月01日至2013年12月31日,,,29813,86614,31152,87996,14305,27937,90699,206308,115609,115609,101304,,18626,54449.0,54449,142449.0,142449,0.32,0.32,56363,29813,42242,1257,36250.0,36250,63859.0,63859,63859,-1339.0,-1382.0
2014-04-29,1,2014,,,,15275,387,1374,,24057,,8379,0.06,0.06,,,4884,,,403.0,1360,,5300,2014年01月01日至2014年03月31日,,,5007,29064,5727,29815,7074,2817,22364,54446,32082,32082,25008,4884.0,5655,14741.0,14741,37393.0,37393,0.06,0.06,14053,5007,9891,304,7623.0,7623,17053.0,17053,17053,-720.0,-751.0
2014-08-08,2,2014,,,,-10021,28756,1569,,-23760,0.0,-13057,0.36,0.36,,,1764,,,-682.0,2022,,5715,2014年第2季,,,31655,7895,32668,8838,1446,31973,23303,55975,32672,32672,31226,,9174,13298.0,13298,,41214,0.36,0.36,16337,31655,33419,374,,10005,,14761,14761,-1013.0,-943.0
2014-10-21,3,2014,,0.0,,8498,503754,2994,2994.0,21472,,12361,5.51,5.51,,,17796,,,613.0,2096,,9280,2014年第3季,,,496822,518294,495696,517239,5980,508638,28234,60996,32762,32762,26782,,4017,,13295,,39072,5.51,5.51,13485,496822,514618,206,,14939,,21924,21924,1126.0,1055.0
2015-02-16,4,2014,,,,13811,559265,10276,,54389,,39319,6.42,6.42,,,48300,,,1259.0,9302,,24072,2014年度,,,563844,618233,563667,618184,34204,577940,102205,241528,139323,139323,105119,,22993,53909.0,53909,159153.0,159153,6.42,6.42,58054,563844,612144,903,48296.0,48296,82375.0,82375,82375,177.0,49.0
2015-02-26,4,2015,-781.0,,,-14418,125930,27764,,-32275,,-15461,2.2,2.2,,-31494.0,79432,,-781.0,,18713,-1615.0,14482,2015年度,,,136512,104237,138906,106616,43606,172338,82068,218789,136721,136721,93115,,16027,59200.0,59200,173925.0,173925,2.2,2.2,62606,136512,215944,69,22868.0,22868,44864.0,44864,44864,-2394.0,-2379.0
2015-04-28,1,2015,,,,7085,-5147,3635,,-4565,,-10732,0.25,0.25,,-4565.0,-1311,,,,2301,-918.0,4937,2015年01月01日至2015年03月31日,,-1311.0,14450,9885,15631,11048,12367,772,19488,57482,37994,37994,25627,,5450,14011.0,14011,42659.0,42659,0.25,0.25,15240,14450,13139,17,5477.0,5477,14823.0,14823,14823,-1181.0,-1163.0
