date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,392,0,2988,392,0.01,0.01,,600,14062,2013年01月01日至2013年03月31日,971,1363,970,1362,5049,-3478,578815,608397,29582,29582,24533,,,,,10471,971,1571,,,6466,1,1
2013-08-13,2,2013,,-346,-16,1758,-346,0.39,0.39,,3799,14011,2013年04月01日至2013年06月30日,27560,27214,27559,27213,36003,-4644,579421,643139,63718,63718,27715,,,,,13704,27560,31359,,,6386,1,1
2013-11-14,3,2013,,930,-53,-95,930,0.22,0.22,,1373,15631,2013年07月01日至2013年09月30日,15528,16458,15528,16458,23332,-6431,583577,634672,51095,51095,27763,,,,,12132,15528,16901,,,6283,0,0
2014-03-27,4,2013,,715,-183,7187,1486,1.09,1.09,,12321,59289,2013年01月01日至2013年12月31日,80449,81935,80446,81930,111096,-18326,2313683,2536888,223205,223205,112109,,929.0,,,52820,80449,92770,,158.0,25330,3,5
2014-05-09,1,2014,,-1379,131,1257,-1379,0.08,0.08,,1734,14124,2014年第1季,6118,4739,6117,4738,12441,-4589,584222,622694,38472,38472,26031,,,,,11907,6118,7852,,,5977,1,1
2014-08-07,2,2014,,166,-185,1617,166,0.52,0.52,,10739,14764,2014年第2季,40995,41161,40994,41160,56370,-4636,594737,680675,85938,85938,29568,,,,,14804,40995,51734,,,6068,1,1
2014-11-07,3,2014,,-1622,0,3679,-1622,0.48,0.48,,6579,15819,2014年第3季,37540,35918,37539,35917,46518,-2399,618644,696314,77670,77670,31152,,,,,15333,37540,44119,,,6078,1,1
2015-03-16,4,2014,,-3419,-20307,34275,-12372,1.41,1.41,,24673,58827,2014年度,112317,99945,112311,99941,147193,-10203,2385700,2650056,264356,264356,117163,,-10787.0,,,58336,112317,136990,,-1834.0,24171,6,4
2015-05-14,1,2015,,706,0,1127,706,-0.08,-0.08,706.0,-288,13877,2015年01月01日至2015年03月31日,-6582,-5876,-6583,-5877,-2131,-4739,571276,595487,24211,24211,26342,,,,,12465,-6582,-6870,,,5866,1,1
2015-08-03,2,2015,,73,-800,1285,73,0.24,0.24,73.0,8330,15181,2015年第2季,18689,18762,18687,18760,32440,-5421,607141,668777,61636,61636,29196,,,,,14015,18689,27019,,,5906,2,2
2015-11-10,3,2015,,-945,-9444,1811,-945,-0.11,-0.11,-945.0,-4371,16046,2015年第3季,-9685,-10630,-9686,-10631,375,-14431,605289,635340,30051,30051,29676,,,,,13630,-9685,-14056,,,6798,1,1
2016-03-24,4,2015,-24431.0,-1068,-28266,9650,-25499,0.27,0.27,-1068.0,15445,59539,2015年度,22485,-3014,22478,-3019,81699,-43769,2351533,2550675,199142,199142,117443,-29435.0,,0.22,0.22,57904,22485,37930,-5004.0,,25153,7,5
2016-05-04,1,2016,,701,4488,1326,701,0.03,0.03,701.0,1424,14221,2016年01月01日至2016年03月31日,2547,3248,2546,3247,5829,-1858,567833,601062,33229,33229,27400,,,0.03,0.03,13179,2547,3971,,,7672,1,1
2016-08-11,2,2016,,0,163,3253,0,0.36,0.36,0.0,2012,18141,2016年第2季,31593,31593,31588,31588,39334,-5729,582610,656324,73714,73714,34380,,,0.31,0.31,16239,31593,33605,,,9145,5,5
2016-11-08,3,2016,,682,-33382,1567,682,-0.06,-0.06,682.0,-2276,17074,2016年第3季,-4886,-4204,-4886,-4204,34685,-41847,590799,654864,64065,64065,29380,,,-0.03,-0.03,12306,-4886,-7162,,,10032,0,0
