date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收益,其他收益及費損淨額,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,財務成本淨額,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-30,1,2013,,4448,-7869,8965,1160.0,1160.0,21181,11333,0.51,,33695,5400.0,-8761,,66355,2013年01月01日至2013年03月31日,204273,225454,204945,226126,245717,-7749,1059018,1828201,769183,769183,524626,364453,,,0.49,93818,204273,237968,,,84.0,,,-672,-672
2013-07-30,2,2013,,-9648,-4256,8098,-1160.0,-1160.0,-8392,4130,0.5,,39423,-2874.0,9375,,58860,2013年04月01日至2013年06月30日,203441,195049,203765,195373,229732,13132,953057,1771752,818695,818695,587803,418496,,,0.49,110447,203441,242864,,,85.0,,,-324,-324
2013-10-31,3,2013,,1274,-22476,9638,3300.0,3300.0,-988,-2220,0.5,,43550,-42.0,-9031,,56870,2013年07月01日至2013年09月30日,202766,201778,203942,202954,268274,-21958,951446,1756480,805034,805034,540060,387290,,,0.49,95900,202766,246316,,,89.0,1756480.0,1756480.0,-1176,-1176
2014-03-17,4,2013,,-3510,-32874,39285,,,9693,16543,2.02,,178552,1464,-18568,,246420,2013年01月01日至2013年12月31日,814339,824032,818771,828464,1005392,-12501,3737053,6946007,3208954,3208954,2203562,1565891,,-5787,1.98,391251,814339,992891,,-983,344,,6946007,-4432,-4432
2014-04-22,1,2014,,3712,1724,13213,0.0,0.0,9304,4768,0.41,,35284,824.0,-11592,,55597,2014年01月01日至2014年03月31日,166492,175796,168368,177672,198507,3269,689667,1439880,750213,750213,551706,402189,,,0.41,93920,166492,201776,,,76.0,,,-1876,-1876
2014-07-29,2,2014,,1743,-14876,22028,,,-114,-1094,0.5,,32780,-763.0,19875,,57170,2014年第2季,204242,204128,205507,205393,210047,26975,702485,1465641,763156,763156,553109,391659,,,0.49,104280,204242,237022,,,52.0,,,-1265,-1265
2014-11-03,3,2014,,-2221,-6643,14885,,,4344,5409,0.33,,30828,1156.0,-14239,,61493,2014年第3季,134072,138416,134954,139298,170980,-6080,649486,1373934,724448,724448,553468,389552,,,0.32,102423,134072,164900,,,83.0,1373934.0,1373934.0,-882,-882
2015-03-16,4,2014,,3480,19928,60680,,,27968,23451,1.65,,128629,2336.0,-14508,,245669,2014年度,675163,703131,678684,706652,737903,65889,2770140,5741781,2971641,2971641,2233738,1585574,,-1564.0,1.63,402495,675163,803792,,-265.0,211.0,,5741781.0,-3521,-3521
2015-04-24,1,2015,,199,-5476,15375,,,-12229,-13693,0.46,-12229.0,35866,,-15611,1265.0,59444,2015年01月01日至2015年03月31日,190393,178164,190621,178392,231971,-5712,819067,1613645,794578,794578,562607,391379,,,0.46,111784,190393,226259,,,0.0,,,-228,-228
2015-07-28,2,2015,,-2526,-3620,11148,,,-8202,-2553,0.43,-8202.0,33519,,-2942,-3123.0,73009,2015年第2季,178109,169907,178902,170700,207042,4586,965601,1751975,786374,786374,579332,406682,,,0.43,99641,178109,211628,,,0.0,,,-793,-793
2015-10-21,3,2015,,82744,27362,7979,,,111403,24523,0.43,111403.0,40531,,-11505,4136.0,61596,2015年第3季,167861,279264,168460,279863,184556,23836,809898,1590807,780909,780909,596353,422422,,,0.43,112335,167861,208392,,,0.0,1590807.0,1590807.0,-599,-599
2016-03-11,4,2015,-13128.0,72465,17021,64591,,,66903,5547,1.26,80031.0,110110,,-40737,2019.0,557261,2015年度,458000,524903,460704,527607,527235,40875,3438949,6577815,3138866,3138866,2611631,1616001,-15817.0,,1.25,438369,458000,568110,-2689.0,,0.0,,6577815.0,-2704,-2704
2016-04-22,1,2016,,-15218,-7474,4985,,,-20111,-4935,0.3,-20111.0,11433,,-6407,42.0,76423,2016年01月01日至2016年03月31日,73747,53636,74733,54622,94076,-8896,829899,1543657,713758,713758,619682,415170,,,0.3,128089,73747,85180,,,,,,-986,-986
2016-07-22,2,2016,,-28025,-10974,10299,,,-33878,-5166,0.51,-33878.0,22970,,-6072,-687.0,80288,2016年第2季,125300,91422,124684,90806,155017,-6747,1063482,1814235,750753,750753,595736,416623,,,0.51,98825,125300,148270,,,,,,616,616
2016-10-25,3,2016,,24153,-15351,8389,,,3580,-19820,0.21,3580.0,19063,,-11612,-753.0,82438,2016年第3季,50106,53686,50125,53705,87743,-18574,860193,1539401,679208,679208,591465,391623,,,0.2,117404,50106,69169,,,,1539401.0,1539401.0,-19,-19
