date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資利益之份額,採用權益法認列之關聯企業及合資損失之份額,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,遞延所得稅費用（利益）,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,46809.0,-3880,29901,124563,123405.0,65409,1158.0,28268.0,69289,0.0,78242.0,0.0,,1131,13543.0,0.0,13543,,2013年01月01日至2013年03月31日,685,66094,-448,63249,-137923,139739,2790853,2984439,193586,193586,331509,11843,,,0.0,319666.0,685,1816,,,0.0,1280.0,0.0,,28268,0.0,252.0,,2790853.0,2790853,14738.0,3001685.0,3001685.0,2984439,2508.0,1133,2845
2013-08-13,2,2013,,8613.0,-6987,-6334,105172,103401.0,20889,1771.0,,27876,0.32,4874.0,,,-694,,,4136,,2013年04月01日至2013年06月30日,196272,217161,183913,204121,121005,74573,2922050,3402645,480595,480595,359590,10111,,,0.32,349479.0,196272,195578,,,0.0,1994.0,26.0,,28401,0.0,627.0,-694.0,,2922050,21885.0,,3427750.0,3402645,3220.0,12359,13040
2013-11-12,3,2013,,3299.0,1309,-40674,90216,88894.0,-20323,1322.0,,-21632,0.11,0.0,36499.0,,-290,,,-1011,,2013年07月01日至2013年09月30日,66376,46053,63141,43431,49027,17059,3273653,3692146,418493,418493,369466,7671,,,0.11,361795.0,66376,66086,,,,841.0,0.0,527.0,31472,492.0,,,,3273653,16225.0,,3731013.0,3692146,22642.0,3235,2622
2014-03-18,4,2013,,,-1879,5700,433307,,85611,,,108863,0.44,,,,26875,,,7357,1369328.0,2013年01月01日至2013年12月31日,259147,344758,248671,333342,-40639,326661,11904566,13277901,1373335,1373335,1413974,44646,,-21373.0,0.44,,259147,286022,,,,,,,119703,,,,,11904566,76150.0,,13392659.0,13277901,38608.0,10476,11416
2014-05-08,1,2014,,,5359,38778,55072,,32135,,,26776,-0.1,,,,-334,,,-6153,334701.0,2014年01月01日至2014年03月31日,-59324,-27189,-57400,-26570,-116489,56831,2467694,2696534,228840,228840,345329,10628,,,-0.1,,-59324,-59658,,,,,,,30866,,,,,2467694,19245.0,,2716213.0,2696534,434.0,-1924,-619
2014-08-07,2,2014,,,5729,-88446,102110,,-46529,,,-48555,0.14,,,,-4458,,,25,354454,2014年第2季,78706,32177,77456,32230,87448,-13200,3004145,3456667,452522,452522,365074,10620,,,0.14,,78706,74248,3703,,,,,,26889,,,,,3004145,28340,,3492688,3456667,7681,1250,-53
2014-11-06,3,2014,,,-19603,36877,80309,,30365,,,46265,0.39,,,,4938,,,3553,393874,2014年第3季,222307,252672,220737,250389,132252,94993,3295110,3831185,536075,536075,403823,9949,,,0.39,,222307,227245,-3703,,,,,,25746,,,,,3295110,21239,,3864504,3831185,12080,1570,2283
2015-03-20,4,2014,,,-3208,44525,317582,,122213,,,146414,0.9,,,,12105,,,9279,1541515.0,2014年度,513208,635421,512356,628110,262791,262522,12022167,13875993,1853826,1853826,1591035,49520,,-20993.0,0.9,,513208,525313,,,,,,,108864,,,,,12022167,76264.0,,13977124.0,13875993,24867.0,852,7311
2015-05-07,1,2015,,,1440,-67469,80838,,-39318,,,-40758,0.26,,,-39318.0,24357,,,9022,379812.0,2015年01月01日至2015年03月31日,142815,103497,149040,109944,167295,-123,2872288,3429315,557027,557027,389732,9920,,,0.26,,142815,167172,,,,,,,22514,,,,,2872288,5455.0,,3436088.0,3429315,1318.0,-6225,-6447
2015-08-06,2,2015,,,-13096,-124574,52987,,-37003,,,-23907,-0.08,,,-37003.0,-4982,,,11184,346919.0,2015年第2季,-47612,-84615,-44711,-80746,28939,-81533,2654766,3041054,386288,386288,357349,10430,,,-0.08,,-47612,-52594,,0.0,,,,,21130,,,,,2654766,18935.0,,3064296.0,3041054,4307.0,-2901,-3869
