date,season,year,不重分類至損益之項目總額,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,-2959900,71751,48811,-2776355,113966,0.3,0.3,,101998,69579.0,2226,,412993,2013年01月01日至2013年03月31日,525971,-2250384,508309,-2256566,559561,68408,10545422,11703212,1157790,1157790,598229,13633,,171603,525971,627969,54380,17662,6182
2013-08-09,2,2013,,,-1998,40266,59199,20949,36055,0.4,0.4,,148894,-13108.0,79853,,453752,2013年04月01日至2013年06月30日,689174,710123,676380,676632,714076,123992,11285619,12674976,1389357,1389357,675281,10898,,210631,689174,838068,55326,12794,33491
2013-11-08,3,2013,,,378632,-33307,200730,187477,-57646,0.28,0.28,,95475,-133509.0,184812,,421959,2013年07月01日至2013年09月30日,439333,626810,462774,638036,236842,297966,10707156,11572619,865463,865463,628621,12510,,194152,439333,534808,54269,-23441,-11226
2014-03-21,4,2013,,,-1101495,259046,319315,-947539,164919,1.27,1.27,,482956,-10963.0,279162,,1735661,2013年01月01日至2013年12月31日,2176976,1229437,2129053,1181234,2018290,641642,42892654,47461892,4569238,4569238,2550948,48399,,766888,2176976,2659932,215881,47923,48203
2014-05-12,1,2014,,,-1702758,28168,58100,-1492651,79896,0.32,0.32,,140294,130211.0,-1310,,429071,2014年01月01日至2014年03月31日,590514,-902137,540929,-950668,702104,28704,10576897,11926770,1349873,1349873,647769,13191,,205507,590514,730808,56254,49585,48531
2014-08-08,2,2014,,,781836,-101722,43039,469652,-149240,0.44,0.44,,35967,-162944.0,70319,,509981,2014年第2季,812822,1282474,743428,1197938,890071,-41282,11428773,13081901,1653128,1653128,763057,11752,,241324,812822,848789,52918,69394,84536
2014-11-07,3,2014,,-0.04,-1805078,41630,1037641,-1560003,216084,0.94,0.98,,88232,28991.0,129237,,490000,2014年第3季,1645339,85336,1577785,25148,577546,1156025,10508588,11820926,1312338,1312338,734792,11573,,233219,1645339,1733571,52483,67554,60188
2015-03-20,4,2014,,-0.18,-4268475,59883,1197173,-3790273,464689,2.09,2.27,,352290,13513.0,230208,,1893970,2014年度,3819649,29376,3518374,-283212,2896544,1275395,42451350,48191112,5739762,5739762,2843218,50326,,898922,3819649,4171939,211869,301275,312588
2015-05-05,1,2015,,-0.06,-9568,-111975,126336,-154462,-105111,0.31,0.37,-154462.0,164726,,2044,-39783.0,438804,2015年第1季,615954,461492,517351,354007,811189,-30509,9534764,11029926,1495162,1495162,683973,12568,,232601,615954,780680,46914,98603,107485
2015-08-07,2,2015,,-0.05,3438888,-295936,88644,3296633,-86986,0.41,0.46,3296633.0,227343,,109252,-55269.0,502981,2015年第2季,769039,4065672,687343,3994396,1141638,-145256,9696288,11596003,1899715,1899715,758077,12539,,242557,769039,996382,47216,81696,71276
2015-11-06,3,2015,,-0.06,-744325,92237,441073,-116665,541501,0.61,0.67,-116665.0,105979,,151439,86159.0,432659,2015年第3季,1121975,1005310,1019150,923792,592033,635921,8993139,10265621,1272482,1272482,680449,13136,,234654,1121975,1227954,48828,102825,81518
2016-03-16,4,2015,-197495.0,-0.24,3168512,-352197,653564,3222562,270933,1.68,1.92,3420057.0,537345,,317782,-19388.0,1836218,2015年度,3223952,6446514,2828679,6057275,3332500,428797,36732939,42872570,6139631,6139631,2807131,52197,-197495.0,918716,3223952,3761297,190352,395273,389239
2016-05-06,1,2016,,0.0,5115320,-62712,49531,4818759,-253636,0.38,0.38,4818759.0,219969,,27664,-42925.0,417705,2016年01月01日至2016年03月31日,730154,5548913,643592,5431714,982751,-32628,8743301,10429595,1686294,1686294,703543,13020,,272818,730154,950123,47111,86562,117199
2016-08-05,2,2016,,0.0,-1879069,-261580,79776,-1958428,-71063,0.26,0.26,-1958428.0,186816,,106508,-8296.0,449202,2016年第2季,508713,-1449715,434772,-1522080,815909,-120380,8813310,10363144,1549834,1549834,733925,14281,,270442,508713,695529,45084,73941,72365
2016-11-04,3,2016,,-0.06,2535457,-109876,1723113,2106319,-366781,1.21,1.27,2106319.0,114419,,174565,-62357.0,408657,2016年第3季,2138876,4245195,2036439,4135695,508598,1744697,8423727,9532720,1108993,1108993,600395,12818,,178920,2138876,2253295,43105,102437,109500
