date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,壞帳轉回利益,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,減損迴轉利益合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,租金收入,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,金融資產減損損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,268.0,,6859,40101,17296.0,292794,15384.0,57990.0,292794,1.17,,22171.0,0.0,,56644,,216852,2013年01月01日至2013年03月31日,361003,653797,290637,527057,,,428677,-11030,4035094,4876692,841598,841598,412921,0.0,7421.0,1.15,196069,361003,417647,,0.0,,437.0,,,57990,0.0,15481.0,,15384.0,,4035094,65034.0,4941845.0,4876692,119.0,70366,126740
2013-08-09,2,2013,,8319.0,,173554,61473,14164.0,152902,15995.0,56643.0,152902,0.93,22596.0,29991.0,,,121267,,221062,2013年04月01日至2013年06月30日,404336,557238,230789,351272,3735.0,,347219,178384,4168143,5003436,835293,835293,488074,0.0,8718.0,0.91,267012,404336,525603,,0.0,,161551.0,,,56643,-5934.0,,,,,4168143,,,5003436,,173547,205966
2013-11-11,3,2013,,1102.0,,-51545,48841,26944.0,-105742,13699.0,57529.0,-105742,1.16,0.0,-13474.0,,,71007,,238164,2013年07月01日至2013年09月30日,352284,246542,293597,210458,3318.0,,483524,-60233,4618314,5559183,940869,940869,457345,0.0,8198.0,1.15,219181,352284,423291,,0.0,,-34444.0,,,57529,793.0,,3318.0,,,4618314,104806.0,5673562.0,5559183,9573.0,58687,36084
2014-03-18,4,2013,,,,108739,194423,,523770,,,523770,4.46,,,,,333457,,894029,2013年01月01日至2013年12月31日,1531058,2054828,1149534,1568890,,,1793303,71212,17368558,20936485,3567927,3567927,1774624,0,,4.34,880595,1531058,1864515,,0,,,,,231950,,,,,,17368558,386832,21343336,20936485,20019,381524,485938
2014-05-14,1,2014,,,,-40745,51204,,-31270,,,-31270,1.13,,,,,54310,,251341,2014年01月01日至2014年03月31日,358427,327157,305215,280927,,,458964,-46227,4552624,5458823,906199,906199,447235,,,1.1,195894,358427,412737,,0.0,,,,,56686,,,,,,4552624,149231.0,5617128.0,5458823,9074.0,53212,46230
2014-08-12,2,2014,,,588.0,11722,55625,,-201955,,,-202543,1.43,,,,,131424,,289796,2014年第2季,455739,253784,388846,226681,,,574250,12913,4838549,5961480,1122931,1122931,548681,,,1.41,258885,455739,587163,,0.0,,,,,54434,,,,,,4838549,136176.0,6100894.0,5961480,3238.0,66893,27103
2014-11-12,3,2014,,11916.0,1918.0,-12069,55311,19868.0,279739,26345.0,49378.0,277821,1.89,0.0,13015.0,,,136161,,310583,2014年第3季,587953,867692,513615,737183,0.0,,730250,-6136,5111301,6387629,1276328,1276328,546078,,9098.0,1.87,235495,587953,724114,,0.0,,-12875.0,,,49378,-293.0,,,,5111301.0,5111301,125354.0,6513511.0,6387629,528.0,74338,130509
2015-03-20,4,2014,,23900.0,,-54939,202966,44863.0,422439,118023.0,207879.0,422439,5.82,,42813.0,,,449005,,1124286,2014年度,1833595,2256034,1579156,1920311,2142.0,,2342452,-59852,19492805,23868584,4375779,4375779,2033327,,40080.0,5.7,909041,1833595,2282600,,0.0,,0.0,23087.0,0.0,207879,0.0,48623.0,2142.0,,,19492805,521080.0,24419240.0,23868584,29576.0,254439,335723
2015-05-13,1,2015,,7447.0,,38397,61364,24507.0,-114907,26012.0,47056.0,-114907,1.2,,36681.0,0.0,-114907.0,83998,,251939,2015年01月01日至2015年03月31日,355092,240185,326730,233714,546.0,,386385,52705,4814932,5653711,838779,838779,452394,,10845.0,1.18,200455,355092,439090,,,,473.0,,,47056,9236.0,,,,4814932.0,4814932,83229.0,5745235.0,5653711,8295.0,28362,6471
2015-08-12,2,2015,,-5339.0,0.0,38035,56461,12833.0,-172487,33120.0,44734.0,-172487,0.86,,36943.0,,-172487.0,145841,,213875,2015年第2季,266023,93536,233441,95184,4704.0,,362102,49762,4402486,5210470,807984,807984,445882,,10508.0,0.84,232007,266023,411864,,,0.0,,6609.0,,44734,7066.0,,,,4402486.0,4402486,85495.0,5297684.0,5210470,1719.0,32582,-1648
