date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-05-15,4,2013,,,,7495,237777,144875,144875,40.72,40.72,,301891,0,510864,2013年01月01日至2013年12月31日,2304270,2449145,2348301,2468871,2892176,-286015,73763219,80328829,6565610,6565610,3673434,890967,,,2271603,2304270,2606161,531287,-44031,-19726
2015-02-26,4,2014,,,,61011,282584,272944,272944,4.81,4.81,,279025,-49779,430981,2014年度,1335272,1608216,1335272,1608216,1803635,-189338,70272560,75963195,5690635,5690635,3887000,1013325,4.75,4.75,2442694,1335272,1614297,483154,0,0
2015-05-11,1,2015,,,,207433,90960,-68464,-68464,0.13,0.13,-68464,16231,-13180,101976,2015年01月01日至2015年03月31日,37360,-31104,37360,-31104,-172652,226243,14448341,15221217,772876,772876,945528,246761,0.13,0.13,596791,37360,53591,58970,0,0
2015-07-30,2,2015,,,-1815,136562,66204,-86180,-84365,0.34,0.34,-86180,-11898,0,80306,2015年第2季,97959,11779,97959,11779,-30557,116618,12980178,13915304,935126,935126,965683,305971,0.34,0.34,579406,97959,86061,86148,0,0
2015-11-09,3,2015,,,1815,-188606,16290,433760,431945,3.11,3.11,433760,200463,0,151035,2015年第3季,956156,1389916,956156,1389916,1424796,-268177,24210860,27032820,2821960,2821960,1397164,435290,3.08,3.08,810839,956156,1156619,95861,0,0
2016-03-07,4,2015,,,,118203,261382,97138,97138,7.44,7.44,97138,522316,-13180,523845,2015年度,2211397,2308535,2211397,2308535,2755432,-21719,85809482,93678500,7869018,7869018,5113586,1563522,7.36,7.36,3026219,2211397,2733713,388124,,
2016-05-06,1,2016,-235290,-235290,,9002,26057,-182006,53284,1.14,1.14,53284,54148,0,125232,2016年01月01日至2016年03月31日,353054,171048,353054,171048,491137,-83935,17902191,19592953,1690762,1690762,1199625,311157,1.13,1.13,763236,353054,407202,118994,,
2016-08-10,2,2016,53326,53326,0,128818,226612,-199117,-252443,-0.20,-0.20,-252443,-54521,0,67675,2016年第2季,-61510,-260627,-61510,-260627,-379705,263674,9842770,10283463,440693,440693,820398,226141,-0.20,-0.20,526582,-61510,-116031,91756,,
2016-11-11,3,2016,-329564,-329564,0,-11492,139675,-311480,18084,3.20,3.20,18084,217262,0,181791,2016年第3季,987196,675716,987196,675716,1151631,52827,17467532,19862181,2394649,2394649,1243018,411727,3.18,3.18,649500,987196,1204458,75356,,
