date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-13,1,2013,,193978,234736,1021029,1719752,1525774,0.75,0.75,,1242344,,,465340,,22077547,2013年01月01日至2013年03月31日,5739800,7459552,3639790,5063518,5759096,1223048,71828145,104634790,32806645,32806645,27047549,220610,,,0.74,0.74,4749392,5739800,6982144,,,,498057,2100010,2396034
2013-08-12,2,2013,,-276964,816495,1578128,451431,728395,0.59,0.59,,1677596,,,475319,,23416959,2013年04月01日至2013年06月30日,5108511,5559942,2866080,3335627,4418954,2367153,73005784,106544867,33539083,33539083,29120129,225017,,,0.59,0.59,5478153,5108511,6786107,,,,502789,2242431,2224315
2013-11-12,3,2013,,-1207234,1022591,1597917,-1608328,-401094,0.87,0.87,,1116610,,,654872,,24046769,2013年07月01日至2013年09月30日,6519034,4910706,4460268,2976869,4896890,2738754,79072813,114348014,35275201,35275201,30378311,234680,,,0.86,0.86,6096862,6519034,7635644,,,,536626,2058766,1933837
2014-03-28,4,2013,,-233213,1410380,5660721,2865308,3163881,2.48,2.48,,4542199,,190083.0,2205913,,90958402,2013年01月01日至2013年12月31日,20739962,23605270,12764241,14601200,18087585,7194576,292198739,423056211,130857472,130857472,112769887,955973,,-295494.0,2.47,2.47,20855512,20739962,25282161,,-40051.0,,2082438,7975721,9004070
2014-05-12,1,2014,,-273363,761074,1190448,-631163,-450024,0.81,0.81,,1180835,,92224.0,852161,,22554852,2014年01月01日至2014年03月31日,6536262,5905099,4161367,4039305,5526844,2190253,74481789,108631630,34149841,34149841,28622997,240423,,,0.8,0.8,5827722,6536262,7717097,,,,613430,2374895,1865794
2014-08-11,2,2014,,44972,-332562,1288063,-1212019,-1233874,0.6,0.6,,1297671,,-23117.0,679271,,22988401,2014年第2季,4868196,3656177,3097006,2061845,5147656,1018211,71740730,105823040,34082310,34082310,28934654,289306,,,0.6,0.6,5656947,4868196,6165867,,,,616561,1771190,1594332
2014-11-11,3,2014,,-62561,-981017,1058053,1732198,1784499,0.35,0.35,,1188371,,10260.0,449300,,25180421,2014年第3季,3541025,5273223,1939233,3311471,4735844,-6448,77181440,112818727,35637287,35637287,30901443,269822,,,0.35,0.35,5451200,3541025,4729396,,,,532784,1601792,1961752
2015-03-26,4,2014,,747656,-554224,4973012,2798736,2188766,2.04,2.04,,4548633,,-9140.0,2452657,,91543431,2014年度,17713181,20511917,11122830,13563132,17775203,4486611,293188184,425187182,131998998,131998998,114223795,1030086,,-158754.0,2.03,2.03,21650278,17713181,22261814,,-30208.0,,2384834,6590351,6948785
2015-05-12,1,2015,,-204005,410471,1161732,-810146,-702395,0.79,0.79,-810146.0,1752853,,,1117519,96254.0,22712282,2015年第1季,6616277,5806131,4299459,3641583,6277894,2091236,70402856,104940238,34537382,34537382,28259488,234184,,,0.78,0.78,5313022,6616277,8369130,,,,598486,2316818,2164548
2015-08-11,2,2015,,-1067151,-24557,1943566,-2240247,-1117531,0.81,0.81,-2240247.0,1959784,,,1319590,-55565.0,23996935,2015年第2季,6919546,4679299,4427878,2940713,6254269,2625061,69097118,105025069,35927951,35927951,29673682,249846,,,0.81,0.81,5426901,6919546,8879330,,,,613538,2491668,1738586
