date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,停業單位損益合計,共同控制下前手權益（淨利／損）,共同控制下前手權益（綜合損益）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,廉價購買利益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,金融資產重分類淨損益,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,除列按攤銷後成本衡量金融資產淨損益,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-04-26,1,2013,,,,,,1031,11903,11903,4006,1263,-0.14,-0.14,,,7929,,,2743.0,585.0,63678,2013年01月01日至2013年03月31日,-28978,-24972,,-28978,-24972,-34560,13511,164439,280663,116224,116224,150784,58135,,-0.14,-0.14,28971,-28978,-21049,,,8,,,,164439,,280663.0,280663,,,0
2013-08-08,2,2013,,,,,,1316,15025,15025,1584,1110,-0.27,-0.27,,,7219,,,474.0,-4180.0,78876,2013年04月01日至2013年06月30日,-55869,-54285,,-55869,-54285,-60798,12148,154557,256453,101896,101896,162694,58774,,-0.27,-0.27,25044,-55869,-48650,,,13,,,,154557,,256453.0,256453,,,0
2013-11-07,3,2013,,,,,,-5686,33048,12825,-2212,-376,-0.09,-0.09,20223.0,,5019,,,-1836.0,-3051.0,62394,2013年07月01日至2013年09月30日,-17575,-19787,,-17575,-19787,-36862,24306,160881,262206,101325,101325,138187,51713,,-0.09,-0.09,24080,-17575,-12556,,,5,,,,160881,,262206.0,262206,,,0
2014-03-26,4,2013,,,,,,-3789,70564,50341,3762,2122,-0.84,-0.84,20223.0,,19649,,,1640.0,-21657.0,272408,2013年01月01日至2013年12月31日,-170737,-166975,,-170737,-166975,-196179,45091,659271,1059911,400640,400640,596819,223968,,-0.84,-0.84,100443,-170737,-151088,,,27,,,,659271,,1059911.0,1059911,,,0
2014-05-06,1,2014,,,,,,8227,9180,9180,4445,1463,-0.11,-0.11,,,1041,,,2982.0,1615.0,58590,2014年01月01日至2014年03月31日,-22253,-17808,,-22253,-17808,-40232,19020,142541,239410,96869,96869,137101,57285,,-0.11,-0.11,21226,-22253,-21212,,,2,,,,142541,,239410.0,239410,,,0
2014-08-13,2,2014,,,,,,-9553,8332,8332,-3403,-830,-0.16,-0.16,,,-2917,,,-2573.0,15033.0,51542,2014年第2季,-31095,-34498,,-31095,-34498,-47783,13771,116124,194643,78519,78519,126302,51983,,-0.16,-0.16,22777,-31095,-34012,,,41,,,,116124,,194643.0,194643,,,0
2014-11-14,3,2014,,,,,,-1141,8138,8138,3456,1124,-0.21,-0.21,0.0,,-1235,,,2332.0,5474.0,55379,2014年第3季,-41526,-38070,,-41526,-38070,-55232,12471,115837,186331,70494,70494,125726,50266,,-0.21,-0.21,20081,-41526,-42761,,,0,,,,115837,,186331.0,186331,,,0
2015-03-10,4,2014,,,,,,2909,33214,33214,10590,2499,-0.75,-0.75,0.0,,-1546,,,8091.0,9233.0,221248,2014年度,-148309,-137719,,-148309,-137719,-195126,45271,485913,812588,326675,326675,521801,212316,,-0.75,-0.75,88237,-148309,-149855,,,85,,,,485913,,812588.0,812588,,,0
2015-05-05,1,2015,0.0,0.0,,,,-17944,9397,9397,1940,1940,-0.42,-0.42,,1940.0,-1797,0.0,0.0,,,185888,2015年第1季,-104750,-102810,0.0,-82488,-80593,-97999,-8548,273868,508736,234868,234868,332867,109868,0.0,-0.42,-0.42,37111,-104750,-106547,0.0,0.0,1,0.0,,,273868,,508736.0,508736,,-22262.0,-22217
2015-08-11,2,2015,,,0.0,0.0,,363,9617,9617,-5952,-5952,-0.35,-0.35,,-5952.0,-2450,,,,0.0,183962,2015年第2季,-69055,-75007,,-69656,-72726,-81465,9960,298241,548186,249945,249945,331410,111513,,-0.35,-0.35,35935,-69055,-71505,,,20,,0.0,298241.0,298241,,,548186,0.0,601.0,-2281
