date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,佣金支出,保全費,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他營業收入,其他營業收入淨額,其他綜合損益（淨額）,其他費損,利息收入合計,利息費用,加工成本,加工收入,加工收入淨額,勞務成本合計,勞務收入,勞務收入合計,勞務收入淨額,呆帳損失,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,委託研究費,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,折舊及折耗,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,漁業作業費用,漁貨銷售費用,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用,研究發展費用合計,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,網路服務費,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,處分投資利益,處分投資損失,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,進出口費用,遞延所得稅費用（利益）,金融資產減損損失,銀行存款利息,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額
2013-08-07,2,2013,,,11,0,0,-2138,1484,137,-27,2330,2330,15470,27,1347,,2254,4360,4360,2254,0,4360,0,0,15470,1.31,,0,1214,0,,4387,2265,1613,2013年04月01日至2013年06月30日,,56214,71684,56214,71684,,0,0,61255,-654,315019,425249,110230,110230,48948,958,0,26188,1.30,,21147,0,56214,60601,,,,,0,913,0,3429,,1347,312765,312765,418559,418559,418559
2013-11-04,3,2013,,,8,,,-75,1373,357,-52,,,-8925,,1016,,,,,,,,,,-8925,1.34,1.34,0,1766,,,3508,,2218,2013年07月01日至2013年09月30日,,57612,48687,57612,48687,,,,59822,1298,349894,459135,109241,109241,49367,949,,26133,1.33,1.33,21016,,57612,61120,,0,,,1699,0,,2559,,1016,,,,,
2014-03-07,4,2013,,,19,,,-6731,6728,1482,-219,,,48587,,5246,,,,,,,,,,48587,4.50,4.50,0,10459,,,9942,,6499,2013年01月01日至2013年12月31日,,197066,245653,197066,245653,,,,207011,-3,1290118,1702888,412770,412770,205540,682,,102267,4.49,4.49,96774,,197066,207008,,0,,,3747,,,9260,,5246,,1290118,,1702888,1702888
2014-05-06,1,2014,,,0,,,-10973,6668,640,-37,,,23598,,6028,,,,,,,,,,23598,1.00,1.00,,1572,,,2332,,1463,2014年01月01日至2014年03月31日,,49134,72732,49134,72732,,,,55771,-4305,294203,392610,98407,98407,42599,597,,19155,1.00,1.00,21981,,49134,51466,,,,,0,9401,,1735,,6028,,294203,,392610,392610
2014-08-05,2,2014,,,0,,,2559,7703,389,-136,,,-28700,,7314,,,,,,,,,,-28700,1.31,1.31,804,0,,,1847,,1366,2014年第2季,,66355,37655,66355,37655,,,,57940,10262,333629,436592,102963,102963,44887,748,,22985,1.31,1.31,20536,,66355,68202,,,,,1755,0,,1099,,7314,,333629,,436592,436592
2014-11-12,3,2014,,,0,,,-3207,9506,2091,-61,,,25187,,7415,,,,,,,,,,25187,1.30,1.30,,1170,,,3307,,990,2014年第3季,,65758,90945,65758,90945,,,,62766,6299,352813,462155,109342,109342,46515,1280,,24819,1.30,1.30,20706,,65758,69065,,263,,,0,2300,,2027,,7415,,352813,,462155,462155
2015-03-20,4,2014,,,2,,,-9750,30134,3445,447,,,77227,,26689,,,,,,,,,,77227,5.00,5.00,,3233,,,1846,,4888,2014年度,,252682,329909,252682,329909,,,,234144,20384,1361274,1779934,418660,418660,184963,-3216,,95355,5.00,5.00,84720,,252682,254528,,731,,,0,7246,,5062,,26689,,1361274,,1779934,1779934
2015-04-27,1,2015,-17254,-17254,44,,,5442,7612,1825,-2,,,-19080,,5787,,,,,,,,,,-1826,1.41,1.41,140,0,,-1826,1155,,1298,2015年01月01日至2015年03月31日,816,71300,52220,71300,52220,,,,59401,13054,346226,454096,107870,107870,48467,,,23907,1.41,1.41,23262,,71300,72455,,1045,,,4301,0,,339,,5787,,346226,,454096,454096
2015-08-07,2,2015,-20197,-20197,9,,,9537,7250,1013,-39,,,-13684,,6237,,,,,,,,,,6513,0.96,0.96,0,1323,,6513,-129,,1628,2015年第2季,-33,50957,37273,50957,37273,,,,34041,16787,283317,365897,82580,82580,48500,,,25201,0.96,0.96,21671,,50957,50828,,19747,,,0,8878,,-96,,6237,,283317,,365897,365897
2015-11-04,3,2015,87744,87744,62,,,129,7023,3268,-33,,,40911,,3350,,,,,,,,,,-46833,1.26,1.26,12501,0,,-46833,1389,,1110,2015年第3季,736,66095,107006,66095,107006,,,,60332,7152,316375,429862,113487,113487,53122,,,31246,1.26,1.26,20766,,66095,67484,405,0,3977,,,8333,,653,,3350,,316375,,429862,429862
2016-03-10,4,2015,49261,49261,153,,,22305,26372,7635,1,,,-11773,,18332,,,,,,,,,,-61034,5.11,5.11,17065,0,,-61034,-1676,,5086,2015年度,-2446,267531,255758,267531,255758,,,,217178,48677,1297771,1728086,430315,430315,213138,,,119686,5.10,5.10,88366,,267531,265855,405,13792,,,,8399,,770,,18332,,1297771,,1728086,1728086
2016-04-22,1,2016,-30240,-30240,156,,,-4684,5799,2922,-126,,,-22474,,2877,,,,,,,,,,7766,1.48,1.48,1137,,,7766,-6155,,1449,2016年01月01日至2016年03月31日,-1324,75716,53242,75716,53242,,,,68446,1115,335206,463145,127939,127939,59367,,,36815,1.47,1.47,21103,,75716,69561,,27,,,0,5692,,-4831,,2877,,335206,,463145,463145
2016-08-05,2,2016,6316,6316,80,,,5872,2914,274,-200,,,-18303,,2640,,,,,,,,,,-24619,1.51,1.51,5957,0,,-24619,1056,,1551,2016年第2季,-1210,82471,64168,82471,64168,,,,74741,8786,329510,467349,137839,137839,62898,,,39432,1.50,1.50,21915,,82471,83527,,642,,,,647,,2266,,2640,,329510,,467349,467349
2016-11-07,3,2016,-39026,-39026,78,,,2394,5608,1256,-71,,,-40437,,4060,180,,,,,,,,,-1411,1.17,1.17,0,4286,,-1411,1655,,1580,2016年第3季,176,64262,23825,64262,23825,402,,,58095,7822,310906,432595,121689,121689,63523,,,39282,1.16,1.16,22661,,64262,65917,292,0,7049,180,14209,0,,1479,402,4060,,310906,,432595,432595
