date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他營業成本,其他營業收入淨額,其他綜合損益（淨額）,利息收入合計,利息費用,勞務成本合計,勞務收入合計,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之權益工具投資利益(損失),推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,處分不動產、廠房及設備損失,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,重估增值,銷貨成本合計,銷貨折讓,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-10,1,2013,,,5011.0,-5433,75624,18130,2037.0,,461.0,5222,178.0,3189.0,,49373,7817,0.16,0.16,6500.0,0.0,,5233,,,2838.0,-4103,,,28808,2013年01月01日至2013年03月31日,33959,39181,,34285,43274,-47270,86462,145084,187500,42416,42416,89686,17774,,,15915.0,0.16,0.16,43104,33959,39192,,,218.0,74023.0,3189,330.0,,,316.0,138138.0,137666,156.0,-326,-4093
2013-08-09,2,2013,,,,16905,25835,17361,17361.0,,,30527,,,,50167,14123,0.01,0.01,,,,8991,,,-501.0,-12475,,,33835,2013年04月01日至2013年06月30日,4499,35026,,3112,34483,-13812,27302,173824,257481,83657,83657,97469,17439,,,,0.01,0.01,46195,4499,13490,,,,,3419,,,173824.0,,,207314,,1387,543
2013-11-13,3,2013,,,,400,18889,17271,17271.0,,,-9929,,,,48325,-10856,-0.16,-0.16,,,,20574,,,527.0,-17603,,,34263,2013年07月01日至2013年09月30日,-33355,-43284,,-34715,-44804,-28661,15880,150895,205782,54887,54887,83548,23468,,,,-0.16,-0.16,25817,-33355,-12781,,,,,2677,,,150895.0,,,157457,,1360,1520
2014-03-26,4,2013,,,,13487,187651,79206,79206.0,,1866.0,42259,,,,206768,16418,0.24,0.24,,,,32593,,,3999.0,-54338,,,129003,2013年01月01日至2013年12月31日,54082,96341,,50875,97149,-113508,200183,640738,877941,237203,237203,350711,77751,,8355.0,,0.24,0.24,143957,54082,86675,,,,,12336,,,,,669307.0,669307,,3207,-808
2014-05-13,1,2014,,,,-644,914,17720,,,436.0,34631,,,,53775,-1222,-0.1,-0.1,,,,4315,,,36497.0,-13140,,,34572,2014年01月01日至2014年03月31日,-21510,13121,,-21539,12483,-19569,2374,171658,244744,73086,73086,92655,19556,,,,-0.1,-0.1,38527,-21510,-17195,,,,,3120,,,,,,190533,,29,638
2014-08-13,2,2014,,,,507,-11026,19553,19553.0,,9775.0,-14281,,,,53834,-4706,0.1,0.1,,,,10099,,,-10082.0,-18690,,,41875,2014年第2季,21996,7715,,22398,8361,46220,-14125,294594,439427,144833,144833,98613,19743,,,,0.1,0.1,36995,21996,32095,,,,,3962,,,294594.0,,,375818,,-402,-646
2014-11-12,3,2014,,,,-621,4121,16308,16308.0,,4066.0,12271,,,,57597,6440,-0.23,-0.23,,,,6996,,,6452.0,-43751,,,36500,2014年第3季,-50901,-38630,,-50386,-38331,-16004,-27901,216754,299094,82340,82340,98344,20565,,,,-0.23,-0.23,41279,-50901,-43905,,,,,4579,,,216754.0,,,237431,,-515,-299
2015-03-17,4,2014,,,,-1599,16298,77992,77992.0,21766.0,27512.0,40879,,,170925.0,239478,7734,-0.35,-0.35,,,,26011,,,33634.0,-97901,,,159440,2014年度,-76001,-35122,,-75087,-34994,-29716,-20274,883639,1245118,361479,361479,391195,85470,,1110.0,,-0.35,-0.35,146285,-76001,-49990,,,,,16663,,,690948.0,,978128.0,978128,,-914,-128
2015-05-08,1,2015,,,,-271,59069,15095,15095.0,10292.0,11470.0,-1326,,,51625.0,67903,76,0.04,0.04,,,-1326.0,379,,,,-18836,-1131.0,,34439,2015年01月01日至2015年03月31日,8063,6737,,8149,6845,-42505,50947,164506,215195,50689,50689,93194,23112,,,,0.04,0.04,35643,8063,8442,,,,,4381,,,102589.0,,135822.0,135822,,-86,-108
2015-08-12,2,2015,0.0,0.0,,1787,105791,14197,14197.0,5454.0,7770.0,-3927,,,69666.0,84368,-5587,0.06,0.06,,,-3927.0,840,0.0,0.0,,-14561,-127.0,0.0,36053,2015年第2季,12260,8333,0.0,12110,8693,-88201,101301,153242,180375,27133,27133,115334,26890,0.0,,,0.06,0.06,52391,12260,13100,0.0,0.0,,,4126,,0.0,78122.0,,,88237,,150,-360
