date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列關聯企業及合資之權益工具投資利益(損失),採用權益法認列關聯企業及合資之確定福利計畫再衡量數,採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,採用權益法認列關聯企業及合資之重估增值,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,28442,,10187,18941,,172103,143661,0.61,0.61,,40672,,,,,,,,65564,2013年01月01日至2013年03月31日,184832,356935,,188253,353087,198851,26653,1595717,1918319,322602,322602,123751,,,,0.61,0.61,58187,184832,225504,,,2475,,1595717,1918319,-3421.0,3848.0
2013-08-06,2,2013,,,-8171,,14215,14990,,55852,64023,0.76,0.76,,85777,,,,,,,,84181,2013年04月01日至2013年06月30日,230012,285864,,231756,288092,289900,25889,1842649,2279134,436485,436485,146585,,,,0.76,0.76,62404,230012,315789,,,3316,,1842649,2279134,-1744.0,-2228.0
2013-10-31,3,2013,,,1635,,19911,11829,,-45623,-47258,0.93,0.93,,77879,,,,,,,,77292,2013年07月01日至2013年09月30日,283458,237835,,283458,237835,333930,27407,1851772,2327383,475611,475611,141681,,,,0.93,0.93,64389,283458,361337,,,4333,,1851772,2327383,0.0,0.0
2014-03-18,4,2013,,,38413,,57700,57796,9275.0,226091,232958,2.88,2.88,,233884,,,,,,,,292556,2013年01月01日至2013年12月31日,873031,1099122,,878196,1097502,1005073,101842,6773278,8321519,1548241,1548241,543168,,,-54555.0,2.88,2.88,250612,873031,1106915,,,13654,,6773278,8321519,-5165.0,1620.0
2014-05-02,1,2014,,,2849,,-9332,11385,,-6375,-9224,0.53,0.53,,31377,,,,,,,,76484,2014年01月01日至2014年03月31日,160231,153856,,160231,153856,194695,-3087,1646582,1978150,331568,331568,136873,4468.0,,,0.52,0.52,55921,160231,191608,,,5140,,1646582,1978150,0.0,0.0
2014-08-05,2,2014,,,32394,,2007,18232,,-47114,-79508,0.64,0.64,,68964,,,,,,,,83772,2014年第2季,194920,147806,,194920,147806,245489,18395,1821831,2215111,393280,393280,147791,8778.0,,,0.64,0.64,55241,194920,263884,,,1844,,1821831,2215111,0.0,0.0
2014-11-04,3,2014,,,-11728,,37427,15499,,93821,105549,0.87,0.87,,58378,,,,,,,,76653,2014年第3季,265287,359108,,265287,359108,274617,49048,1764191,2183753,419562,419562,144945,6880.0,,,0.87,0.87,61412,265287,323665,,,3878,,1764191,2183753,0.0,0.0
2015-03-17,4,2014,,,34648,,42361,62047,831.0,184145,153553,2.56,2.56,,187731,,,,,,,,302819,2014年度,780862,965007,,780862,965007,878204,90389,6598695,8041398,1442703,1442703,564499,25525.0,,-4887.0,2.56,2.56,236155,780862,968593,,,14019,,6598695,8041398,0.0,0.0
2015-05-12,1,2015,0.0,0.0,12712,,4236,11505,,-30727,-43439,0.35,0.35,-30727.0,23454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79918,2015年01月01日至2015年03月31日,105677,74950,0.0,105677,74950,116038,13093,1631617,1894549,262932,262932,146894,6549.0,0.0,,0.35,0.35,60427,105677,129131,0.0,0.0,2648,0.0,1631617,1894549,,
2015-08-06,2,2015,0.0,0.0,-6302,,32386,27134,,-73003,-66701,0.85,0.85,-73003.0,70973,0.0,0.0,,,,,,82000,2015年第2季,260133,187130,0.0,260133,187130,273991,57115,1901298,2326144,424846,424846,150855,8161.0,0.0,,0.85,0.85,60694,260133,331106,0.0,0.0,2405,0.0,1901298,2326144,,
