date,season,year,不重分類至損益之項目總額,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2014-09-26,2,2014,,-12140,32832,-147940,-178382,3.47,,287341,891729,2014年上半年度,877844,729904,869794,721164,1204803,-39618,3882897,6628223,2745326,2745326,1540523,46597,,,3.47,602197,877844,1165185,,-30442,,60310,8050,8740
2015-03-16,4,2014,,-63731,63360,280685,344176,8.48,,458105,1869615,2014年度,1926249,2206934,1905633,2187624,2515381,-131027,8106241,13859143,5752902,5752902,3237521,83853,,-5821,8.48,1284053,1926249,2384354,,57670,,130656,20616,19310
2015-08-05,2,2015,,-13321,22062,-161140,-194352,5.00,-161140,350925,1044787,2015年上半年度,1140333,979193,1136338,974187,1536531,-45273,4290398,7641486,3351088,3351088,1814557,40890,,,5.00,728880,1140333,1491258,,,-33212,54014,3995,5006
2015-11-11,3,2015,,-69341,19207,380661,458889,2.83,380661,228789,562533,2015年第3季,752205,1132866,736794,1118733,1055187,-74193,2460560,4514487,2053927,2053927,998740,24996,,,2.83,411211,752205,980994,,,78228,24059,15411,14133
2016-03-23,4,2015,-10809,-57107,74865,58021,82764,10.09,68830,825374,2189096,2015年度,2671004,2729025,2641366,2697919,3585214,-88836,9354818,16820551,7465733,7465733,3880519,87842,-13022,,10.09,1603581,2671004,3496378,-2213,,13934,106594,29638,31106
2016-05-05,1,2016,,-39398,18321,-184267,-222072,2.16,-184267,168346,555008,2016年01月01日至2016年03月31日,644498,460231,633679,449100,839226,-26382,2200567,4140703,1940136,1940136,1100910,26615,,,2.16,519287,644498,812844,,,-37805,5305,10819,11131
2016-08-05,2,2016,,69875,17045,-175558,-211631,3.50,-175558,336189,641700,2016年第2季,1037337,861779,1026345,850222,1286640,86886,2564804,4944656,2379852,2379852,1093212,26636,,,3.50,424876,1037337,1373526,,,-36073,34,10992,11557
2016-11-08,3,2016,,-30685,13915,-276830,-333450,3.48,-276830,309787,644594,2016年第3季,1031168,754338,1020280,743844,1357758,-16803,2471907,4927947,2456040,2456040,1098282,28541,,,3.48,425147,1031168,1340955,,,-56620,33,10888,10494
