date,season,year,不重分類至損益之其他項目,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,已實現銷貨（損）益,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,指定按公允價值衡量之金融負債信用風險變動影響數,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,未實現銷貨（損）益,本期淨利（淨損）,本期綜合損益總額,權益工具投資之利益（損失）,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,與待出售非流動資產直接相關之權益,財務成本淨額,重估增值,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-08,1,2013,,,,-124212,-313526,414366,2278115,2402972,1.01,,0.0,,1232356,,,-27843,,1956093,2013年01月01日至2013年03月31日,0.0,3452992,5731107,,2305650,4337747,4889785,-204437,205584149,217588402,12004253,12004253,7114468,2719917,,-645.0,1.0,,2438458,3452992,4685348,,,,,277434,,219143871,217588402,1555469,1147342,1393360
2013-08-12,2,2013,,,,53995,377697,704404,1394839,1340199,0.61,,,,916636,,,-8543,,1758240,2013年04月01日至2013年06月30日,,2512677,3907516,,1392576,2517731,2656553,772760,202774431,212226941,9452510,9452510,6795957,2802571,,645.0,0.6,,2235146,2512677,3429313,,,,,300798,,212716032,212226941,489091,1120101,1389785
2013-11-11,3,2013,,,,-33725,1262694,777413,-1011620,-977895,1.08,,,,992121,,,-10287,,2363788,2013年07月01日至2013年09月30日,,3678698,2667078,,2477564,1670849,2921089,1749730,243319116,253977515,10658399,10658399,7737310,3062577,,,0.53,,2310945,3678698,4670819,,,,,280090,,254154607,253977515,177092,1201134,996229
2014-03-24,4,2013,,,-2115150.0,-64975,2115150,2714809,3916721,3969608,4.16,,,,4782625,,,-75586,,6545841,2013年01月01日至2013年12月31日,,14247247,18163968,,9554496,12903831,15576752,3453120,904235309,949752028,45516719,45516719,29939967,11943411,,32318.0,3.74,,11450715,14247247,19029872,,20230.0,,,1301253,,953561313,949752028,3809285,4692751,5260137
2014-05-08,1,2014,,,,116198,-1027962,867376,1714637,1605856,1.18,,0.0,,975883,,,-67265,,1192840,2014年01月01日至2014年03月31日,0.0,3486464,5201101,,2731500,4129416,5066534,-604187,207439384,218736852,11297468,11297468,6230934,2843355,,0.0,1.16,,2194739,3486464,4462347,,7417.0,,,376336,,219705667,218736852,968815,754964,1071685
2014-08-11,2,2014,,,,167634,-2237945,575960,-2048286,-2224932,0.65,,0.0,,1187949,,,-49088,,2085666,2014年第2季,0.0,2483473,435187,,1498392,-156028,5704229,-2032807,199349523,212352358,13002835,13002835,7298606,2752957,,0.0,0.64,,2459983,2483473,3671422,,-9012.0,,,321734,,212822983,212352358,470625,985081,591215
2014-11-10,3,2014,,,,676197,547472,722604,2518317,1840670,2.03,,0.0,,1846613,,,-54281,,2049126,2014年第3季,0.0,6179641,8697958,,4747657,6280907,7068390,957864,221482685,236703286,15220601,15220601,8152211,3229535,,,1.96,,2873550,6179641,8026254,,-1450.0,,,257931,,237159951,236703286,456665,1431984,2417051
2014-11-10,4,2014,,,,397057,-3686996,3038901,6256340,5802814,6.24,,0.0,,7334474,,,-320323,,8534908,2014年度,0.0,18927613,25183953,,14658138,19604022,28320585,-2058498,960283391,1019738833,59455442,59455442,31134857,12335198,,39077.0,6.17,,10264751,18927613,26262087,,-17392.0,,,1090080,,1022705728,1019738833,2966895,4269475,5579931
2015-05-07,1,2015,0.0,0.0,,317476,-139133,731230,-1470184,-1784967,2.48,2.48,0.0,-1470184.0,2120240,0.0,0.0,-13255,,2318894,2015年01月01日至2015年03月31日,0.0,7216780,5746596,0.0,6327870,4981939,8891152,445868,257187422,274262576,17075154,17075154,8184002,3317407,0.0,,2.46,2.46,2547701,7216780,9337020,0.0,,2693.0,0.0,132974,0.0,274759643,274262576,497067,888910,764657
2015-08-10,2,2015,0.0,0.0,,-169061,535057,1222956,-1495239,-1314776,1.82,1.82,0.0,-1495239.0,1542616,0.0,0.0,-10654,,2207903,2015年第2季,0.0,5730633,4235394,0.0,4655693,3551273,5738442,1534807,204024452,217928746,13904294,13904294,8165852,3387711,0.0,,1.8,1.8,2570238,5730633,7273249,0.0,,11402.0,0.0,212552,0.0,218640407,217928746,711661,1074940,684121
2015-11-09,3,2015,0.0,0.0,,-276477,-1487297,589084,3746757,3955573,2.31,2.31,0.0,3746757.0,3119065,0.0,0.0,-19092,,2398569,2015年第3季,0.0,7512363,11259120,0.0,6013775,9217876,11817890,-1186462,288668048,309537681,20869633,20869633,9051743,3861296,0.0,,2.28,2.28,2791878,7512363,10631428,0.0,,-67661.0,0.0,269157,0.0,311841605,309537681,2303924,1498588,2041244
2016-03-17,4,2015,0.0,192.0,,-124493,-2848776,3226051,-1339618,-1191862,9.23,9.23,0.0,-1339810.0,10314155,0.0,0.0,-12854,-24066.0,9646871,2015年度,0.0,28871859,27532241,0.0,23811625,22809542,39674544,-488530,1138437983,1213712976,75274993,75274993,35600449,14673367,1277.0,,9.1,9.1,11280211,28871859,39186014,1085.0,,-611.0,0.0,852951,0.0,1218853846,1213712976,5140870,5060234,4722699
