date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,其他利息收入,其他利益及損失淨額,其他收入合計,其他收入－其他,其他收益及費損淨額,其他綜合損益,其他綜合損益（淨額）,利息收入合計,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,採用權益法認列關聯企業及合資之確定福利計畫再衡量數,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,處分投資利益,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,重估增值,銷貨成本,銷貨成本合計,銷貨收入,銷貨收入合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,185955,1688.0,28329,3832,2144.0,-3140,0.0,194588,1688.0,0.15,0.15,,28803,,8633.0,11451,,,19358,2013年01月01日至2013年03月31日,68743,263331,76656,250867,54123,43423,1352151,1482270,130119,130119,72856,28803.0,,,0.15,0.15,53498,68743,97546,,,,,189,,,,1352151.0,1352151.0,1482270.0,1482270.0,1482270.0,-7913,12464
2013-08-08,2,2013,,,-11900,,-2983,82263,,-1248,,-10253,,0.36,,,26741,,1647.0,18529,,,19388,2013年04月01日至2013年06月30日,180289,170036,177957,170880,109415,97615,1137584,1314488,176904,176904,66241,,,,0.36,,46853,180289,207030,,,,,194,,,,,,,,,2332,-844
2013-11-14,3,2013,,221.0,-7290,,47612,128578,5086.0,-383,,-7894,1415.0,0.52,,,14334,,-604.0,16143,,,18812,2013年07月01日至2013年09月30日,276958,269064,259994,259550,99424,191868,954254,1120856,166602,166602,66795,,,,0.52,,47983,276958,291292,122077.0,,,62367.0,465,0.0,14534.0,,,,,,,16964,9514
2014-03-27,4,2013,,243.0,185040,,97402,220498,14638.0,-5083,,184092,7548.0,1.25,1.25,,91869,,9074.0,66206,,,76942,2013年01月01日至2013年12月31日,628801,812893,624472,789639,337810,382860,4725022,5351448,626426,626426,283533,,,-12075.0,1.24,1.24,206591,628801,720670,198312.0,,-2053.0,101910.0,1246,,4265.0,,,,,,,4329,23254
2014-05-15,1,2014,,15.0,2085,,23233,3980,1909.0,-125,,-1458,2071.0,0.18,0.18,,18308,,-3543.0,22620,,,17979,2014年01月01日至2014年03月31日,89414,87956,91602,80683,58111,49611,1422376,1553553,131177,131177,72941,,,,0.18,0.18,54962,89414,107722,,,,5028.0,222,18220.0,,,,,,,,-2188,7273
2014-08-14,2,2014,,66.0,58243,,38769,105856,2981.0,-459,,61886,2096.0,0.5,,,29499,,3643.0,24694,,,17380,2014年第2季,273943,335829,252326,304730,134331,169111,1145564,1343159,197595,197595,62805,,,,0.5,,45425,273943,303442,100779.0,,,37410.0,208,1425.0,,,,,,,,21617,31099
2014-11-13,3,2014,,465.0,62020,,-6293,107858,5919.0,-278,,64597,2233.0,0.44,,,21907,,2577.0,18405,,,17070,2014年第3季,231097,295694,221547,269163,133384,119620,979328,1180775,201447,201447,67785,,,,0.44,,50715,231097,253004,99706.0,,,0.0,350,-5828.0,0.0,,,,,,,9550,26531
2015-03-19,4,2014,,657.0,95572,,55440,224315,13341.0,-1561,,82591,8664.0,1.31,1.31,,83635,,-2284.0,81096,,,73977,2014年度,688460,771051,656741,713180,412441,359654,4822578,5517446,694868,694868,280866,,,-12888.0,1.31,1.31,206889,688460,772095,202310.0,,-2191.0,44511.0,1197,11586.0,0.0,,,,,,,31719,57871
2015-05-14,1,2015,,9.0,147281,,28816,14413,1921.0,-925,,153070,1770.0,0.2,0.2,153070.0,37722,,,25950,5789.0,,15402,2015年01月01日至2015年03月31日,108139,261209,100060,240548,76911,68950,1103322,1247759,144437,144437,66601,,,,0.2,0.2,51199,108139,145861,10722.0,,,19606.0,229,9219.0,,,,,,,,8079,20661
2015-08-13,2,2015,,42.0,-32305,,-2642,34854,5007.0,70,,-34715,3348.0,0.33,0.33,-34715.0,19815,,,24618,-2410.0,,15948,2015年第2季,182128,147413,163716,125358,145346,56597,832021,1038728,206707,206707,61431,,,,0.33,0.33,45483,182128,201943,26499.0,,,0.0,233,-2600.0,,,,,,,,18412,22055
