date,season,year,不重分類至損益之項目總額,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,採用權益法認列之關聯企業及合資損益之份額淨額,採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,-453,-3674,9098,24328,30455,0.14,0.14,,8347,,-497.0,25537,,198041,2013年01月01日至2013年03月31日,43497,67825,43024,67352,30897,20947,904121,1265278,361157,361157,330260,89588,,,,,42631,43497,51844,,5177.0,,10014,473,473
2013-08-08,2,2013,,-22,1897,19123,7737,9662,0.32,0.32,,11930,,-260.0,23639,,206172,2013年04月01日至2013年06月30日,95317,103054,94848,102585,72245,35002,896353,1286532,390179,390179,317934,76544,,,,,35218,95317,107247,,1643.0,,9657,469,469
2013-11-12,3,2013,,2313,2451,8176,-1737,-9177,0.24,0.24,,17778,,4447.0,14708,,195486,2013年07月01日至2013年09月30日,70653,68916,70388,68129,74736,13695,897060,1291484,394424,394424,319688,87445,,,,,36757,70653,88431,,-680.0,,11640,265,787
2014-03-28,4,2013,,166346,-888,56329,237362,46907,0.81,0.81,,85031,,9028.0,77219,,817960,2013年01月01日至2013年12月31日,241552,478914,240347,476793,235034,91549,3607232,5173846,1566614,1566614,1331580,354560,,31162.0,,,159060,241552,326583,,16081.0,,41111,1205,2121
2014-05-08,1,2014,,-14146,-5326,10974,-11656,2585,0.23,0.23,,19279,,345.0,12896,,207219,2014年01月01日至2014年03月31日,69278,57622,68835,57287,81256,7301,942089,1362421,420332,420332,339076,92584,,,,,39273,69278,88557,,440.0,,11243,443,335
2014-08-14,2,2014,,96180,511,19651,78209,-21113,0.3,0.3,,37300,,-448.0,18239,,200343,2014年第2季,89461,167670,88466,166675,100198,26563,872427,1289792,417365,417365,317167,82858,,,,,33966,89461,126761,,-3590.0,,11838,995,995
2014-11-12,3,2014,,4651,-3908,5506,24255,26487,0.21,0.21,,13177,,-2380.0,7303,,195309,2014年第3季,65032,89287,63903,88592,80667,-2458,875869,1274047,398178,398178,317511,86716,,0.0,,,35486,65032,78209,,4503.0,,11359,1129,695
2015-03-25,4,2014,,157034,85908,58984,194104,52519,1.17,1.17,,82281,,-3865.0,54007,,825974,2014年度,350593,544697,347723,542044,278782,154092,3674620,5297426,1622806,1622806,1344024,362105,,-3199.0,1.17,1.17,155945,350593,432874,,8385.0,,44807,2870,2653
2015-05-13,1,2015,,-98592,-1498,8843,-109249,-12787,0.35,0.35,-109249.0,16393,,,52704,-44.0,223115,2015年01月01日至2015年03月31日,106057,-3192,105489,-3760,72040,50410,981692,1414903,433211,433211,361171,88052,,,,,50004,106057,122450,,,-2174.0,9639,568,568
2015-08-11,2,2015,,12990,-3912,36794,-2937,-17648,0.33,0.33,-2937.0,38986,,,17252,-1279.0,202661,2015年第2季,101296,98359,99341,96404,100015,40267,994641,1410710,416069,416069,316054,73487,,,,,39906,101296,140282,,,-3000.0,9867,1955,1955
2015-11-09,3,2015,,-96465,28617,62162,-58039,48999,0.4,0.4,-58039.0,19498,,,26099,-2243.0,209918,2015年第3季,120974,62935,118829,60790,32833,107639,996179,1370991,374812,374812,341979,84867,,,,,47194,120974,140472,,,8330.0,9239,2145,2145
2016-03-31,4,2015,-22260.0,-158312,-5556,120375,-192923,-14189,1.19,1.19,-170663.0,90378,-264.0,,128082,-575.0,872646,2015年度,359951,167028,353696,161949,245956,204373,4015274,5627644,1612370,1612370,1366414,326669,-26503.0,,,,167099,359951,450329,-4507.0,,-2413.0,38528,6255,5079
2016-05-05,1,2016,,808,3052,7737,-12833,-15833,0.35,0.35,-12833.0,20533,,,24852,-500.0,221214,2016年01月01日至2016年03月31日,107360,94527,103302,90469,101025,26868,1057144,1504568,447424,447424,346399,81032,,,,,44153,107360,127893,,,-2692.0,8773,4058,4058
2016-08-11,2,2016,,-2094,5682,16579,-28148,-30039,0.37,0.37,-28148.0,23259,,,21345,-1121.0,210819,2016年第2季,111480,83332,110197,82049,100201,34538,1030635,1463990,433355,433355,333154,76870,,,,,45465,111480,134739,,,-5106.0,9068,1283,1283
2016-11-08,3,2016,,-2551,9123,9041,-36028,-39943,0.23,0.23,-36028.0,14646,,,16956,-324.0,216298,2016年第3季,67062,31034,67380,31352,56651,25057,986651,1385208,398557,398557,341906,80435,,,,,45173,67062,81708,,,-6790.0,10063,-318,-318
