date,season,year,不重分類至損益之項目總額,停業單位損益合計,停業單位淨利（淨損）,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,採用權益法認列之關聯企業及合資損益之份額淨額,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-07,1,2013,,,,51,15970,870,-1712.0,6142,7803,0.83,0.83,,49148,,-593,178950,2013年01月01日至2013年03月31日,151897,158039,149483,154896,189260,11785,4445397,4873793,428396,428396,239136,11145,,,0.82,0.82,49041,151897,201045,,,4462,4445397,4873793,2414,3143
2013-08-12,2,2013,,,,-179,11099,6190,1714.0,-237,-1772,0.96,0.96,,32954,,-101,166624,2013年04月01日至2013年06月30日,172443,172206,170169,169975,192284,13113,4362381,4773662,411281,411281,218997,12538,,,0.93,0.93,39835,172443,205397,,,4075,4362381,4773662,2274,2231
2013-11-12,3,2013,,,,-19,-24669,7389,232.0,-2061,-2274,0.8,0.8,,34423,,-94,137885,2013年07月01日至2013年09月30日,146490,144429,142916,141287,203865,-22952,4655969,5063970,408001,408001,204136,27787,,,0.79,0.79,38464,146490,180913,,,5578,4655969,5063970,3574,3142
2014-03-23,4,2014,,,,55,30668,16379,-1586.0,4237,10945,3.48,3.48,,140572,,-389,812929,2014年度,637552,641789,622771,625725,752930,25194,18688295,20455178,1766883,1766883,1013953,86585,,-5177.0,3.45,3.45,114439,637552,778124,,,21464,18688295,20455178,14781,16064
2014-03-24,4,2013,,,,-142,15123,15266,-633.0,1836,7030,3.23,3.23,,143603,,-382,649731,2013年01月01日至2013年12月31日,587042,588878,578656,577187,720521,10124,18526350,20164047,1637697,1637697,917176,69418,,-4419.0,3.2,3.2,198027,587042,730645,,,19883,18526350,20164047,8386,11691
2014-05-07,1,2014,,,,35,26347,773,-503.0,3129,3597,0.98,0.98,,29852,,0,157036,2014年01月01日至2014年03月31日,179001,182130,175148,177637,187465,21388,4136489,4548933,412444,412444,224979,17431,,,0.97,0.97,50512,179001,208853,,,5732,4136489,4548933,3853,4493
2014-08-08,2,2014,,,,28,-28252,9400,470.0,-2688,-3186,0.85,0.85,,42102,,-197,183621,2014年第2季,154801,152113,152390,150117,220946,-24043,4764905,5222854,457949,457949,237003,21106,,,0.84,0.84,32276,154801,196903,,,4994,4764905,5222854,2411,1996
2014-11-10,3,2014,,,,-21,3770,2221,-531.0,3079,3631,0.88,0.88,,35642,,-95,180844,2014年第3季,160419,163498,157471,160036,195103,958,4912352,5350806,438454,438454,243351,23950,,,0.88,0.88,38557,160419,196061,,,4938,4912352,5350806,2948,3462
2015-05-07,1,2015,,,,6,-18977,8463,,-1797,-1803,0.78,0.78,-1797.0,31666,,-100,169682,2015年01月01日至2015年03月31日,144315,142518,140002,138453,193111,-17130,3828484,4246062,417578,417578,224467,22978,,,0.77,0.77,31807,144315,175981,,,6516,3828484,4246062,4313,4065
2015-08-11,2,2015,,,,-28,-9324,5674,,-1853,-2250,0.54,0.54,-1853.0,24429,,-104,148502,2015年第2季,101982,100129,97521,95986,137026,-10615,3943452,4283678,340226,340226,203200,25347,,,0.54,0.54,29351,101982,126411,,-425.0,6861,3943452,4283678,4461,4143
2015-11-11,3,2015,,,,-34,58973,252,,8017,9700,1.17,1.17,8017.0,29564,,-101,219219,2015年第3季,215042,223059,208635,215140,192443,52163,4022097,4483139,461042,461042,268599,19807,,,1.16,1.16,29573,215042,244606,,1649.0,6961,4022097,4483139,6407,7919
2016-03-21,4,2015,-3975.0,,,-42,35556,6751,,-678,3853,3.22,3.22,3297.0,118282,,-408,710444,2015年度,597336,596658,576973,575783,701406,14212,16046755,17672243,1625488,1625488,924082,92906,-4788.0,,3.17,3.17,120732,597336,715618,-813.0,514.0,27687,16046755,17672243,20363,20875
2016-05-03,1,2016,,,,0,-24871,224,,-2597,-3129,0.65,0.65,-2597.0,27946,,-105,141040,2016年01月01日至2016年03月31日,122577,119980,117137,114947,182747,-32224,3686945,4063387,376442,376442,193695,21207,,,0.65,0.65,31448,122577,150523,,-532.0,7472,3686945,4063387,5440,5033
2016-08-10,2,2016,,,,4,6432,1251,,-255,-312,0.52,0.52,-255.0,22677,,-111,177823,2016年第2季,100056,99801,93064,92771,121723,1010,4477398,4828415,351017,351017,229294,22146,,,0.52,0.52,29325,100056,122733,,-53.0,6562,4477398,4828415,6992,7030
2016-11-11,3,2016,0.0,0.0,0.0,7,-41933,367,,-3803,-4590,0.5,0.5,-3803.0,23933,0.0,-100,159698,2016年第3季,96145,92342,88982,85778,167508,-47430,4665450,5045475,380025,380025,212517,23206,,,0.49,0.49,29613,96145,120078,,-780.0,5764,4665450,5045475,7163,6564
