date,season,year,不動產、廠房及設備減損損失,不重分類至損益之項目總額,什項支出,佣金支出,備供出售金融資產未實現評價損益,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益（淨額）,利息收入合計,利息費用,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,外幣兌換利益,外幣兌換損失,廣告費,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期所得稅費用（利益）,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,水電瓦斯費,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,當期所得稅費用（利益）,研究發展費用,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,租金收入,稀釋每股盈餘合計,稅捐,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,股利收入,與不重分類之項目相關之所得稅,與其他綜合損益組成部分相關之所得稅,與可能重分類之項目相關之所得稅,處分不動產、廠房及設備利益,處分不動產、廠房及設備損失,處分投資利益,處分投資損失,訓練費,財務成本淨額,透過損益按公允價值衡量之金融資產（負債）利益,透過損益按公允價值衡量之金融資產（負債）損失,進出口費用,運費,金融資產減損損失,銷貨成本,銷貨成本合計,銷貨折讓,銷貨收入,銷貨收入合計,銷貨收入淨額,銷貨退回,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-09,1,2013,,,5411.0,0.0,-431,18743,9951,8106,19451,1040,6547,19882,0.12,23227,0,93,,905,12095,2013年01月01日至2013年03月31日,,16920,36371,16949,36468,748,,-4322,22147,867889,920424,52535,52535,56857,905.0,,2780,,,805,0.11,1805.0,41982,16920,17825,,,,,,6,1070.0,,5.0,6547,,137,2368,923,,867889,867889,478,921580,921580,920424,678,-29,-97
2013-08-12,2,2013,,,0.0,,-2756,-13202,10324,7925,10461,1719,7359,13217,-0.06,2399,0,108,,2233,12506,2013年04月01日至2013年06月30日,,-9267,1194,-9226,1163,478,,3203,-10237,909652,966096,56444,56444,53241,2233.0,,2763,,,680,-0.06,,37972,-9267,-7034,,,,,892.0,0,916.0,0.0,2.0,7359,0.0,17409,2961,1144,,909652,909652,2120,970902,970902,966096,2686,-41,31
2013-11-13,3,2013,,,0.0,,2997,5066,3671,485,-5922,724,6037,-8919,0.15,0,12242,115,,835,11110,2013年07月01日至2013年09月30日,,22054,16132,22039,16037,557,,20189,2700,890622,968668,78046,78046,57857,835.0,,2647,,,789,0.15,,44100,22054,22889,1673.0,,,,367.0,0,0.0,196.0,1.0,6037,17137.0,0,2732,1016,,890622,890622,1069,970638,970638,968668,901,15,95
2014-03-20,4,2013,,,,,4025,9365,17493,6825,50512,5925,26633,40381,0.12,19610,0,536,,12440,48226,2013年01月01日至2013年12月31日,,16496,67008,16874,67233,2294,11780.0,28711,225,3566353,3815637,249284,249284,220573,12440.0,,10719,,7357.0,3056,0.12,,161628,16496,28936,1687.0,,1251.0,,1182.0,0,879.0,,8.0,26633,0.0,526,11053,4178,,3566353,3566353,4996,3825583,3825583,3815637,4950,-378,-225
2014-05-08,1,2014,,,0.0,0.0,1188,15335,3851,27,-6760,3027,6142,-7948,0.14,15509,0,123,,1567,11872,2014年01月01日至2014年03月31日,,20608,13848,20641,13748,562,,9131,13044,790924,856429,65505,65505,56374,1567.0,,2252,,,797,0.14,1282.0,42250,20608,22175,,,,,34.0,0,256.0,,1.0,6142,0.0,464,2158,975,,790924,790924,1249,858093,858093,856429,415,-33,100
2014-08-08,2,2014,,,1152.0,,5473,-10542,6714,0,-9345,5268,6092,-14818,-0.01,0,12944,169,,5141,13244,2014年第2季,,-1125,-10470,-1055,-10775,489,,13936,-9920,842208,913970,71762,71762,57826,5141.0,,2371,,,1446,-0.01,,42211,-1125,4016,,,,,4254.0,0,0.0,227.0,4.0,6092,0.0,473,2391,1104,,842208,842208,1304,916447,916447,913970,1173,-70,305
2014-11-11,3,2014,,,916.0,,-1799,-5611,6006,0,20693,3431,5760,22492,0.16,15222,0,162,,7185,12841,2014年第3季,,23103,43796,23685,44222,619,19384.0,35653,-5365,859255,954621,95366,95366,59713,7185.0,,2424,,,1472,0.16,,44448,23103,30288,1103.0,,,,0.0,2,0.0,173.0,0.0,5760,0.0,358,2446,1043,,859255,859255,1805,961448,961448,954621,5022,-582,-426
2015-03-25,4,2014,,,3188.0,,5982,9081,21804,0,29389,15499,23589,25465,0.33,48159,0,581,,26437,51966,2014年度,,45777,75166,47354,75681,2167,35909.0,64918,7296,3306786,3610153,303367,303367,238449,26437.0,,8616,,-2479.0,5188,0.33,,177867,45777,72214,1117.0,,-421.0,,2144.0,0,0.0,580.0,5.0,23589,0.0,1545,9718,4095,,3306786,3306786,5992,3629381,3629381,3610153,13236,-1577,-515
2015-05-06,1,2015,,,33.0,0.0,1589,-3255,6737,0,-6201,5252,5269,-7790,0.01,0,7980,149,-6201.0,1812,12335,2015年第1季,1812.0,1980,-4221,1489,-4725,558,,5579,-1787,687632,749838,62206,62206,56627,,383.0,1752,,,1485,0.01,1442.0,42540,1980,3792,,,,,91.0,0,4702.0,,0.0,5269,0.0,35,2342,861,,687632,687632,733,752107,752107,749838,1536,491,504
2015-08-12,2,2015,,,1684.0,,-5886,-9953,7158,0,-18741,5625,5199,-12855,-0.01,0,4358,104,-18741.0,1950,11901,2015年第2季,1950.0,-1269,-20010,-1140,-19141,623,1998.0,8675,-7994,699552,763497,63945,63945,55270,,,2460,,,1533,-0.01,,40909,-1269,681,,,,,0.0,1256,0.0,639.0,,5199,0.0,18,2287,809,,699552,699552,726,765323,765323,763497,1100,-129,-869
