date,season,year,其他利益及損失淨額,其他收入合計,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,財務成本淨額
2013-05-15,1,2013,-1690,1256,49,49,0.17,0.17,,2308,12739,2013年01月01日至2013年03月31日,8902,8951,8902,8951,11664,-454,144937,174683,29746,29746,18082,5343,8902,11210,20
2013-08-07,2,2013,1135,1556,41,41,-0.1,-0.1,,-641,27510,2013年04月01日至2013年06月30日,-5214,-5173,-5214,-5173,-8532,2677,136251,159328,23077,23077,31609,4099,-5214,-5855,14
2013-11-07,3,2013,-1299,1669,-18,-18,0.41,0.41,,3770,11866,2013年07月01日至2013年09月30日,21019,21001,21019,21001,24429,360,215056,257584,42528,42528,18099,6233,21019,24789,10
2014-03-21,4,2013,-2555,6127,96,96,0.32,0.32,,4472,68193,2013年01月01日至2013年12月31日,16434,16530,16434,16530,17454,3452,614513,720142,105629,105629,88175,19982,16434,20906,120
2014-05-07,1,2014,-530,1510,3,3,0.07,0.07,,2883,14478,2014年01月01日至2014年03月31日,3780,3783,3780,3783,5729,934,141713,166032,24319,24319,18590,4112,3780,6663,46
2014-08-06,2,2014,-1321,1495,-6,-6,-0.01,-0.01,,109,16805,2014年第2季,-263,-269,-263,-269,-305,151,136538,158177,21639,21639,21944,5139,-263,-154,23
2014-11-05,3,2014,1831,2192,1019,1019,0.29,0.29,,3026,18939,2014年第3季,14800,15819,14800,15819,13823,4003,204257,243540,39283,39283,25460,6521,14800,17826,20
2015-03-20,4,2014,-2246,6494,11,11,0.22,0.22,,5017,65396,2014年度,11509,11520,11509,11520,12385,4141,603479,702122,98643,98643,86258,20862,11509,16526,107
2015-05-08,1,2015,-480,1592,-3,-3,0.22,0.22,-3.0,2526,16649,2015年01月01日至2015年03月31日,11069,11066,11069,11066,12484,1111,148624,182697,34073,34073,21589,4940,11069,13595,1
2015-08-04,2,2015,-613,1817,-3,-3,0.0,0.0,-3.0,1305,16868,2015年第2季,247,244,247,244,349,1203,141112,163780,22668,22668,22319,5451,247,1552,1
2015-11-04,3,2015,1714,2176,-4,-4,0.35,0.35,-4.0,3788,13514,2015年第3季,18259,18255,18259,18255,18158,3889,216951,255608,38657,38657,20499,6985,18259,22047,1
2016-03-25,4,2015,-7476,9332,0,0,0.32,0.32,0.0,4947,64723,2015年度,16511,16511,16511,16511,19614,1844,628989,736453,107464,107464,87850,23127,16511,21458,12
2016-05-10,1,2016,-238,2511,9,9,0.1,0.1,9.0,1110,12551,2016年01月01日至2016年03月31日,4984,4993,4984,4993,3824,2270,131149,152465,21316,21316,17492,4941,4984,6094,3
2016-08-03,2,2016,-1044,3323,21,21,0.13,0.13,21.0,1738,10789,2016年第2季,7151,7172,7151,7172,6679,2210,137444,160408,22964,22964,16285,5496,7151,8889,69
2016-11-04,3,2016,-1403,2003,33,33,0.12,0.12,33.0,1305,13669,2016年第3季,7007,7040,7007,7040,7762,550,195389,222689,27300,27300,19538,5869,7007,8312,50
