date,season,year,不重分類至損益之項目總額,什項支出,備供出售金融資產未實現評價損益,共同控制下前手權益（淨利／損）,其他利益及損失淨額,其他收入合計,其他收入－其他,其他綜合損益,其他綜合損益（淨額）,國外營運機構財務報表換算之兌換差額,基本每股盈餘合計,基本繼續營業單位淨利（淨損）,外幣兌換利益,外幣兌換損失,後續可能重分類至損益之項目總額,所得稅費用（利益）合計,推銷費用合計,會計項目,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,減損損失合計,營業利益（損失）,營業外收入及支出合計,營業成本合計,營業收入合計,營業毛利（毛損）,營業毛利（毛損）淨額,營業費用合計,研究發展費用合計,確定福利計畫之再衡量數,確定福利計畫精算利益（損失）,稀釋每股盈餘合計,稀釋繼續營業單位淨利（淨損）,管理費用合計,繼續營業單位本期淨利（淨損）,繼續營業單位稅前淨利（淨損）,與不重分類之項目相關之所得稅,與可能重分類之項目相關之所得稅,財務成本淨額,銷貨成本合計,銷貨收入淨額,非控制權益（淨利／損）,非控制權益（綜合損益）
2013-05-14,1,2013,,,3524,,72708,9763,,-12338,72319,81133,0.49,0.49,,,,62687,35117,2013年01月01日至2013年03月31日,93431,165750,94445,154873,,75211,80907,634652,814386,179734,179734,104523,11012,,,0.49,0.49,58394,93431,156118,,,1564,634652,814386,-1014,10877
2013-08-13,2,2013,,,1262,,12306,10213,10213.0,-6486.0,41157,46381,0.43,,,,,41425,43248,2013年04月01日至2013年06月30日,88759,129916,83933,118253,,109359,20825,643006,860036,217030,217030,107671,12742,,,,,51681,88759,130184,,,1694,643006,860036,4826.0,11663.0
2013-11-13,3,2013,,,7374,,-20672,17466,17466.0,1682.0,-14570,-23626,0.3,,,,,20760,38765,2013年07月01日至2013年09月30日,60304,45734,58134,46799,,85682,-4618,569148,740474,171326,171326,85644,11247,,,0.3,,35632,60304,81064,,,1412,569148,740474,2170.0,-1065.0
2014-03-26,4,2013,,,19469,,84329,46875,46875.0,-24992.0,137359,142491,1.47,,,,,109254,154404,2013年01月01日至2013年12月31日,289420,426779,283438,405304,,273222,125452,2338718,3019440,680722,680722,407500,46297,,391.0,1.46,,206799,289420,398674,,,5752,2338718,3019440,5982.0,21475.0
2014-05-13,1,2014,,,-2194,,22468,13789,,-2466.0,29463,34123,0.39,0.39,,,,14611,38641,2014年01月01日至2014年03月31日,75975,105438,75975,105438,,56713,33873,627185,761911,134726,134726,78013,12409,,,0.39,0.39,26963,75975,90586,,,2384,627185,761911,0.0,0.0
2014-08-13,2,2014,,1156.0,5709,,-25655,7344,7344.0,8615.0,-36354,-50678,0.19,,0.0,24499.0,,-16101,40450,2014年第2季,35317,-1037,35317,-1037,,39703,-20487,592883,726918,134035,134035,94332,16236,,,,,37646,35317,19216,,,2176,592883,726918,0.0,0.0
2014-11-13,3,2014,,,32215,,27730,12543,12543.0,-11257.0,66987,46029,0.16,,,,,4168,38543,2014年第3季,32317,99304,32317,99304,,-1870,38355,550642,644862,94220,94220,96090,14951,,,0.16,,42596,32317,36485,,,1918,550642,644862,0.0,0.0
2015-03-27,4,2014,,,41566,,75946,43469,43469.0,-24919.0,156776,144206,1.05,,,,,10309,169183,2014年度,202050,358826,202050,358826,,100953,111406,2297730,2777856,480126,480126,379173,57830,,-4077.0,1.05,,152160,202050,212359,,,8009,2297730,2777856,0.0,0.0
2015-05-08,1,2015,,,-10296,,-8531,12370,,,-40555,-38566,0.11,0.11,,,-40555.0,9376,45135,2015年01月01日至2015年03月31日,20497,-20058,20497,-20058,,26596,3277,517408,647231,129823,129823,103227,16587,,,0.11,0.11,41505,20497,29873,,-8307.0,562,517408,647231,0.0,0.0
2015-08-13,2,2015,,228.0,-16139,,-7466,10696,10696.0,,-39265,-31093,0.24,,,7238.0,-39265.0,15959,42244,2015年第2季,44435,5170,44435,5170,,57550,2844,504074,662222,158148,158148,100598,12866,,,0.24,,45488,44435,60394,,-7967.0,386,504074,662222,,
2015-11-13,3,2015,,,-11302,,80453,8562,8562.0,,35490,56376,0.35,,,,35490.0,14740,37756,2015年第3季,63993,99483,63993,99483,,-8389,87122,551411,670919,119508,119508,127897,11775,,,0.34,,78366,63993,78733,,9584.0,1893,551411,670919,0.0,0.0
2016-03-29,4,2015,-1432.0,,-46483,,54895,43118,43118.0,,-91172,-57457,0.79,,,,-89740.0,49767,169800,2015年度,145279,54107,145279,54107,,102652,92394,1996084,2538380,542296,542296,439644,54900,-1725.0,,0.78,,214944,145279,195046,-293.0,-14200.0,5619,1996084,2538380,0.0,0.0
2016-05-12,1,2016,,,-607,0.0,-19301,10152,,,-26711,-31451,0.04,0.04,,18494.0,-26711.0,4871,34000,2016年01月01日至2016年03月31日,7501,-19210,7501,-19210,807.0,23567,-11195,532595,657959,125364,125364,101797,16896,,,0.04,0.04,50901,7501,12372,,-5347.0,2046,532595,657959,0.0,0.0
2016-08-11,2,2016,,481.0,-1092,,-6477,13497,13497.0,,-38387,-44933,0.2,,,5996.0,-38387.0,688,40593,2016年第2季,37168,-1219,37168,-1219,,33180,4676,428043,542274,114231,114231,81051,16707,,,0.2,,23751,37168,37856,,-7638.0,2344,428043,542274,,
2016-11-10,3,2016,,,-9883,,-34531,7710,7710.0,,-68909,-71116,0.11,,,,-68909.0,7010,40810,2016年第3季,21029,-47880,21029,-47880,,57374,-29335,520544,681573,161029,161029,103655,14762,,,0.11,,48083,21029,28039,,-12090.0,2514,520544,681573,,
