date,season,year,不重分類至損益之項目總額,借券交易損失,借券及附賣回債券融券回補淨利益（損失）,借券及附賣回債券融券透過損益按公允價值衡量之淨利益（損失）,借券收入,借貸款項手續費收入,備供出售金融資產未實現淨利益（損失）,其他利益及損失淨額,其他營業支出,其他營業收益合計,其他營業費用合計,其他綜合損益淨額,利息收入,受託結算交割服務費收入合計,員工福利費用合計,國外營運機構財務報表換算之兌換差額淨額,基本每股盈餘合計,後續可能重分類至損益之項目總額,所得稅利益（費用）,承銷作業手續費支出,承銷業務收入合計,折舊及攤銷費用合計,採用權益法認列之關聯企業及合資損益之份額淨額,支出及費用合計,收益合計,會計項目,期貨佣金支出合計,期貨佣金收入合計,期貨管理費收入合計,本期其他綜合損益,本期淨利（淨損）,本期綜合損益總額,母公司業主（淨利／損）,母公司業主（綜合損益）,營業利益,營業外損益合計,營業證券出售淨利益（損失）,營業證券透過損益按公允價值衡量之淨利益（損失）,發行認購（售）權證淨利益（損失）,確定福利計畫之再衡量數合計,確定福利計畫精算淨利益（損失）,稀釋每股盈餘合計,結算交割服務費支出合計,經理費收入合計,經紀手續費收入合計,經紀經手費支出合計,繼續營業單位本期淨利（淨損）,繼續營業單位淨利（損）,繼續營業單位稅前淨利（淨損）,股利收入,股務代理收入,自營經手費支出合計,與其他綜合損益組成部分相關之所得稅利益（費用）淨額,與可能重分類至損益之項目相關之所得稅,衍生工具淨利益（損失）－期貨,衍生工具淨利益（損失）－櫃檯,財務成本,財富管理業務淨收益,轉融通手續費支出,非控制權益（淨利／損）,非控制權益（綜合損益）,顧問費收入合計
2013-05-10,1,2013,,,6980,7791,34039,22,34390,136137,499,37474,321510,73174.0,287124,2564.0,627579,46728,0.12,,-48014,125,75318,57500,21044,1169206,1365784,2013年01月01日至2013年03月31日,26130,21161,2.0,,305745,378919,288474,378919,196578,157181,66060,79587,84305,,,,30305,43,730337,69832,305745,0.12,353759,,35856,5629,-7944.0,,-4619,-102222,29486,707,611,17271,,3255
2013-08-28,2,2013,,,6102,5452,18064,11,19790,107451,2425,36889,318597,29307.0,302697,3075.0,647045,11466,0.11,,-73428,819,66704,57052,9470,1225684,1478448,2013年04月01日至2013年06月30日,49767,22343,3.0,,296257,325564,266912,290510,252764,116921,73759,-131485,95572,,,0.11,33244,42,811182,74777,296257,,369685,3266.0,35101,5721,-1949.0,,86398,39726,36007,1936,230,29345,35054.0,1611
2013-11-08,3,2013,,,-15156,-869,16244,12,-2776,173931,1187,34851,325135,-24418.0,316654,3192.0,647845,-26075,0.19,,-31637,222,32713,54667,13117,1202320,1508390,2013年07月01日至2013年09月30日,27682,19104,3.0,,461481,437063,434106,411731,306070,187048,84692,142787,36273,,,0.19,19031,48,807474,84686,461481,,493118,82778.0,34659,4865,4433.0,,4447,-99016,36402,6017,598,27375,25332.0,1483
2014-03-26,4,2013,,0.0,-23123,-29973,89063,63,55612,599565,5696,143408,1315619,102450.0,1231288,12656.0,2575780,46704,0.62,,-220468,3008,284510,225923,55722,4835504,5974094,2013年01月01日至2013年12月31日,131450,85893,11.0,,1573409,1675859,1471784,1564621,1138590,655287,393595,274843,244901,,8074.0,0.62,106623,179,3167155,306954,1573409,,1793877,92078.0,140146,21224,-7940.0,,88248,-244893,141091,16137,2136,101625,111238.0,7909
2014-05-07,1,2014,,,-40822,22840,13674,16,-2493,89621,1773,32923,328855,31579.0,339887,0.0,631575,41051,0.2,,-68879,1010,41952,58164,14864,1198103,1657404,2014年01月01日至2014年03月31日,34008,15936,0.0,,494907,526486,478796,509782,459301,104485,461974,113460,-96175,,,0.2,20092,64,861950,75673,494907,,563786,,34344,5524,-6979.0,,981,-157953,40569,10306,860,16111,16704.0,2047
2014-08-28,2,2014,,,-23915,23662,10054,22,-4095,100778,1910,33015,362304,-37966.0,355345,0.0,698251,-40809,0.26,,-39643,485,36626,55154,17998,1300834,1841577,2014年第2季,31733,16516,0.0,,619876,581910,609403,575981,540743,118776,523525,139168,-187059,,,0.26,20532,88,936599,83355,619876,,659519,29392.0,34827,4287,6938.0,,-91079,-7697,42608,10183,215,10473,5929.0,2305
2014-11-13,3,2014,,,6709,-9525,9796,15,7828,135371,8495,34155,373536,36447.0,375853,0.0,646067,34871,0.19,,-76285,1417,50329,53656,16199,1314568,1751438,2014年第3季,49716,22791,0.0,,512155,548602,461641,495163,436870,151570,-152715,-702689,687579,,,0.19,31937,41,975754,95487,512155,,588440,218570.0,35250,7026,-6252.0,,110958,74283,47095,12299,136,50514,53439.0,1985
2015-03-27,4,2014,,,-73360,640,46225,75,14020,562270,13287,130060,1425239,97761.0,1447536,0.0,2588102,125153,0.85,,-289038,3954,169368,221110,63728,5062173,6868876,2014年度,158556,84256,0.0,,2143663,2241424,2025305,2111211,1806703,625998,564874,-46447,620898,,-18583.0,0.85,103223,249,3648062,344588,2143663,,2432701,252244.0,138359,23377,-22829.0,,-123687,-45491,178760,45947,1977,118358,130213.0,9068
2015-05-13,1,2015,,,-60336,2766,11564,7,4760,247150,1546,12904,344423,,359033,,624475,-25612,0.24,-16096.0,-91222,1435,86206,54274,14831,1225156,1644903,2015年01月01日至2015年03月31日,47564,25134,,-16096.0,590506,574410,567407,550998,419747,261981,328649,128121,182230,,,0.24,24342,203,798367,74833,590506,,681728,,34219,5030,,4756.0,-170839,-110542,46510,15392,724,23099,23412.0,1825
2015-08-27,2,2015,,,-42501,68569,6029,44,-3321,102111,4261,21062,415286,,387682,,631176,-33517,0.15,-30595.0,-74488,937,36552,54552,20209,1349002,1701073,2015年第2季,49270,31040,,-30595.0,399903,369308,357968,330750,352071,122320,445280,-391583,61616,,,0.15,31836,124,937592,98958,399903,,474391,31522.0,35162,6555,,6243.0,-6636,62249,55422,15010,749,41935,38558.0,2260
